"epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq"
"Right atrial abnormality: acquired,","15.10.10","429.8",,"I51.8",,"Cardiac, Other","Great vein and atrial acquired abnormalities",13
"Postprocedural right atrial complication,","15.10.11","997.1","E878.8","I97.8",,"Cardiac, Other","Great vein and atrial acquired abnormalities",14
"Obstruction of right atrial conduit (including total cavopulmonary connection),","15.10.13","996.7",,"T82.8",,"Conduit failure","Great vein and atrial acquired abnormalities",15
"Left atrial abnormality: acquired,","15.10.20","429.8",,"I51.8",,"Cardiac, Other","Great vein and atrial acquired abnormalities",16
"Postprocedural left atrial complication,","15.10.21","997.1","E878.8","I97.8",,"Cardiac, Other","Great vein and atrial acquired abnormalities",17
"Atrial septum abnormality: acquired,","10.17.40","429.8",,"I51.8",,"Cardiac, Other","Great vein and atrial acquired abnormalities",18
"Postprocedural atrial septum complication,","15.10.61","997.1",,"I97.8",,"Cardiac, Other","Great vein and atrial acquired abnormalities",19
"Residual interatrial communication ('ASD'),","15.10.63","745.5","E878.8","Q21.1","Y83.8","ASD","Great vein and atrial acquired abnormalities",20
"Ineffective balloon atrial septostomy,","15.10.66","429.4","E878.8","I97.8","Y83.8","Cardiac, Other","Great vein and atrial acquired abnormalities",21
"Platypnoea-orthodeoxia syndrome,","10.17.50","745.5",,"Q21.8",,"Cardiac, Other","Great vein and atrial acquired abnormalities",22
"Acquired valvar and atrioventricular septal defect abnormalities",,,,,,,"Acquired valvar and atrioventricular septal defect abnormalities",1
"Heart valvar abnormality: acquired,","10.32.00","424.9",,"I38",,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",2
"Prosthetic valve failure,","10.33.00","996",,"T82.0",,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities",3
"Tricuspid valvar abnormality: acquired,","10.32.01","424.2",,"I36.9",,"Tricuspid valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",4
"Postprocedural tricuspid valvar complication,","15.11.00","424.2","E878.8","I36.9","Y83.8","Tricuspid valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",5
"Residual tricuspid regurgitation,","15.11.03","746.8","E878.8","Q22.8","Y83.8","Tricuspid regurgitation, non-Ebstein's related","Acquired valvar and atrioventricular septal defect abnormalities",6
"Tricuspid valvar prosthesis complication,","15.11.08","996.0",,"T82.0",,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities",7
"Mitral valvar abnormality: acquired,","10.33.01","424.0",,"I34.9",,"Mitral valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",8
"Mitral stenosis: acquired,","10.33.02","394.0",,"I34.2",,"Mitral stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",9
"Mitral valvar stenosis: recurrent,","10.33.03","394.0",,"I34.2",,"Mitral stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",10
"Mitral regurgitation: acquired,","10.33.04","424.0",,"I34.0",,"Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities",11
"Mitral regurgitation: recurrent,","10.33.06","424.0",,"I34.0",,"Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities",12
"Postprocedural mitral valvar complication,","15.12.00","394.9","E878.8","I34.9","Y83.8","Mitral valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",13
"Residual mitral valvar stenosis,","15.12.01","746.5","E878.8","Q23.2","Y83.8","Mitral stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",14
"Residual mitral regurgitation,","15.12.03","746.6","E878.8","Q23.3","Y83.8","Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities",15
"Mitral valvar prosthesis complication,","15.12.09","996.0",,"T82.0",,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities",16
"Truncal valvar abnormality: acquired,","10.37.01","424.9",,"I38",,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",17
"Residual truncal regurgitation,","15.25.03","746.9","E878.8","Q24.8","Y83.8","Truncal valve insufficiency","Acquired valvar and atrioventricular septal defect abnormalities",18
"Common arterial trunk (truncus) abnormality: acquired,","10.51.01","447.8",,"I77.8",,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",19
"Postprocedural common arterial trunk complication,","15.25.31","447.8","E878.8","I97.8",,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",20
"Pulmonary valvar abnormality: acquired,","10.35.01","424.3",,"I37.9",,"Pulmonary valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",21
"Pulmonary valvar stenosis: acquired,","10.35.02","424.3",,"I37.0",,"Pulmonary stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",22
"Pulmonary valvar stenosis: recurrent,","10.35.03","424.3",,"I37.0",,"Pulmonary stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",23
"Pulmonary regurgitation: acquired,","10.35.04","424.3",,"I37.1",,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",24
"Pulmonary valvar atresia: acquired,","09.05.15","424.3",,"I37.8",,"Pulmonary atresia","Acquired valvar and atrioventricular septal defect abnormalities",25
"Postprocedural pulmonary valvar complication,","15.30.00","424.3","E878.8","I37.9","Y83.8","Pulmonary valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",26
"Residual pulmonary valvar stenosis,","15.30.01","746.0","E878.8","Q22.1","Y83.8","Pulmonary stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",27
"Residual pulmonary regurgitation,","15.30.03","746.0","E878.8","Q22.2","Y83.8","Pulmonary insufficiency","Acquired valvar and atrioventricular septal defect abnormalities",28
"Pulmonary valvar prosthesis complication,","15.30.08","996.0",,"T82.0",,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities",29
"Aortic valvar abnormality: acquired,","10.36.01","424.1",,"I35.9",,"Aortic valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",30
"Aortic valvar stenosis: acquired,","10.36.02","424.1",,"I35.0",,"Aortic stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",31
"Aortic valvar stenosis: recurrent,","10.36.03","424.1",,"I35.0",,"Aortic stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",32
"Aortic regurgitation: acquired,","10.36.04","424.1",,"I35.1",,"Aortic insufficiency","Acquired valvar and atrioventricular septal defect abnormalities",33
"Aortic regurgitation: recurrent,","10.36.06","424.1",,"I35.1",,"Aortic insufficiency","Acquired valvar and atrioventricular septal defect abnormalities",34
"Postprocedural aortic valvar complication,","15.35.00","424.1","E878.8","I35.9","Y83.8","Aortic valve, Other","Acquired valvar and atrioventricular septal defect abnormalities",35
"Residual aortic valvar stenosis,","15.35.01","746.3","E878.8","Q23.0","Y83.8","Aortic stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities",36
"Residual aortic regurgitation,","15.35.03","746.4","E878.8","Q23.1","Y83.8","Aortic insufficiency","Acquired valvar and atrioventricular septal defect abnormalities",37
"Aortic valvar prosthesis complication,","15.35.08","996.0",,"T82.0",,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities",38
"Postprocedural atrioventricular septal defect complication,","15.16.00","429.8","E878.8","Q21.2","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",39
"Residual ventricular component of atrioventricular septal defect,","15.16.02","745.6","E878.8","Q21.2","Y83.8","VSD","Acquired valvar and atrioventricular septal defect abnormalities",40
"Atrioventricular valvar abnormality in atrioventricular septal defect (AVSD): acquired,","10.34.60","424.9",,"I38",,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",41
"Left atrioventricular valvar regurgitation: acquired,","10.34.44","424.0",,"I34.0",,"Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities",42
"Residual common atrioventricular valvar regurgitation,","15.13.02","746.9","E878.8","Q24.8","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",43
"Postprocedural right atrioventricular valvar complication,","15.14.00","424.2","E878.8","I36.9","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",44
"Postprocedural left atrioventricular valvar complication,","15.15.00","394.9","E878.8","I34.9","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities",45
"Acquired ventricular and ventricular septal abnormalities",,,,,,,"Acquired ventricular and ventricular septal abnormalities",1
"Ventricular dyssynchrony,","07.00.01","428.1",,"I50.1",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",2
"Right ventricular abnormality: acquired,","10.16.00","429.8",,"I51.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",3
"Right ventricular dysfunction,","07.01.11","429.8",,"I51.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",4
"Right ventricular-congestive heart failure,","10.16.08","428.0",,"I50.0",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",5
"Postprocedural right ventricular complication,","15.20.01","997.1",,"I97.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",6
"Postprocedural right ventricular outflow tract complication,","15.20.21","429.8","E878.8","I51.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",7
"Right ventricular outflow tract obstruction: acquired,","10.16.16","429.8",,"I51.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",8
"Aneurysm of right ventricular outflow tract patch,","15.20.25","996.7",,"T82.8",,"Aneurysm, Ventricular, Right","Acquired ventricular and ventricular septal abnormalities",9
"Residual right ventricular outflow tract obstruction,","15.20.23","746.8","E878.8","Q24.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",10
"Left ventricular abnormality: acquired,","10.16.40","429.8",,"I51.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",11
"Left ventricular dysfunction,","07.06.10","429.8",,"I51.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",12
"Left ventricular failure,","10.16.47","428.1",,"I50.1",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",13
"Postprocedural left ventricular complication,","15.21.01","997.1",,"I97.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",14
"Postprocedural left ventricular outflow tract complication,","15.21.21","429.8","E878.8","I51.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",15
"Recurrent left ventricular outflow tract obstruction,","10.16.46","429.8",,"I51.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",16
"Residual left ventricular outflow tract obstruction,","15.21.22","746.8","E878.8","Q24.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",17
"Narrowing of constructed intraventricular tunnel: acquired,","10.16.81","996.7",,"T82.8",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",18
"Subaortic stenosis: acquired,","10.16.86","429.8",,"I51.8",,"Aortic stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities",19
"Subaortic stenosis in complex heart disease: acquired,","10.16.82","429.8",,"I51.8",,"Aortic stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities",20
"Residual subaortic stenosis in complex heart disease,","15.20.75","429.8","E878.8","I51.8","Y83.8","Aortic stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities",21
"Subpulmonary stenosis: acquired,","10.16.88","429.8",,"I51.8",,"Pulmonary stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities",22
"Subpulmonary stenosis in complex heart disease: acquired,","10.16.83","429.8",,"I51.8",,"Pulmonary stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities",23
"Residual subpulmonary stenosis in complex heart disease,","15.20.76","429.8","E878.8","I51.8","Y83.8","Pulmonary stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities",24
"Abnormality associated with ventricular septum: acquired,","10.16.60","429.8",,"I51.0",,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities",25
"Postmyocardial infarct ventricular septal defect (VSD),","10.16.62","410",,"I23.2",,"VSD","Acquired ventricular and ventricular septal abnormalities",26
"Residual ventricular septal defect (VSD),","15.22.02","745.4","E878.8","Q21.0","Y83.8","VSD","Acquired ventricular and ventricular septal abnormalities",27
"Cardiomyopathy and heart muscle diseases",,,,,,,"Cardiomyopathy and heart muscle diseases",1
"Myocardial failure in end stage congenital heart disease,","10.07.40","428.9","746.9","I50.9","Q24.9","Cardiomyopathy, End-stage congenital heart disease","Cardiomyopathy and heart muscle diseases",2
"Cardiomyopathy,","10.10.01","425.4",,"I42.9",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",3
"Ventricular myocardial noncompaction cardiomyopathy,","07.08.50","425.4",,"I42.8",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",4
"Hypertrophic cardiomyopathy,","10.10.20","425.4",,"I42.2",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",5
"Dilated cardiomyopathy,","10.10.25","425.4",,"I42.0",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",6
"Arrhythmogenic right ventricular cardiomyopathy,","07.01.10","425.4",,"I42.8",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",7
"Endocardial fibroelastosis,","10.10.12","425.3",,"I42.4",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",8
"Idiopathic restrictive cardiomyopathy,","10.10.11","425.4",,"I42.5",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",9
"Infiltrative cardiomyopathy,","10.10.13","425.4",,"I42.8",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",10
"Drug induced heart muscle disease,","10.07.05","425.9",,"I42.7",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",11
"Nutritional heart muscle disease,","10.07.61","269.9†","425.7*","E63.9<e2><80>","<a0>   I43.2","*   Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",12
"Heart muscle disease in collagen vascular/ connective tissue disorder,","10.07.81","710.9†","425.8*","M35.9<e2><80>","<a0>   I43.8","*   Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases",13
"Acquired pulmonary arterial abnormalities",,,,,,,"Acquired pulmonary arterial abnormalities",1
"Pulmonary arterial disease: acquired,","10.13.50","417.9",,"I28.9",,"Cardiac, Other","Acquired pulmonary arterial abnormalities",2
"Right pulmonary arterial stenosis: acquired,","10.13.68","417.8",,"I28.8",,"Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities",3
"Left pulmonary arterial stenosis: acquired,","10.13.69","417.8",,"I28.8",,"Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities",4
"Postprocedural pulmonary trunk complication,","15.32.01","417.8","E878.8","I28.8","Y83.8","Cardiac, Other","Acquired pulmonary arterial abnormalities",5
"Postprocedural right pulmonary artery complication,","15.32.21","417.8","E878.8","I28.8","Y83.8","Cardiac, Other","Acquired pulmonary arterial abnormalities",6
"Postprocedural left pulmonary artery complication,","15.32.41","417.8","E878.8","I28.8","Y83.8","Cardiac, Other","Acquired pulmonary arterial abnormalities",7
"Residual right pulmonary artery stenosis,","15.32.23","747.3","E878.8","Q25.6","Y83.8","Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities",8
"Residual left pulmonary artery stenosis,","15.32.43","747.3","E878.8","Q25.6","Y83.8","Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities",9
"Pulmonary arterial hypertension,","10.13.01","416.8",,"I27.0",,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities",10
"Primary pulmonary hypertension,","10.13.02","416.0",,"I27.0",,"Primary pulmonary hypertension","Acquired pulmonary arterial abnormalities",11
"Secondary pulmonary hypertension,","10.13.20","416.8",,"I27.8",,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities",12
"Pulmonary hypertension due to left to right shunt,","10.13.21","416.8",,"I27.8",,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities",13
"Pulmonary vascular disease,","10.13.06","416.8",,"I27.8",,"Pulmonary vascular obstructive disease","Acquired pulmonary arterial abnormalities",14
"Irreversible pulmonary vascular disease due to congenital heart disease (Eisenmenger Syndrome),","10.13.08","416.8",,"I27.8",,"Pulmonary vascular obstructive disease (Eisenmenger's)","Acquired pulmonary arterial abnormalities",15
"Pulmonary embolism,","10.13.51","415.1",,"I26.9",,"Pulmonary embolism","Acquired pulmonary arterial abnormalities",16
"Pulmonary oedema,","10.30.30","514",,"J81",,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities",17
"Acquired systemic arterial, coronary and ductal abnormalities",,,,,,,"Acquired systemic arterial, coronary and ductal abnormalities",1
"Abnormality of aorta: acquired,","10.14.70","447.8",,"I77.8",,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",2
"Supravalvar aortic stenosis: acquired,","10.14.77","447.1",,"I77.1",,"Aortic stenosis, Supravalvar","Acquired systemic arterial, coronary and ductal abnormalities",3
"Recoarctation of aorta,","10.14.72","447.1",,"I77.1",,"Coarctation of aorta","Acquired systemic arterial, coronary and ductal abnormalities",4
"Ascending aorta dilation: acquired,","10.14.40","441.6",,"I71.9",,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",5
"Ascending aortopathy associated with conotruncal malformations,","10.14.95","441.6",,"I71.9",,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",6
"Aortic root dilation,","09.16.13","747.2",,"Q25.4",,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",7
"Aortic dissection,","10.14.51","441.0",,"I71.0",,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities",8
"Ascending aorta dissection & propagation beyond arch (DeBakey type I),","10.14.52","441.0",,"I71.0",,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities",9
"Ascending aorta dissection not beyond arch (DeBakey type II/ Stanford type A),","10.14.53","441.0",,"I71.0",,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities",10
"Descending aorta dissection & distal propagation (DeBakey type III/ Stanford type B),","10.14.54","441.0",,"I71.0",,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities",11
"Aortic aneurysm,","10.14.50","441.2",,"I71.2",,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities",12
"Ascending aorta aneurysm,","10.14.42","441.2",,"I71.2",,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities",13
"Descending aorta aneurysm,","10.14.43","441.2",,"I71.2",,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities",14
"Abdominal aorta aneurysm,","10.14.44","441.4",,"I71.4",,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities",15
"Rupture of thoracic aortic aneurysm,","10.14.45","441.1",,"I71.1",,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities",16
"Rupture of abdominal aortic aneurysm,","10.14.46","441.3",,"I71.5",,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities",17
"Postprocedural aortic complication,","15.37.73","447.8","E878.8","I77.8","Y83.8","Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",18
"Postprocedural ascending aorta complication,","15.36.01","447.8","E878.8","I77.8","Y83.8","Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",19
"Postprocedural descending aorta complication,","15.37.01","447.8","E878.8","I77.8","Y83.8","Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",20
"Residual aortic coarctation,","15.37.05","747.1","E878.8","Q25.1","Y83.8","Coarctation of aorta","Acquired systemic arterial, coronary and ductal abnormalities",21
"Postprocedural aneurysm of aorta at coarctation site,","15.37.07","441.2","E878.8","I71.2","Y83.8","Aneurysm, Other","Acquired systemic arterial, coronary and ductal abnormalities",22
"Postprocedural systemic arterial complication,","15.24.00","997.2",,"I97.8",,"Peripheral vasculature, Other","Acquired systemic arterial, coronary and ductal abnormalities",23
"Systemic arteritis,","10.14.60","447.6",,"I77.6",,"Peripheral vasculature, Other","Acquired systemic arterial, coronary and ductal abnormalities",24
"Kawasaki disease,","10.09.01","446.1",,"M30.3",,"Miscellaneous, Other","Acquired systemic arterial, coronary and ductal abnormalities",25
"Kawasaki disease without cardiac involvement,","10.09.08","446.1",,"M30.3",,"Miscellaneous, Other","Acquired systemic arterial, coronary and ductal abnormalities",26
"Kawasaki disease with aneurysm(s) or dilated coronary vessels,","10.09.02","446.1","414.1","M30.3","I25.4","Coronary artery anomaly, Aneurysm","Acquired systemic arterial, coronary and ductal abnormalities",27
"Acquired coronary arterial disease,","10.09.10","414.9",,"I25.9",,"Coronary artery anomaly, Other","Acquired systemic arterial, coronary and ductal abnormalities",28
"Ischaemic heart disease,","10.09.30","414.9",,"I25.9",,"Coronary artery anomaly, Other","Acquired systemic arterial, coronary and ductal abnormalities",29
"Myocardial infarction,","10.18.00","410",,"I21.9",,"Myocardial infarction","Acquired systemic arterial, coronary and ductal abnormalities",30
"Acute myocardial infarction,","10.18.01","410",,"I21.9",,"Myocardial infarction","Acquired systemic arterial, coronary and ductal abnormalities",31
"Postmyocardial infarction complication,","10.18.24","411",,"I23.8",,"Myocardial infarction","Acquired systemic arterial, coronary and ductal abnormalities",32
"Postprocedural coronary arterial complication,","15.41.00","447.8","E878.8","I77.8","Y83.8","Coronary artery anomaly, Other","Acquired systemic arterial, coronary and ductal abnormalities",33
"Postprocedural coronary artery bypass graft (CABG) complication,","15.41.39","996.7",,"T82.8",,"Coronary artery anomaly, Other","Acquired systemic arterial, coronary and ductal abnormalities",34
"Systemic hypertension,","10.14.01","401.9",,"I10",,"Miscellaneous, Other","Acquired systemic arterial, coronary and ductal abnormalities",35
"Primary (essential) systemic hypertension,","10.14.02","401.9",,"I10",,"Miscellaneous, Other","Acquired systemic arterial, coronary and ductal abnormalities",36
"Secondary systemic hypertension,","10.14.00","405.9",,"I15.9",,"Miscellaneous, Other","Acquired systemic arterial, coronary and ductal abnormalities",37
"Systemic hypertension due to aortic arch obstruction,","10.14.04","405.9",,"I15.8",,"Miscellaneous, Other","Acquired systemic arterial, coronary and ductal abnormalities",38
"Arterial duct (ductus arteriosus) abnormality: acquired,","10.14.80","447.8",,"I77.8",,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",39
"Postprocedural arterial duct complication,","15.39.01","447.8","E878.8","I77.8","Y83.8","Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",40
"Residual arterial duct (PDA) patency,","15.39.02","747.0","E878.8","Q25.0","Y83.8","Patent ductus arteriosus","Acquired systemic arterial, coronary and ductal abnormalities",41
"Postprocedural systemic-to-pulmonary collateral artery complication,","15.39.50","447.8","E878.8","I77.8","Y83.8","Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities",42
"Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",,,,,,,"Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",1
"Cardiac conduit complication,","15.55.00","996.7",,"T82.9",,"Conduit failure","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",2
"Cardiac conduit failure,","15.55.16","996.0",,"T82.5",,"Conduit failure","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",3
"Systemic-to-pulmonary arterial shunt complication,","15.56.00","996.0",,"T82.9",,"Shunt failure","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",4
"Systemic-to-pulmonary arterial shunt partial obstruction,","15.56.01","996.7",,"T82.5",,"Shunt failure","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",5
"Systemic-to-pulmonary arterial shunt complete obstruction,","15.56.02","996.0",,"T82.5",,"Shunt failure","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",6
"Systemic-to-pulmonary arterial shunt failure,","15.56.21","996.7",,"T82.9",,"Shunt failure","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",7
"Pulmonary autograft failure,","15.55.24","996.7",,"T82.8",,"Shunt failure","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",8
"'Failed' Fontan type circulation,","15.90.60","998.9",,"T81.8",,"Cardiac, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",9
"Pericardial abnormality: acquired,","10.08.29","423.9",,"I31.9",,"Pericardial disease, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",10
"Pericarditis,","10.08.00","420.9",,"I30.9",,"Pericarditis","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",11
"Constrictive pericarditis,","10.08.09","423.2",,"I31.1",,"Pericardial disease, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",12
"Pericardial effusion,","10.08.31","423.9",,"I31.3",,"Pericardial effusion","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",13
"Chylopericardium,","10.08.15","457.8",,"I31.3",,"Pericardial effusion","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",14
"Pericardial effusion requiring drainage,","15.83.00","423.9",,"I31.3",,"Pericardial effusion requiring drainage","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",15
"Cardiac tamponade,","10.08.13","423.9",,"I31.9",,"Pericardial effusion requiring drainage","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",16
"Heart tumour,","10.03.01","239.8",,"D48.7",,"Cardiac tumor","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",17
"Traumatic injury of heart,","10.90.01","861.0",,"S26",,"Cardiac, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",18
"Complication after heart or lung transplant,","15.95.00","996.8","E878.0","I97.9","Y83.0","Cardiac, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",19
"Heart muscle disease in cardiac rejection,","10.07.42","996.8",,"T86.2",,"Cardiac, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",20
"Cardiac transplant associated coronary allograft vasculopathy,","15.41.13","414.0","996.8","I25.1","T86.2","Coronary artery anomaly, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",21
"Lung disease in lung transplant rejection,","15.95.66","996.8",,"T86.3",,"Thoracic and-or mediastinal, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",22
"Post-lung transplant obliterative bronchiolitis,","15.95.64","491.8","996.8","J44.8","T86.3","Thoracic and-or mediastinal, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",23
"Lymphoproliferative disease following transplantation,","15.95.03","E878.0","C88.9","C88.9","Y83.0","Miscellaneous, Other","Acquired cardiac conduit-shunt, pericardial, post-transplant & miscellaneous abnormalities",24
"Diagnostic codes for rhythm and conduction disturbances",,,,,,,"Diagnostic codes for rhythm and conduction disturbances",1
"Electrocardiographic (ECG) abnormality,","11.20.00","794.3",,"R94.3",,"Arrhythmia","Diagnostic codes for rhythm and conduction disturbances",2
"Arrhythmia,","11.00.00","427.9",,"I49.9",,"Arrhythmia","Diagnostic codes for rhythm and conduction disturbances",3
