"icd10_code","icd10_name","icd10am_code","icd10am_name","file_seq","icd10_seq","icd10_max"
"G99.2","Myelopathy in diseases classified elsewhere","G99.2","Myelopathy in diseases classified elsewhere",3270,1,1
"G99.8","Other specified disorders of nervous system in diseases classified elsewhere","G99.8","Other specified disorders of nervous system in diseases classified elsewhere",3271,1,1
"H00.0","Hordeolum and other deep inflammation of eyelid","H00.0","Hordeolum and other deep inflammation of eyelid",3272,1,1
"H00.1","Chalazion","H00.1","Chalazion",3273,1,1
"H01.0","Blepharitis","H01.0","Blepharitis",3274,1,1
"H01.1","Noninfectious dermatoses of eyelid","H01.1","Noninfectious dermatoses of eyelid",3275,1,1
"H01.8","Other specified inflammation of eyelid","H01.8","Other specified inflammation of eyelid",3276,1,1
"H01.9","Inflammation of eyelid, unspecified","H01.9","Inflammation of eyelid, unspecified",3277,1,1
"H02.0","Entropion and trichiasis of eyelid","H02.0","Entropion and trichiasis of eyelid",3278,1,1
"H02.1","Ectropion of eyelid","H02.1","Ectropion of eyelid",3279,1,1
"H02.2","Lagophthalmos","H02.2","Lagophthalmos",3280,1,1
"H02.3","Blepharochalasis","H02.3","Blepharochalasis",3281,1,1
"H02.4","Ptosis of eyelid","H02.4","Ptosis of eyelid",3282,1,1
"H02.5","Other disorders affecting eyelid function","H02.5","Other disorders affecting eyelid function",3283,1,1
"H02.6","Xanthelasma of eyelid","H02.6","Xanthelasma of eyelid",3284,1,1
"H02.7","Other degenerative disorders of eyelid and periocular area","H02.7","Other degenerative disorders of eyelid and periocular area",3285,1,1
"H02.8","Other specified disorders of eyelid","H02.8","Other specified disorders of eyelid",3286,1,1
"H02.9","Disorder of eyelid, unspecified","H02.9","Disorder of eyelid, unspecified",3287,1,1
"H03.0","Parasitic infestation of eyelid in diseases classified elsewhere","H03.0","Parasitic infestation of eyelid in diseases classified elsewhere",3288,1,1
"H03.1","Involvement of eyelid in other infectious diseases classified elsewhere","H03.1","Involvement of eyelid in other infectious diseases classified elsewhere",3289,1,1
"H03.8","Involvement of eyelid in other diseases classified elsewhere","H03.8","Involvement of eyelid in other diseases classified elsewhere",3290,1,1
"H04.0","Dacryoadenitis","H04.0","Dacryoadenitis",3291,1,1
"H04.1","Other disorders of lacrimal gland","H04.1","Other disorders of lacrimal gland",3292,1,1
"H04.2","Epiphora","H04.2","Epiphora",3293,1,1
"H04.3","Acute and unspecified inflammation of lacrimal passages","H04.3","Acute and unspecified inflammation of lacrimal passages",3294,1,1
"H04.4","Chronic inflammation of lacrimal passages","H04.4","Chronic inflammation of lacrimal passages",3295,1,1
"H04.5","Stenosis and insufficiency of lacrimal passages","H04.5","Stenosis and insufficiency of lacrimal passages",3296,1,1
"H04.6","Other changes in lacrimal passages","H04.6","Other changes in lacrimal passages",3297,1,1
"H04.8","Other disorders of lacrimal system","H04.8","Other disorders of lacrimal system",3298,1,1
"H04.9","Disorder of lacrimal system, unspecified","H04.9","Disorder of lacrimal system, unspecified",3299,1,1
"H05.0","Acute inflammation of orbit","H05.0","Acute inflammation of orbit",3300,1,1
"H05.1","Chronic inflammatory disorders of orbit","H05.1","Chronic inflammatory disorders of orbit",3301,1,1
"H05.2","Exophthalmic conditions","H05.2","Exophthalmic conditions",3302,1,1
"H05.3","Deformity of orbit","H05.3","Deformity of orbit",3303,1,1
"H05.4","Enophthalmos","H05.4","Enophthalmos",3304,1,1
"H05.5","Retained (old) foreign body following penetrating wound of orbit","H05.5","Retained (old) foreign body following penetrating wound of orbit",3305,1,1
"H05.8","Other disorders of orbit","H05.8","Other disorders of orbit",3306,1,1
"H05.9","Disorder of orbit, unspecified","H05.9","Disorder of orbit, unspecified",3307,1,1
"H06.0","Disorders of lacrimal system in diseases classified elsewhere","H06.0","Disorders of lacrimal system in diseases classified elsewhere",3308,1,1
"H06.1","Parasitic infestation of orbit in diseases classified elsewhere","H06.1","Parasitic infestation of orbit in diseases classified elsewhere",3309,1,1
"H06.2","Dysthyroid exophthalmos","H06.2","Dysthyroid exophthalmos (E05.-+)",3310,1,1
"H06.3","Other disorders of orbit in diseases classified elsewhere","H06.3","Other disorders of orbit in diseases classified elsewhere",3311,1,1
"H10.0","Mucopurulent conjunctivitis","H10.0","Mucopurulent conjunctivitis",3312,1,1
"H10.1","Acute atopic conjunctivitis","H10.1","Acute atopic conjunctivitis",3313,1,1
"H10.2","Other acute conjunctivitis","H10.2","Other acute conjunctivitis",3314,1,1
"H10.3","Acute conjunctivitis, unspecified","H10.3","Acute conjunctivitis, unspecified",3315,1,1
"H10.4","Chronic conjunctivitis","H10.4","Chronic conjunctivitis",3316,1,1
"H10.5","Blepharoconjunctivitis","H10.5","Blepharoconjunctivitis",3317,1,1
"H10.8","Other conjunctivitis","H10.8","Other conjunctivitis",3318,1,1
"H10.9","Conjunctivitis, unspecified","H10.9","Conjunctivitis, unspecified",3319,1,1
"H11.0","Pterygium","H11.0","Pterygium",3320,1,1
"H11.1","Conjunctival degenerations and deposits","H11.1","Conjunctival degenerations and deposits",3321,1,1
"H11.2","Conjunctival scars","H11.2","Conjunctival scars",3322,1,1
"H11.3","Conjunctival haemorrhage","H11.3","Conjunctival haemorrhage",3323,1,1
"H11.4","Other conjunctival vascular disorders and cysts","H11.4","Other conjunctival vascular disorders and cysts",3324,1,1
"H11.8","Other specified disorders of conjunctiva","H11.8","Other specified disorders of conjunctiva",3325,1,1
"H11.9","Disorder of conjunctiva, unspecified","H11.9","Disorder of conjunctiva, unspecified",3326,1,1
"H13.0","Filarial infection of conjunctiva","H13.0","Filarial infection of conjunctiva (B74.-+)",3327,1,1
"H13.1","Conjunctivitis in infectious and parasitic diseases classified elsewhere","H13.1","Conjunctivitis in infectious and parasitic diseases classified elsewhere",3328,1,1
"H13.2","Conjunctivitis in other diseases classified elsewhere","H13.2","Conjunctivitis in other diseases classified elsewhere",3329,1,1
"H13.3","Ocular pemphigoid","H13.3","Ocular pemphigoid (L12.-+)",3330,1,1
"H13.8","Other disorders of conjunctiva in diseases classified elsewhere","H13.8","Other disorders of conjunctiva in diseases classified elsewhere",3331,1,1
"H15.0","Scleritis","H15.0","Scleritis",3332,1,1
"H15.1","Episcleritis","H15.1","Episcleritis",3333,1,1
"H15.8","Other disorders of sclera","H15.8","Other disorders of sclera",3334,1,1
"H15.9","Disorder of sclera, unspecified","H15.9","Disorder of sclera, unspecified",3335,1,1
"H16.0","Corneal ulcer","H16.0","Corneal ulcer",3336,1,1
"H16.1","Other superficial keratitis without conjunctivitis","H16.1","Other superficial keratitis without conjunctivitis",3337,1,1
"H16.2","Keratoconjunctivitis","H16.2","Keratoconjunctivitis",3338,1,1
"H16.3","Interstitial and deep keratitis","H16.3","Interstitial and deep keratitis",3339,1,1
"H16.4","Corneal neovascularization","H16.4","Corneal neovascularisation",3340,1,1
"H16.8","Other keratitis","H16.8","Other keratitis",3341,1,1
"H16.9","Keratitis, unspecified","H16.9","Keratitis, unspecified",3342,1,1
"H17.0","Adherent leukoma","H17.0","Adherent leukoma",3343,1,1
"H17.1","Other central corneal opacity","H17.1","Other central corneal opacity",3344,1,1
"H17.8","Other corneal scars and opacities","H17.8","Other corneal scars and opacities",3345,1,1
"H17.9","Corneal scar and opacity, unspecified","H17.9","Corneal scar and opacity, unspecified",3346,1,1
"H18.0","Corneal pigmentations and deposits","H18.0","Corneal pigmentations and deposits",3347,1,1
"H18.1","Bullous keratopathy","H18.1","Bullous keratopathy",3348,1,1
"H18.2","Other corneal oedema","H18.2","Other corneal oedema",3349,1,1
"H18.3","Changes in corneal membranes","H18.3","Changes in corneal membranes",3350,1,1
"H18.4","Corneal degeneration","H18.4","Corneal degeneration",3351,1,1
"H18.5","Hereditary corneal dystrophies","H18.5","Hereditary corneal dystrophies",3352,1,1
"H18.6","Keratoconus","H18.6","Keratoconus",3353,1,1
"H18.7","Other corneal deformities","H18.7","Other corneal deformities",3354,1,1
"H18.8","Other specified disorders of cornea","H18.8","Other specified disorders of cornea",3355,1,1
"H18.9","Disorder of cornea, unspecified","H18.9","Disorder of cornea, unspecified",3356,1,1
"H19.0","Scleritis and episcleritis in diseases classified elsewhere","H19.0","Scleritis and episcleritis in diseases classified elsewhere",3357,1,1
"H19.1","Herpesviral keratitis and keratoconjunctivitis","H19.1","Herpesviral keratitis and keratoconjunctivitis (B00.5+)",3358,1,1
"H19.2","Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere","H19.2","Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere",3359,1,1
"H19.3","Keratitis and keratoconjunctivitis in other diseases classified elsewhere","H19.3","Keratitis and keratoconjunctivitis in other diseases classified elsewhere",3360,1,1
"H19.8","Other disorders of sclera and cornea in diseases classified elsewhere","H19.8","Other disorders of sclera and cornea in diseases classified elsewhere",3361,1,1
"H20.0","Acute and subacute iridocyclitis","H20.0","Acute and subacute iridocyclitis",3362,1,1
"H20.1","Chronic iridocyclitis","H20.1","Chronic iridocyclitis",3363,1,1
"H20.2","Lens-induced iridocyclitis","H20.2","Lens-induced iridocyclitis",3364,1,1
"H20.8","Other iridocyclitis","H20.8","Other iridocyclitis",3365,1,1
"H20.9","Iridocyclitis, unspecified","H20.9","Iridocyclitis, unspecified",3366,1,1
"H21.0","Hyphaema","H21.0","Hyphaema",3367,1,1
"H21.1","Other vascular disorders of iris and ciliary body","H21.1","Other vascular disorders of iris and ciliary body",3368,1,1
"H21.2","Degeneration of iris and ciliary body","H21.2","Degeneration of iris and ciliary body",3369,1,1
"H21.3","Cyst of iris, ciliary body and anterior chamber","H21.3","Cyst of iris, ciliary body and anterior chamber",3370,1,1
"H21.4","Pupillary membranes","H21.4","Pupillary membranes",3371,1,1
"H21.5","Other adhesions and disruptions of iris and ciliary body","H21.5","Other adhesions and disruptions of iris and ciliary body",3372,1,1
"H21.8","Other specified disorders of iris and ciliary body","H21.8","Other specified disorders of iris and ciliary body",3373,1,1
"H21.9","Disorder of iris and ciliary body, unspecified","H21.9","Disorder of iris and ciliary body, unspecified",3374,1,1
"H22.0","Iridocyclitis in infectious and parasitic diseases classified elsewhere","H22.0","Iridocyclitis in infectious and parasitic diseases classified elsewhere",3375,1,1
"H22.1","Iridocyclitis in other diseases classified elsewhere","H22.1","Iridocyclitis in other diseases classified elsewhere",3376,1,1
"H22.8","Other disorders of iris and ciliary body in diseases classified elsewhere","H22.8","Other disorders of iris and ciliary body in diseases classified elsewhere",3377,1,1
"H25.0","Senile incipient cataract","H25.0","Senile incipient cataract",3378,1,1
"H25.1","Senile nuclear cataract","H25.1","Senile nuclear cataract",3379,1,1
"H25.2","Senile cataract, morgagnian type","H25.2","Senile cataract, morgagnian type",3380,1,1
"H25.8","Other senile cataract","H25.8","Other senile cataract",3381,1,1
"H25.9","Senile cataract, unspecified","H25.9","Senile cataract, unspecified",3382,1,1
"H26.0","Infantile, juvenile and presenile cataract","H26.0","Infantile, juvenile and presenile cataract",3383,1,1
"H26.1","Traumatic cataract","H26.1","Traumatic cataract",3384,1,1
"H26.2","Complicated cataract","H26.2","Complicated cataract",3385,1,1
"H26.3","Drug-induced cataract","H26.3","Drug-induced cataract",3386,1,1
"H26.4","After-cataract","H26.4","After-cataract",3387,1,1
"H26.8","Other specified cataract","H26.8","Other specified cataract",3388,1,1
"H26.9","Cataract, unspecified","H26.9","Cataract, unspecified",3389,1,1
"H27.0","Aphakia","H27.0","Aphakia",3390,1,1
"H27.1","Dislocation of lens","H27.1","Dislocation of lens",3391,1,1
"H27.8","Other specified disorders of lens","H27.8","Other specified disorders of lens",3392,1,1
"H27.9","Disorder of lens, unspecified","H27.9","Disorder of lens, unspecified",3393,1,1
"H28.0","Diabetic cataract","E14.36","Unspecified diabetes mellitus with diabetic cataract",3394,1,4
"H28.0","Diabetic cataract","E13.36","Other specified diabetes mellitus with diabetic cataract",3395,2,4
"H28.0","Diabetic cataract","E10.36","Type 1 diabetes mellitus with diabetic cataract",3396,3,4
"H28.0","Diabetic cataract","E11.36","Type 2 diabetes mellitus with diabetic cataract",3397,4,4
"H28.1","Cataract in other endocrine, nutritional and metabolic diseases","H28.1","Cataract in endocrine, nutritional and metabolic diseases",3398,1,1
"H28.2","Cataract in other diseases classified elsewhere","H28.2","Cataract in other diseases classified elsewhere",3399,1,1
"H28.8","Other disorders of lens in diseases classified elsewhere","H28.8","Other disorders of lens in diseases classified elsewhere",3400,1,1
"H30.0","Focal chorioretinal inflammation","H30.0","Focal chorioretinal inflammation",3401,1,1
"H30.1","Disseminated chorioretinal inflammation","H30.1","Disseminated chorioretinal inflammation",3402,1,1
"H30.2","Posterior cyclitis","H30.2","Posterior cyclitis",3403,1,1
"H30.8","Other chorioretinal inflammations","H30.8","Other chorioretinal inflammations",3404,1,1
"H30.9","Chorioretinal inflammation, unspecified","H30.9","Chorioretinal inflammation, unspecified",3405,1,1
"H31.0","Chorioretinal scars","H31.0","Chorioretinal scars",3406,1,1
"H31.1","Choroidal degeneration","H31.1","Choroidal degeneration",3407,1,1
"H31.2","Hereditary choroidal dystrophy","H31.2","Hereditary choroidal dystrophy",3408,1,1
"H31.3","Choroidal haemorrhage and rupture","H31.3","Choroidal haemorrhage and rupture",3409,1,1
"H31.4","Choroidal detachment","H31.4","Choroidal detachment",3410,1,1
"H31.8","Other specified disorders of choroid","H31.8","Other specified disorders of choroid",3411,1,1
"H31.9","Disorder of choroid, unspecified","H31.9","Disorder of choroid, unspecified",3412,1,1
"H32.0","Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere","H32.0","Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere",3413,1,1
"H32.8","Other chorioretinal disorders in diseases classified elsewhere","H32.8","Other chorioretinal disorders in diseases classified elsewhere",3414,1,1
"H33.0","Retinal detachment with retinal break","H33.0","Retinal detachment with retinal break",3415,1,1
"H33.1","Retinoschisis and retinal cysts","H33.1","Retinoschisis and retinal cysts",3416,1,1
"H33.2","Serous retinal detachment","H33.2","Serous retinal detachment",3417,1,1
"H33.3","Retinal breaks without detachment","H33.3","Retinal breaks without detachment",3418,1,1
"H33.4","Traction detachment of retina","H33.4","Traction detachment of retina",3419,1,1
"H33.5","Other retinal detachments","H33.5","Other retinal detachments",3420,1,1
"H34.0","Transient retinal artery occlusion","H34.0","Transient retinal artery occlusion",3421,1,1
"H34.1","Central retinal artery occlusion","H34.1","Central retinal artery occlusion",3422,1,1
"H34.2","Other retinal artery occlusions","H34.2","Other retinal artery occlusions",3423,1,1
"H34.8","Other retinal vascular occlusions","H34.8","Other retinal vascular occlusions",3424,1,1
"H34.9","Retinal vascular occlusion, unspecified","H34.9","Retinal vascular occlusion, unspecified",3425,1,1
"H35.0","Background retinopathy and retinal vascular changes","H35.0","Background retinopathy and retinal vascular changes",3426,1,1
"H35.1","Retinopathy of prematurity","H35.1","Retinopathy of prematurity",3427,1,1
"H35.2","Other proliferative retinopathy","H35.2","Other proliferative retinopathy",3428,1,1
"H35.3","Degeneration of macula and posterior pole","H35.3","Degeneration of macula and posterior pole",3429,1,1
"H35.4","Peripheral retinal degeneration","H35.4","Peripheral retinal degeneration",3430,1,1
"H35.5","Hereditary retinal dystrophy","H35.5","Hereditary retinal dystrophy",3431,1,1
"H35.6","Retinal haemorrhage","H35.6","Retinal haemorrhage",3432,1,1
"H35.7","Separation of retinal layers","H35.7","Separation of retinal layers",3433,1,1
"H35.8","Other specified retinal disorders","H35.8","Other specified retinal disorders",3434,1,1
"H35.9","Retinal disorder, unspecified","H35.9","Retinal disorder, unspecified",3435,1,1
"H36.0","Diabetic retinopathy","E14.31","Unspecified diabetes mellitus with background retinopathy",3436,1,4
"H36.0","Diabetic retinopathy","E13.31","Other specified diabetes mellitus with background retinopathy",3437,2,4
"H36.0","Diabetic retinopathy","E10.31","Type 1 diabetes mellitus with background retinopathy",3438,3,4
"H36.0","Diabetic retinopathy","E11.31","Type 2 diabetes mellitus with background retinopathy",3439,4,4
"H36.8","Other retinal disorders in diseases classified elsewhere","H36","Retinal disorders in diseases classified elsewhere",3440,1,1
"H40.0","Glaucoma suspect","H40.0","Glaucoma suspect",3441,1,1
"H40.1","Primary open-angle glaucoma","H40.1","Primary open-angle glaucoma",3442,1,1
"H40.2","Primary angle-closure glaucoma","H40.2","Primary angle-closure glaucoma",3443,1,1
"H40.3","Glaucoma secondary to eye trauma","H40.3","Glaucoma secondary to eye trauma",3444,1,1
"H40.4","Glaucoma secondary to eye inflammation","H40.4","Glaucoma secondary to eye inflammation",3445,1,1
"H40.5","Glaucoma secondary to other eye disorders","H40.5","Glaucoma secondary to other eye disorders",3446,1,1
"H40.6","Glaucoma secondary to drugs","H40.6","Glaucoma secondary to drugs",3447,1,1
"H40.8","Other glaucoma","H40.8","Other glaucoma",3448,1,1
"H40.9","Glaucoma, unspecified","H40.9","Glaucoma, unspecified",3449,1,1
"H42.0","Glaucoma in endocrine, nutritional and metabolic diseases","H42.0","Glaucoma in endocrine, nutritional and metabolic diseases",3450,1,1
"H42.8","Glaucoma in other diseases classified elsewhere","H42.8","Glaucoma in other diseases classified elsewhere",3451,1,1
"H43.0","Vitreous prolapse","H43.0","Vitreous prolapse",3452,1,1
"H43.1","Vitreous haemorrhage","H43.1","Vitreous haemorrhage",3453,1,1
"H43.2","Crystalline deposits in vitreous body","H43.2","Crystalline deposits in vitreous body",3454,1,1
"H43.3","Other vitreous opacities","H43.3","Other vitreous opacities",3455,1,1
"H43.8","Other disorders of vitreous body","H43.8","Other disorders of vitreous body",3456,1,1
"H43.9","Disorder of vitreous body, unspecified","H43.9","Disorder of vitreous body, unspecified",3457,1,1
"H44.0","Purulent endophthalmitis","H44.0","Purulent endophthalmitis",3458,1,1
"H44.1","Other endophthalmitis","H44.1","Other endophthalmitis",3459,1,1
"H44.2","Degenerative myopia","H44.2","Degenerative myopia",3460,1,1
"H44.3","Other degenerative disorders of globe","H44.3","Other degenerative disorders of globe",3461,1,1
"H44.4","Hypotony of eye","H44.4","Hypotony of eye",3462,1,1
"H44.5","Degenerated conditions of globe","H44.5","Degenerated conditions of globe",3463,1,1
"H44.6","Retained (old) intraocular foreign body, magnetic","H44.6","Retained (old) intraocular foreign body, magnetic",3464,1,1
"H44.7","Retained (old) intraocular foreign body, nonmagnetic","H44.7","Retained (old) intraocular foreign body, nonmagnetic",3465,1,1
"H44.8","Other disorders of globe","H44.8","Other disorders of globe",3466,1,1
"H44.9","Disorder of globe, unspecified","H44.9","Disorder of globe, unspecified",3467,1,1
"H45.0","Vitreous haemorrhage in diseases classified elsewhere","H45.0","Vitreous haemorrhage in diseases classified elsewhere",3468,1,1
"H45.1","Endophthalmitis in diseases classified elsewhere","H45.1","Endophthalmitis in diseases classified elsewhere",3469,1,1
"H45.8","Other disorders of vitreous body and globe in diseases classified elsewhere","H45.8","Other disorders of vitreous body and globe in diseases classified elsewhere",3470,1,1
"H46","Optic neuritis","H46","Optic neuritis",3471,1,1
"H47.0","Disorders of optic nerve, not elsewhere classified","H47.0","Disorders of optic nerve, not elsewhere classified",3472,1,1
"H47.1","Papilloedema, unspecified","H47.1","Papilloedema, unspecified",3473,1,1
"H47.2","Optic atrophy","H47.2","Optic atrophy",3474,1,1
"H47.3","Other disorders of optic disc","H47.3","Other disorders of optic disc",3475,1,1
"H47.4","Disorders of optic chiasm","H47.4","Disorders of optic chiasm",3476,1,1
"H47.5","Disorders of other visual pathways","H47.5","Disorders of other visual pathways",3477,1,1
"H47.6","Disorders of visual cortex","H47.6","Disorders of visual cortex",3478,1,1
"H47.7","Disorder of visual pathways, unspecified","H47.7","Disorder of visual pathways, unspecified",3479,1,1
"H48.0","Optic atrophy in diseases classified elsewhere","H48.0","Optic atrophy in diseases classified elsewhere",3480,1,1
"H48.1","Retrobulbar neuritis in diseases classified elsewhere","H48.1","Retrobulbar neuritis in diseases classified elsewhere",3481,1,1
"H48.8","Other disorders of optic nerve and visual pathways in diseases classified elsewhere","H48.8","Other disorders of optic nerve and visual pathways in diseases classified elsewhere",3482,1,1
"H49.0","Third [oculomotor] nerve palsy","H49.0","Third [oculomotor] nerve palsy",3483,1,1
"H49.1","Fourth [trochlear] nerve palsy","H49.1","Fourth [trochlear] nerve palsy",3484,1,1
"H49.2","Sixth [abducent] nerve palsy","H49.2","Sixth [abducent] nerve palsy",3485,1,1
"H49.3","Total (external) ophthalmoplegia","H49.3","Total (external) ophthalmoplegia",3486,1,1
"H49.4","Progressive external ophthalmoplegia","H49.4","Progressive external ophthalmoplegia",3487,1,1
"H49.8","Other paralytic strabismus","H49.8","Other paralytic strabismus",3488,1,1
"H49.9","Paralytic strabismus, unspecified","H49.9","Paralytic strabismus, unspecified",3489,1,1
"H50.0","Convergent concomitant strabismus","H50.0","Convergent concomitant strabismus",3490,1,1
"H50.1","Divergent concomitant strabismus","H50.1","Divergent concomitant strabismus",3491,1,1
"H50.2","Vertical strabismus","H50.2","Vertical strabismus",3492,1,1
"H50.3","Intermittent heterotropia","H50.3","Intermittent heterotropia",3493,1,1
"H50.4","Other and unspecified heterotropia","H50.4","Other and unspecified heterotropia",3494,1,1
"H50.5","Heterophoria","H50.5","Heterophoria",3495,1,1
"H50.6","Mechanical strabismus","H50.6","Mechanical strabismus",3496,1,1
"H50.8","Other specified strabismus","H50.8","Other specified strabismus",3497,1,1
"H50.9","Strabismus, unspecified","H50.9","Strabismus, unspecified",3498,1,1
"H51.0","Palsy of conjugate gaze","H51.0","Palsy of conjugate gaze",3499,1,1
"H51.1","Convergence insufficiency and excess","H51.1","Convergence insufficiency and excess",3500,1,1
"H51.2","Internuclear ophthalmoplegia","H51.2","Internuclear ophthalmoplegia",3501,1,1
"H51.8","Other specified disorders of binocular movement","H51.8","Other specified disorders of binocular movement",3502,1,1
"H51.9","Disorder of binocular movement, unspecified","H51.9","Disorder of binocular movement, unspecified",3503,1,1
"H52.0","Hypermetropia","H52.0","Hypermetropia",3504,1,1
"H52.1","Myopia","H52.1","Myopia",3505,1,1
"H52.2","Astigmatism","H52.2","Astigmatism",3506,1,1
"H52.3","Anisometropia and aniseikonia","H52.3","Anisometropia and aniseikonia",3507,1,1
"H52.4","Presbyopia","H52.4","Presbyopia",3508,1,1
"H52.5","Disorders of accommodation","H52.5","Disorders of accommodation",3509,1,1
"H52.6","Other disorders of refraction","H52.6","Other disorders of refraction",3510,1,1
"H52.7","Disorder of refraction, unspecified","H52.7","Disorder of refraction, unspecified",3511,1,1
"H53.0","Amblyopia ex anopsia","H53.0","Amblyopia ex anopsia",3512,1,1
"H53.1","Subjective visual disturbances","H53.1","Subjective visual disturbances",3513,1,1
"H53.2","Diplopia","H53.2","Diplopia",3514,1,1
"H53.3","Other disorders of binocular vision","H53.3","Other disorders of binocular vision",3515,1,1
"H53.4","Visual field defects","H53.4","Visual field defects",3516,1,1
"H53.5","Colour vision deficiencies","H53.5","Colour vision deficiencies",3517,1,1
"H53.6","Night blindness","H53.6","Night blindness",3518,1,1
"H53.8","Other visual disturbances","H53.8","Other visual disturbances",3519,1,1
"H53.9","Visual disturbance, unspecified","H53.9","Visual disturbance, unspecified",3520,1,1
"H54.0","Blindness, binocular","H54.0","Blindness, binocular",3521,1,1
"H54.1","Severe visual impairment, binocular","H54.1","Severe visual impairment, binocular",3522,1,1
"H54.2","Moderate visual impairment, binocular","H54.2","Moderate visual impairment, binocular",3523,1,1
"H54.3","Mild or no visual impairment, binocular","H54.3","Mild or no visual impairment, binocular",3524,1,1
"H54.4","Blindness, monocular","H54.4","Blindness, monocular",3525,1,1
"H54.5","Severe visual impairment, monocular","H54.5","Severe visual impairment, monocular",3526,1,1
"H54.6","Moderate visual impairment, monocular","H54.6","Moderate visual impairment, monocular",3527,1,1
"H54.9","Unspecified visual impairment (binocular)","H54.9","Unspecified visual impairment",3528,1,1
"H55","Nystagmus and other irregular eye movements","H55","Nystagmus and other irregular eye movements",3529,1,1
"H57.0","Anomalies of pupillary function","H57.0","Anomalies of pupillary function",3530,1,1
"H57.1","Ocular pain","H57.1","Ocular pain",3531,1,1
"H57.8","Other specified disorders of eye and adnexa","H57.8","Other specified disorders of eye and adnexa",3532,1,1
"H57.9","Disorder of eye and adnexa, unspecified","H57.9","Disorder of eye and adnexa, unspecified",3533,1,1
"H58.0","Anomalies of pupillary function in diseases classified elsewhere","H58.0","Anomalies of pupillary function in diseases classified elsewhere",3534,1,1
"H58.1","Visual disturbances in diseases classified elsewhere","H58.1","Visual disturbances in diseases classified elsewhere",3535,1,1
"H58.8","Other specified disorders of eye and adnexa in diseases classified elsewhere","H58.8","Other specified disorders of eye and adnexa in diseases classified elsewhere",3536,1,1
"H59.0","Keratopathy (bullous aphakic) following cataract surgery","H59.0","Postprocedural keratopathy [bullous aphakic]",3537,1,1
"H59.8","Other postprocedural disorders of eye and adnexa","H59.89","Other intraoperative and postprocedural disorders of eye and adnexa, not elsewhere classified",3538,1,6
"H59.8","Other postprocedural disorders of eye and adnexa","H59.81","Postprocedural cystoid macula oedema",3539,2,6
"H59.8","Other postprocedural disorders of eye and adnexa","H59.82","Postprocedural blebitis",3540,3,6
"H59.8","Other postprocedural disorders of eye and adnexa","H59.83","Postprocedural endophthalmitis",3541,4,6
"H59.8","Other postprocedural disorders of eye and adnexa","H59.84","Postprocedural chorioretinal scars",3542,5,6
"H59.8","Other postprocedural disorders of eye and adnexa","H59.85","Postprocedural hyphaema",3543,6,6
"H59.9","Postprocedural disorder of eye and adnexa, unspecified","H59.9","Intraoperative and postprocedural disorder of eye and adnexa, unspecified",3544,1,1
"H60.0","Abscess of external ear","H60.0","Abscess of external ear",3545,1,1
"H60.1","Cellulitis of external ear","H60.1","Cellulitis of external ear",3546,1,1
"H60.2","Malignant otitis externa","H60.2","Malignant otitis externa",3547,1,1
"H60.3","Other infective otitis externa","H60.3","Other infective otitis externa",3548,1,1
"H60.4","Cholesteatoma of external ear","H60.4","Cholesteatoma of external ear",3549,1,1
"H60.5","Acute otitis externa, noninfective","H60.5","Acute otitis externa, noninfective",3550,1,1
"H60.8","Other otitis externa","H60.8","Other otitis externa",3551,1,1
"H60.9","Otitis externa, unspecified","H60.9","Otitis externa, unspecified",3552,1,1
"H61.0","Perichondritis of external ear","H61.0","Perichondritis of external ear",3553,1,1
"H61.1","Noninfective disorders of pinna","H61.1","Noninfective disorders of pinna",3554,1,1
"H61.2","Impacted cerumen","H61.2","Impacted cerumen",3555,1,1
"H61.3","Acquired stenosis of external ear canal","H61.3","Acquired stenosis of external ear canal",3556,1,1
"H61.8","Other specified disorders of external ear","H61.8","Other specified disorders of external ear",3557,1,1
"H61.9","Disorder of external ear, unspecified","H61.9","Disorder of external ear, unspecified",3558,1,1
"H62.0","Otitis externa in bacterial diseases classified elsewhere","H62.0","Otitis externa in bacterial diseases classified elsewhere",3559,1,1
"H62.1","Otitis externa in viral diseases classified elsewhere","H62.1","Otitis externa in viral diseases classified elsewhere",3560,1,1
"H62.2","Otitis externa in mycoses","H62.2","Otitis externa in mycoses",3561,1,1
"H62.3","Otitis externa in other infectious and parasitic diseases classified elsewhere","H62.3","Otitis externa in other infectious and parasitic diseases classified elsewhere",3562,1,1
"H62.4","Otitis externa in other diseases classified elsewhere","H62.4","Otitis externa in other diseases classified elsewhere",3563,1,1
"H62.8","Other disorders of external ear in diseases classified elsewhere","H62.8","Other disorders of external ear in diseases classified elsewhere",3564,1,1
"H65.0","Acute serous otitis media","H65.0","Acute serous otitis media",3565,1,1
"H65.1","Other acute nonsuppurative otitis media","H65.1","Other acute nonsuppurative otitis media",3566,1,1
"H65.2","Chronic serous otitis media","H65.2","Chronic serous otitis media",3567,1,1
"H65.3","Chronic mucoid otitis media","H65.3","Chronic mucoid otitis media",3568,1,1
"H65.4","Other chronic nonsuppurative otitis media","H65.4","Other chronic nonsuppurative otitis media",3569,1,1
