"","icd10am_code","icd10am_name","epcc_code","epcc_name","chapter_groups","block","block_desc","chapter_range","chapter_desc","epcc_code_source","in_drt"
"1753","D80.4","Selective deficiency of immunoglobulin M [IgM]",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1754","D80.5","Immunodeficiency with increased immunoglobulin M [IgM]",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1755","D80.6","Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1756","D80.7","Transient hypogammaglobulinaemia of infancy",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1757","D80.8","Other immunodeficiencies with predominantly antibody defects",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1758","D80.9","Immunodeficiency with predominantly antibody defects, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1759","D81.0","Severe combined immunodeficiency [SCID] with reticular dysgenesis",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1760","D81.1","Severe combined immunodeficiency [SCID] with low T- and B-cell numbers",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1761","D81.2","Severe combined immunodeficiency [SCID] with low or normal B-cell numbers",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1762","D81.3","Adenosine deaminase [ADA] deficiency",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1763","D81.4","Nezelof's syndrome",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1764","D81.5","Purine nucleoside phosphorylase [PNP] deficiency",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1765","D81.6","Major histocompatibility complex class I deficiency",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1766","D81.7","Major histocompatibility complex class II deficiency",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1767","D81.8","Other combined immunodeficiencies",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1768","D81.9","Combined immunodeficiency, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1769","D82.0","Wiskott-Aldrich syndrome",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1770","D82.1","Di George's syndrome","14.02.06","Chromosomal anomaly, 22q11 microdeletion, 22q11 microdeletion with full DiGeorge sequence (including immune dysfunction),","other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)","keysoft_v2",TRUE
"1771","D82.2","Immunodeficiency with short-limbed stature",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1772","D82.3","Immunodeficiency following hereditary defective response to Epstein-Barr virus",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1773","D82.4","Hyperimmunoglobulin E [IgE] syndrome",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1774","D82.8","Immunodeficiency associated with other specified major defects",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1775","D82.9","Immunodeficiency associated with major defect, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1776","D83.0","Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1777","D83.1","Common variable immunodeficiency with predominant immunoregulatory T-cell disorders",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1778","D83.2","Common variable immunodeficiency with autoantibodies to B- or T-cells",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1779","D83.8","Other common variable immunodeficiencies",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1780","D83.9","Common variable immunodeficiency, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1781","D84.0","Lymphocyte function antigen-1 [LFA-1] defect",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1782","D84.1","Defects in the complement system",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1783","D84.8","Other specified immunodeficiencies",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1784","D84.9","Immunodeficiency, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1785","D86.0","Sarcoidosis of lung",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1786","D86.1","Sarcoidosis of lymph nodes",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1787","D86.2","Sarcoidosis of lung with sarcoidosis of lymph nodes",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1788","D86.3","Sarcoidosis of skin",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1789","D86.8","Sarcoidosis of other and combined sites",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1790","D86.9","Sarcoidosis, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1791","D89.0","Polyclonal hypergammaglobulinaemia",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1792","D89.1","Cryoglobulinaemia",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1793","D89.2","Hypergammaglobulinaemia, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1794","D89.3","Immune reconstitution syndrome",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1795","D89.81","Cytokine release syndrome",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1796","D89.82","Immunocompromised status",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1797","D89.89","Other specified disorders involving the immune mechanism, not elsewhere classified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1798","D89.9","Disorder involving the immune mechanism, unspecified",,,"other","D80-D89","Certain disorders involving the immune mechanism","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",,FALSE
"1799","E00.0","Congenital iodine-deficiency syndrome, neurological type",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1800","E00.1","Congenital iodine-deficiency syndrome, myxoedematous type",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1801","E00.2","Congenital iodine-deficiency syndrome, mixed type",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1802","E00.9","Congenital iodine-deficiency syndrome, unspecified",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1803","E01.0","Iodine-deficiency-related diffuse (endemic) goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1804","E01.1","Iodine-deficiency-related multinodular (endemic) goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1805","E01.2","Iodine-deficiency-related (endemic) goitre, unspecified",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1806","E01.8","Other iodine-deficiency-related thyroid disorders and allied conditions",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1807","E02","Subclinical iodine-deficiency hypothyroidism",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1808","E03.0","Congenital hypothyroidism with diffuse goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1809","E03.1","Congenital hypothyroidism without goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1810","E03.2","Hypothyroidism due to medicaments and other exogenous substances",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1811","E03.3","Postinfectious hypothyroidism",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1812","E03.4","Atrophy of thyroid (acquired)",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1813","E03.5","Myxoedema coma",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1814","E03.8","Other specified hypothyroidism",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1815","E03.9","Hypothyroidism, unspecified","14.03.52","Hypothyroidism,","other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)","keysoft_v2",TRUE
"1816","E04.0","Nontoxic diffuse goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1817","E04.1","Nontoxic single thyroid nodule",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1818","E04.2","Nontoxic multinodular goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1819","E04.8","Other specified nontoxic goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1820","E04.9","Nontoxic goitre, unspecified",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1821","E05.0","Thyrotoxicosis with diffuse goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1822","E05.1","Thyrotoxicosis with toxic single thyroid nodule",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1823","E05.2","Thyrotoxicosis with toxic multinodular goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1824","E05.3","Thyrotoxicosis from ectopic thyroid tissue",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1825","E05.4","Thyrotoxicosis factitia",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1826","E05.5","Thyroid crisis or storm",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1827","E05.8","Other thyrotoxicosis",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1828","E05.9","Thyrotoxicosis, unspecified","14.03.75","Hyperthyroidism,","other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)","keysoft_v2",TRUE
"1829","E06.0","Acute thyroiditis",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1830","E06.1","Subacute thyroiditis",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1831","E06.2","Chronic thyroiditis with transient thyrotoxicosis",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1832","E06.3","Autoimmune thyroiditis",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1833","E06.4","Drug-induced thyroiditis",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1834","E06.5","Other chronic thyroiditis",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1835","E06.9","Thyroiditis, unspecified",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1836","E07.0","Hypersecretion of calcitonin",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1837","E07.1","Dyshormogenetic goitre",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1838","E07.8","Other specified disorders of thyroid",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1839","E07.9","Disorder of thyroid, unspecified",,,"other","E00-E07","Disorders of thyroid gland","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1840","E09.21","Intermediate hyperglycaemia with incipient nephropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1841","E09.29","Intermediate hyperglycaemia with other specified kidney complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1842","E09.31","Intermediate hyperglycaemia with background retinopathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1843","E09.32","Intermediate hyperglycaemia with preproliferative retinopathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1844","E09.40","Intermediate hyperglycaemia with unspecified neuropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1845","E09.42","Intermediate hyperglycaemia with polyneuropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1846","E09.51","Intermediate hyperglycaemia with peripheral angiopathy, without gangrene",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1847","E09.52","Intermediate hyperglycaemia with peripheral angiopathy, with gangrene",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1848","E09.71","Intermediate hyperglycaemia with multiple microvascular complications",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1849","E09.72","Intermediate hyperglycaemia with features of insulin resistance",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1850","E09.8","Intermediate hyperglycaemia with unspecified complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1851","E09.9","Intermediate hyperglycaemia without complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1852","E10.01","Type 1 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma (NKHHC)",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1853","E10.02","Type 1 diabetes mellitus with hyperosmolarity with coma",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1854","E10.11","Type 1 diabetes mellitus with ketoacidosis, without coma",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1855","E10.12","Type 1 diabetes mellitus with ketoacidosis, with coma",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1856","E10.13","Type 1 diabetes mellitus with lactic acidosis, without coma",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1857","E10.14","Type 1 diabetes mellitus with lactic acidosis, with coma",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1858","E10.15","Type 1 diabetes mellitus with ketoacidosis, with lactic acidosis, without coma",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1859","E10.16","Type 1 diabetes mellitus with ketoacidosis, with lactic acidosis, with coma",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1860","E10.21","Type 1 diabetes mellitus with incipient diabetic nephropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1861","E10.22","Type 1 diabetes mellitus with established diabetic nephropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1862","E10.29","Type 1 diabetes mellitus with other specified kidney complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1863","E10.31","Type 1 diabetes mellitus with background retinopathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1864","E10.32","Type 1 diabetes mellitus with preproliferative retinopathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1865","E10.33","Type 1 diabetes mellitus with proliferative retinopathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1866","E10.34","Type 1 diabetes mellitus with other retinopathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1867","E10.35","Type 1 diabetes mellitus with advanced ophthalmic disease",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1868","E10.36","Type 1 diabetes mellitus with diabetic cataract",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1869","E10.39","Type 1 diabetes mellitus with other specified ophthalmic complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1870","E10.40","Type 1 diabetes mellitus with unspecified neuropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1871","E10.41","Type 1 diabetes mellitus with diabetic mononeuropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1872","E10.42","Type 1 diabetes mellitus with diabetic polyneuropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1873","E10.43","Type 1 diabetes mellitus with diabetic autonomic neuropathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1874","E10.49","Type 1 diabetes mellitus with other specified neurological complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1875","E10.51","Type 1 diabetes mellitus with peripheral angiopathy, without gangrene",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1876","E10.52","Type 1 diabetes mellitus with peripheral angiopathy, with gangrene",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1877","E10.53","Type 1 diabetes mellitus with diabetic cardiomyopathy",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1878","E10.61","Type 1 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1879","E10.62","Type 1 diabetes mellitus with specified skin and subcutaneous tissue complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1880","E10.63","Type 1 diabetes mellitus with specified periodontal complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1881","E10.64","Type 1 diabetes mellitus with hypoglycaemia",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1882","E10.65","Type 1 diabetes mellitus with poor control",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1883","E10.69","Type 1 diabetes mellitus with other specified complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1884","E10.71","Type 1 diabetes mellitus with multiple microvascular and other specified nonvascular complications",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1885","E10.73","Type 1 diabetes mellitus with foot ulcer due to multiple causes",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1886","E10.8","Type 1 diabetes mellitus with unspecified complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1887","E10.9","Type 1 diabetes mellitus without complication",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
"1888","E11.01","Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]",,,"other","E09-E14","Intermediate hyperglycaemia and diabetes mellitus","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",,FALSE
