"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Non-cardiac anomalies and diseases associated with heart anomalies","Anterior chest wall (pectus) deformity,","14.04.14","Q67.8","Other congenital deformities of chest",,"Q67.8","Other congenital deformities of chest",,"Pectus","754.8",
"Non-cardiac anomalies and diseases associated with heart anomalies","Pectus carinatum,","14.04.04","Q67.7","Pectus carinatum",,"Q67.7","Pectus carinatum",,"Pectus","754.8",
"Non-cardiac anomalies and diseases associated with heart anomalies","Pectus excavatum,","14.04.05","Q67.6","Pectus excavatum",,"Q67.6","Pectus excavatum",,"Pectus","754.8",
"Non-cardiac anomalies and diseases associated with heart anomalies","Congenital coagulation disorder,","14.03.28","D68.8","Other specified coagulation defects",,"D68.8","Other specified coagulation defects",,"Other preoperative noncardiac abnormality","286.9",
"Non-cardiac anomalies and diseases associated with heart anomalies","Connective tissue disease,","14.03.92","M35.9","Systemic involvement of connective tissue, unspecified",,"M35.9","Systemic involvement of connective tissue, unspecified",,"Other preoperative noncardiac abnormality","710.9",
"Non-cardiac anomalies and diseases associated with heart anomalies","Non-cardiothoracic-vascular abnormality,","14.03.04","Q89.8","Other specified congenital malformations",,"Q89.89","Other specified congenital malformations","Q89.81, Q89.82, Q89.83","Miscellaneous, Other","759.8",
"Non-cardiac anomalies and diseases associated with heart anomalies","Thoracic-mediastinal abnormality,","14.03.29","Q89.8","Other specified congenital malformations",,"Q89.89","Other specified congenital malformations","Q89.81, Q89.82, Q89.83","Thoracic and-or mediastinal, Other","759.8",
"Rheumatic and infective heart disease","Acute rheumatic fever,","10.05.01","I00","Rheumatic fever without mention of heart involvement",,"I00","Rheumatic fever without mention of heart involvement",,"Miscellaneous, Other","390",
"Rheumatic and infective heart disease","Rheumatic fever with cardiac involvement,","10.05.21","I01",,,,,,"Rheumatic heart disease","391",
"Rheumatic and infective heart disease","Rheumatic valvar disease,","10.05.30","I09.1","Rheumatic diseases of endocardium, valve unspecified",,"I09.1","Rheumatic diseases of endocardium, valve unspecified",,"Rheumatic heart disease","397.9",
"Rheumatic and infective heart disease","Rheumatic mitral valvar disease,","10.05.31","I05.9","Mitral valve disease, unspecified",,"I05.9","Mitral valve disease, unspecified",,"Mitral valve, Other","394.9",
"Rheumatic and infective heart disease","Rheumatic aortic valvar disease,","10.05.33","I06.9","Rheumatic aortic valve disease, unspecified",,"I06.9","Rheumatic aortic valve disease, unspecified",,"Aortic valve, Other","395.9",
"Rheumatic and infective heart disease","Endocarditis,","10.06.00","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis",,"Endocarditis","421.0",
"Rheumatic and infective heart disease","Infective endocarditis,","10.06.01","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis",,"Endocarditis","421.0",
"Rheumatic and infective heart disease","Bacterial endocarditis,","10.06.41","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis",,"Endocarditis","421.0",
"Rheumatic and infective heart disease","Postprocedural endocarditis,","10.06.64","I33.0","Acute and subacute infective endocarditis","Y83.8","I33.0","Acute and subacute infective endocarditis",,"Postoperative endocarditis","421.0","E878.8"
"Rheumatic and infective heart disease","Heart abscess,","10.06.20","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Rheumatic and infective heart disease","Infectious myocarditis,","10.07.01","I40.0","Infective myocarditis",,"I40.0","Infective myocarditis",,"Cardiac, Other","422.9",
"Rheumatic and infective heart disease","Viral myocarditis,","10.07.03","I40.0","Infective myocarditis","B97","I40.0","Infective myocarditis",,"Cardiac, Other","422.9","79.9"
"Rheumatic and infective heart disease","Trypanosomal myocarditis (Chagas' disease),","10.07.08","B57.2","Chagas disease (chronic) with heart involvement","I41.2","B57.2","Chagas' disease (chronic) with heart involvement",,"Cardiac, Other","86.0","425.6"
"Rheumatic and infective heart disease","Infectious pericarditis,","10.08.01","I30.1","Infective pericarditis",,"I30.1","Infective pericarditis",,"Pericarditis","420.9",
"Rheumatic and infective heart disease","Viral pericarditis,","10.08.03","I30.1","Infective pericarditis","B97","I30.1","Infective pericarditis",,"Pericarditis","420.9","79.9"
"Rheumatic and infective heart disease","Bacterial pericarditis,","10.08.04","I30.1","Infective pericarditis","B96.8","I30.1","Infective pericarditis",,"Pericarditis","420.9","41.9"
"Great vein and atrial acquired abnormalities","Systemic vein abnormality: acquired,","10.30.00","I87.9","Disorder of vein, unspecified",,"I87.9","Disorder of vein, unspecified",,"Cardiac, Other","459.9",
"Great vein and atrial acquired abnormalities","Systemic vein obstruction,","10.30.09","I87.1","Compression of vein",,"I87.1","Compression of vein",,"Systemic venous obstruction","459.2",
"Great vein and atrial acquired abnormalities","Superior caval vein (SVC) abnormality: acquired,","10.31.01","I87.9","Disorder of vein, unspecified",,"I87.9","Disorder of vein, unspecified",,"Cardiac, Other","459.9",
"Great vein and atrial acquired abnormalities","Postprocedural superior caval vein (SVC) complication,","15.04.01","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified",,"Cardiac, Other","459.9","E878.8"
"Great vein and atrial acquired abnormalities","Inferior caval vein (IVC) abnormality - acquired,","10.31.21","I87.9","Disorder of vein, unspecified",,"I87.9","Disorder of vein, unspecified",,"Cardiac, Other","459.9",
"Great vein and atrial acquired abnormalities","Postprocedural inferior caval vein (IVC) complication,","15.04.05","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified",,"Cardiac, Other","459.9","E878.8"
"Great vein and atrial acquired abnormalities","Pulmonary venous abnormality: acquired,","10.24.00","I28.9","Disease of pulmonary vessels, unspecified",,"I28.9","Disease of pulmonary vessels, unspecified",,"Cardiac, Other","459.9",
"Great vein and atrial acquired abnormalities","Postprocedural pulmonary vein complication,","15.05.01","I28.9","Disease of pulmonary vessels, unspecified","Y83.8","I28.9","Disease of pulmonary vessels, unspecified",,"Cardiac, Other","459.9","E878.8"
"Great vein and atrial acquired abnormalities","Pulmonary vein obstruction,","15.05.03","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels",,"Pulmonary vein obstruction","459.2","E878.8"
"Great vein and atrial acquired abnormalities","Postprocedural major vein complication,","15.04.34","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified",,"Peripheral vascular, Other","459.9","E878.8"
"Great vein and atrial acquired abnormalities","Postprocedural femoral vein complication,","15.04.15","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified",,"Peripheral vascular, Other","459.9","E878.8"
"Great vein and atrial acquired abnormalities","Right atrial abnormality: acquired,","15.10.10","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Great vein and atrial acquired abnormalities","Postprocedural right atrial complication,","15.10.11","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Cardiac, Other","997.1","E878.8"
"Great vein and atrial acquired abnormalities","Obstruction of right atrial conduit (including total cavopulmonary connection),","15.10.13","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.89","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","T82.81, T82.82, T82.83, T82.84, T82.85, T82.86","Conduit failure","996.7",
"Great vein and atrial acquired abnormalities","Left atrial abnormality: acquired,","15.10.20","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Great vein and atrial acquired abnormalities","Postprocedural left atrial complication,","15.10.21","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Cardiac, Other","997.1","E878.8"
"Great vein and atrial acquired abnormalities","Atrial septum abnormality: acquired,","10.17.40","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Great vein and atrial acquired abnormalities","Postprocedural atrial septum complication,","15.10.61","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Cardiac, Other","997.1",
"Great vein and atrial acquired abnormalities","Residual interatrial communication ('ASD'),","15.10.63","Q21.1","Atrial septal defect","Y83.8","Q21.10","Atrial septal defect, unspecified","Q21.19, Q21.11, Q21.12, Q21.13, Q21.14, Q21.15","ASD","745.5","E878.8"
"Great vein and atrial acquired abnormalities","Ineffective balloon atrial septostomy,","15.10.66","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified","Y83.8","I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Cardiac, Other","429.4","E878.8"
"Great vein and atrial acquired abnormalities","Platypnoea-orthodeoxia syndrome,","10.17.50","Q21.8","Other congenital malformations of cardiac septa",,"Q21.89","Other specified congenital malformations of cardiac septum","Q21.81, Q21.82, Q21.83","Cardiac, Other","745.5",
"Acquired valvar and atrioventricular septal defect abnormalities","Heart valvar abnormality: acquired,","10.32.00","I38","Endocarditis, valve unspecified",,"I38","Endocarditis, valve unspecified",,"Cardiac, Other","424.9",
"Acquired valvar and atrioventricular septal defect abnormalities","Prosthetic valve failure,","10.33.00","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis",,"Prosthetic valve failure","996",
"Acquired valvar and atrioventricular septal defect abnormalities","Tricuspid valvar abnormality: acquired,","10.32.01","I36.9","Nonrheumatic tricuspid valve disorder, unspecified",,"I36.9","Nonrheumatic tricuspid valve disorder, unspecified",,"Tricuspid valve, Other","424.2",
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural tricuspid valvar complication,","15.11.00","I36.9","Nonrheumatic tricuspid valve disorder, unspecified","Y83.8","I36.9","Nonrheumatic tricuspid valve disorder, unspecified",,"Tricuspid valve, Other","424.2","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual tricuspid regurgitation,","15.11.03","Q22.8","Other congenital malformations of tricuspid valve","Y83.8","Q22.89","Other specified congenital malformations of tricuspid valve","Q22.81, Q22.82","Tricuspid regurgitation, non-Ebstein's related","746.8","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Tricuspid valvar prosthesis complication,","15.11.08","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis",,"Prosthetic valve failure","996.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral valvar abnormality: acquired,","10.33.01","I34.9","Nonrheumatic mitral valve disorder, unspecified",,"I34.9","Nonrheumatic mitral valve disorder, unspecified",,"Mitral valve, Other","424.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral stenosis: acquired,","10.33.02","I34.2","Nonrheumatic mitral (valve) stenosis",,"I34.2","Nonrheumatic mitral (valve) stenosis",,"Mitral stenosis, Valvar","394.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral valvar stenosis: recurrent,","10.33.03","I34.2","Nonrheumatic mitral (valve) stenosis",,"I34.2","Nonrheumatic mitral (valve) stenosis",,"Mitral stenosis, Valvar","394.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral regurgitation: acquired,","10.33.04","I34.0","Mitral (valve) insufficiency",,"I34.0","Mitral (valve) insufficiency",,"Mitral regurgitation","424.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral regurgitation: recurrent,","10.33.06","I34.0","Mitral (valve) insufficiency",,"I34.0","Mitral (valve) insufficiency",,"Mitral regurgitation","424.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural mitral valvar complication,","15.12.00","I34.9","Nonrheumatic mitral valve disorder, unspecified","Y83.8","I34.9","Nonrheumatic mitral valve disorder, unspecified",,"Mitral valve, Other","394.9","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual mitral valvar stenosis,","15.12.01","Q23.2","Congenital mitral stenosis","Y83.8","Q23.21","Congenital mitral stenosis","Q23.22","Mitral stenosis, Valvar","746.5","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual mitral regurgitation,","15.12.03","Q23.3","Congenital mitral insufficiency","Y83.8","Q23.3","Congenital mitral insufficiency",,"Mitral regurgitation","746.6","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral valvar prosthesis complication,","15.12.09","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis",,"Prosthetic valve failure","996.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Truncal valvar abnormality: acquired,","10.37.01","I38","Endocarditis, valve unspecified",,"I38","Endocarditis, valve unspecified",,"Cardiac, Other","424.9",
"Acquired valvar and atrioventricular septal defect abnormalities","Residual truncal regurgitation,","15.25.03","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Truncal valve insufficiency","746.9","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Common arterial trunk (truncus) abnormality: acquired,","10.51.01","I77.8","Other specified disorders of arteries and arterioles",,"I77.8","Other specified disorders of arteries and arterioles",,"Cardiac, Other","447.8",
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural common arterial trunk complication,","15.25.31","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Cardiac, Other","447.8","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar abnormality: acquired,","10.35.01","I37.9","Pulmonary valve disorder, unspecified",,"I37.9","Pulmonary valve disorder, unspecified",,"Pulmonary valve, Other","424.3",
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar stenosis: acquired,","10.35.02","I37.0","Pulmonary valve stenosis",,"I37.0","Pulmonary valve stenosis",,"Pulmonary stenosis, Valvar","424.3",
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar stenosis: recurrent,","10.35.03","I37.0","Pulmonary valve stenosis",,"I37.0","Pulmonary valve stenosis",,"Pulmonary stenosis, Valvar","424.3",
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary regurgitation: acquired,","10.35.04","I37.1","Pulmonary valve insufficiency",,"I37.1","Pulmonary valve insufficiency",,"Cardiac, Other","424.3",
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar atresia: acquired,","09.05.15","I37.8","Other pulmonary valve disorders",,"I37.8","Other pulmonary valve disorders",,"Pulmonary atresia","424.3",
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural pulmonary valvar complication,","15.30.00","I37.9","Pulmonary valve disorder, unspecified","Y83.8","I37.9","Pulmonary valve disorder, unspecified",,"Pulmonary valve, Other","424.3","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual pulmonary valvar stenosis,","15.30.01","Q22.1","Congenital pulmonary valve stenosis","Y83.8","Q22.1","Congenital pulmonary valve stenosis",,"Pulmonary stenosis, Valvar","746.0","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual pulmonary regurgitation,","15.30.03","Q22.2","Congenital pulmonary valve insufficiency","Y83.8","Q22.2","Congenital pulmonary valve insufficiency",,"Pulmonary insufficiency","746.0","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar prosthesis complication,","15.30.08","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis",,"Prosthetic valve failure","996.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar abnormality: acquired,","10.36.01","I35.9","Aortic valve disorder, unspecified",,"I35.9","Aortic valve disorder, unspecified",,"Aortic valve, Other","424.1",
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar stenosis: acquired,","10.36.02","I35.0","Aortic (valve) stenosis",,"I35.0","Aortic (valve) stenosis",,"Aortic stenosis, Valvar","424.1",
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar stenosis: recurrent,","10.36.03","I35.0","Aortic (valve) stenosis",,"I35.0","Aortic (valve) stenosis",,"Aortic stenosis, Valvar","424.1",
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic regurgitation: acquired,","10.36.04","I35.1","Aortic (valve) insufficiency",,"I35.1","Aortic (valve) insufficiency",,"Aortic insufficiency","424.1",
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic regurgitation: recurrent,","10.36.06","I35.1","Aortic (valve) insufficiency",,"I35.1","Aortic (valve) insufficiency",,"Aortic insufficiency","424.1",
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural aortic valvar complication,","15.35.00","I35.9","Aortic valve disorder, unspecified","Y83.8","I35.9","Aortic valve disorder, unspecified",,"Aortic valve, Other","424.1","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual aortic valvar stenosis,","15.35.01","Q23.0","Congenital stenosis of aortic valve","Y83.8","Q23.01","Congenital stenosis of aortic valve","Q23.02","Aortic stenosis, Valvar","746.3","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual aortic regurgitation,","15.35.03","Q23.1","Congenital insufficiency of aortic valve","Y83.8","Q23.1","Congenital insufficiency of aortic valve",,"Aortic insufficiency","746.4","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar prosthesis complication,","15.35.08","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis",,"Prosthetic valve failure","996.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural atrioventricular septal defect complication,","15.16.00","Q21.2","Atrioventricular septal defect","Y83.8","Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","Cardiac, Other","429.8","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Residual ventricular component of atrioventricular septal defect,","15.16.02","Q21.2","Atrioventricular septal defect","Y83.8","Q21.20","Atrioventricular septal defect, unspecified","Q21.29, Q21.21, Q21.22, Q21.23, Q21.24","VSD","745.6","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Atrioventricular valvar abnormality in atrioventricular septal defect (AVSD): acquired,","10.34.60","I38","Endocarditis, valve unspecified",,"I38","Endocarditis, valve unspecified",,"Cardiac, Other","424.9",
"Acquired valvar and atrioventricular septal defect abnormalities","Left atrioventricular valvar regurgitation: acquired,","10.34.44","I34.0","Mitral (valve) insufficiency",,"I34.0","Mitral (valve) insufficiency",,"Mitral regurgitation","424.0",
"Acquired valvar and atrioventricular septal defect abnormalities","Residual common atrioventricular valvar regurgitation,","15.13.02","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.9","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural right atrioventricular valvar complication,","15.14.00","I36.9","Nonrheumatic tricuspid valve disorder, unspecified","Y83.8","I36.9","Nonrheumatic tricuspid valve disorder, unspecified",,"Cardiac, Other","424.2","E878.8"
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural left atrioventricular valvar complication,","15.15.00","I34.9","Nonrheumatic mitral valve disorder, unspecified","Y83.8","I34.9","Nonrheumatic mitral valve disorder, unspecified",,"Cardiac, Other","394.9","E878.8"
"Acquired ventricular and ventricular septal abnormalities","Ventricular dyssynchrony,","07.00.01","I50.1","Left ventricular failure",,"I50.1","Left ventricular failure",,"Cardiac, Other","428.1",
"Acquired ventricular and ventricular septal abnormalities","Right ventricular abnormality: acquired,","10.16.00","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Acquired ventricular and ventricular septal abnormalities","Right ventricular dysfunction,","07.01.11","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Acquired ventricular and ventricular septal abnormalities","Right ventricular-congestive heart failure,","10.16.08","I50.0","Congestive heart failure",,"I50.0","Congestive heart failure",,"Cardiac, Other","428.0",
"Acquired ventricular and ventricular septal abnormalities","Postprocedural right ventricular complication,","15.20.01","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Cardiac, Other","997.1",
"Acquired ventricular and ventricular septal abnormalities","Postprocedural right ventricular outflow tract complication,","15.20.21","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8","E878.8"
"Acquired ventricular and ventricular septal abnormalities","Right ventricular outflow tract obstruction: acquired,","10.16.16","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Acquired ventricular and ventricular septal abnormalities","Aneurysm of right ventricular outflow tract patch,","15.20.25","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.89","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","T82.81, T82.82, T82.83, T82.84, T82.85, T82.86","Aneurysm, Ventricular, Right","996.7",
"Acquired ventricular and ventricular septal abnormalities","Residual right ventricular outflow tract obstruction,","15.20.23","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.8","E878.8"
"Acquired ventricular and ventricular septal abnormalities","Left ventricular abnormality: acquired,","10.16.40","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Acquired ventricular and ventricular septal abnormalities","Left ventricular dysfunction,","07.06.10","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Acquired ventricular and ventricular septal abnormalities","Left ventricular failure,","10.16.47","I50.1","Left ventricular failure",,"I50.1","Left ventricular failure",,"Cardiac, Other","428.1",
"Acquired ventricular and ventricular septal abnormalities","Postprocedural left ventricular complication,","15.21.01","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Cardiac, Other","997.1",
"Acquired ventricular and ventricular septal abnormalities","Postprocedural left ventricular outflow tract complication,","15.21.21","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8","E878.8"
"Acquired ventricular and ventricular septal abnormalities","Recurrent left ventricular outflow tract obstruction,","10.16.46","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Cardiac, Other","429.8",
"Acquired ventricular and ventricular septal abnormalities","Residual left ventricular outflow tract obstruction,","15.21.22","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Q24.81, Q24.82, Q24.83, Q24.84, Q24.85, Q24.86, Q24.87","Cardiac, Other","746.8","E878.8"
"Acquired ventricular and ventricular septal abnormalities","Narrowing of constructed intraventricular tunnel: acquired,","10.16.81","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.89","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","T82.81, T82.82, T82.83, T82.84, T82.85, T82.86","Cardiac, Other","996.7",
"Acquired ventricular and ventricular septal abnormalities","Subaortic stenosis: acquired,","10.16.86","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Aortic stenosis, Subvalvar","429.8",
"Acquired ventricular and ventricular septal abnormalities","Subaortic stenosis in complex heart disease: acquired,","10.16.82","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Aortic stenosis, Subvalvar","429.8",
"Acquired ventricular and ventricular septal abnormalities","Residual subaortic stenosis in complex heart disease,","15.20.75","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases",,"Aortic stenosis, Subvalvar","429.8","E878.8"
"Acquired ventricular and ventricular septal abnormalities","Subpulmonary stenosis: acquired,","10.16.88","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Pulmonary stenosis, Subvalvar","429.8",
"Acquired ventricular and ventricular septal abnormalities","Subpulmonary stenosis in complex heart disease: acquired,","10.16.83","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases",,"Pulmonary stenosis, Subvalvar","429.8",
"Acquired ventricular and ventricular septal abnormalities","Residual subpulmonary stenosis in complex heart disease,","15.20.76","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases",,"Pulmonary stenosis, Subvalvar","429.8","E878.8"
"Acquired ventricular and ventricular septal abnormalities","Abnormality associated with ventricular septum: acquired,","10.16.60","I51.0","Cardiac septal defect, acquired",,"I51.0","Cardiac septal defect, acquired",,"Cardiac, Other","429.8",
"Acquired ventricular and ventricular septal abnormalities","Postmyocardial infarct ventricular septal defect (VSD),","10.16.62","I23.2","Ventricular septal defect as current complication following acute myocardial infarction",,"I23.2","Ventricular septal defect as current complication following acute myocardial infarction",,"VSD","410",
"Acquired ventricular and ventricular septal abnormalities","Residual ventricular septal defect (VSD),","15.22.02","Q21.0","Ventricular septal defect","Y83.8","Q21.00","Ventricular septal defect, unspecified","Q21.09, Q21.01, Q21.02, Q21.03, Q21.04","VSD","745.4","E878.8"
"Cardiomyopathy and heart muscle diseases","Myocardial failure in end stage congenital heart disease,","10.07.40","I50.9","Heart failure, unspecified","Q24.9","I50.9","Heart failure, unspecified",,"Cardiomyopathy, End-stage congenital heart disease","428.9","746.9"
"Cardiomyopathy and heart muscle diseases","Cardiomyopathy,","10.10.01","I42.9","Cardiomyopathy, unspecified",,"I42.9","Cardiomyopathy, unspecified",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",
"Cardiomyopathy and heart muscle diseases","Ventricular myocardial noncompaction cardiomyopathy,","07.08.50","I42.8","Other cardiomyopathies",,"I42.8","Other cardiomyopathies",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",
"Cardiomyopathy and heart muscle diseases","Hypertrophic cardiomyopathy,","10.10.20","I42.2","Other hypertrophic cardiomyopathy",,"I42.2","Other hypertrophic cardiomyopathy",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",
"Cardiomyopathy and heart muscle diseases","Dilated cardiomyopathy,","10.10.25","I42.0","Dilated cardiomyopathy",,"I42.0","Dilated cardiomyopathy",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",
"Cardiomyopathy and heart muscle diseases","Arrhythmogenic right ventricular cardiomyopathy,","07.01.10","I42.8","Other cardiomyopathies",,"I42.8","Other cardiomyopathies",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",
"Cardiomyopathy and heart muscle diseases","Endocardial fibroelastosis,","10.10.12","I42.4","Endocardial fibroelastosis",,"I42.4","Endocardial fibroelastosis",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.3",
"Cardiomyopathy and heart muscle diseases","Idiopathic restrictive cardiomyopathy,","10.10.11","I42.5","Other restrictive cardiomyopathy",,"I42.5","Other restrictive cardiomyopathy",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",
