"icd10am_code","icd10am_name","epcc_code","epcc_name","epcc_code_source","chapter_groups","epcc_code_multiple","epcc_code_all","epcc_code_first","epcc_code_ks1","epcc_code_ks2","block","block_desc","chapter_range","chapter_desc"
"J68.4","Chronic respiratory conditions due to chemicals, gases, fumes and vapours",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J68.8","Other respiratory conditions due to chemicals, gases, fumes and vapours",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J68.9","Unspecified respiratory condition due to chemicals, gases, fumes and vapours",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J69.0","Pneumonitis due to food and vomit",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J69.1","Pneumonitis due to oils and essences",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J69.8","Pneumonitis due to other solids and liquids",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J70.0","Acute pulmonary manifestations due to radiation",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J70.1","Chronic and other pulmonary manifestations due to radiation",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J70.2","Acute drug-induced interstitial lung disorders",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J70.3","Chronic drug-induced interstitial lung disorders",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J70.4","Drug-induced interstitial lung disorders, unspecified",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J70.8","Respiratory conditions due to other specified external agents",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J70.9","Respiratory conditions due to unspecified external agent",,,,"other",,,,,,"J60-J70","Lung diseases due to external agents","J00-J99","Diseases of the respiratory system (J00-J99)"
"J80","Acute respiratory distress syndrome","15.80.29",,"epcc","other",FALSE,"15.80.29","15.80.29",,,"J80-J84","Other respiratory diseases principally affecting the interstitium","J00-J99","Diseases of the respiratory system (J00-J99)"
"J81","Pulmonary oedema","10.30.30","Pulmonary oedema,","keysoft_v2","other",FALSE,"10.30.30","10.30.30",,"10.30.30","J80-J84","Other respiratory diseases principally affecting the interstitium","J00-J99","Diseases of the respiratory system (J00-J99)"
"J82","Pulmonary eosinophilia, not elsewhere classified",,,,"other",,,,,,"J80-J84","Other respiratory diseases principally affecting the interstitium","J00-J99","Diseases of the respiratory system (J00-J99)"
"J84.0","Alveolar and parietoalveolar conditions",,,,"other",,,,,,"J80-J84","Other respiratory diseases principally affecting the interstitium","J00-J99","Diseases of the respiratory system (J00-J99)"
"J84.1","Other interstitial pulmonary diseases with fibrosis",,,,"other",,,,,,"J80-J84","Other respiratory diseases principally affecting the interstitium","J00-J99","Diseases of the respiratory system (J00-J99)"
"J84.8","Other specified interstitial pulmonary diseases",,,,"other",,,,,,"J80-J84","Other respiratory diseases principally affecting the interstitium","J00-J99","Diseases of the respiratory system (J00-J99)"
"J84.9","Interstitial pulmonary disease, unspecified",,,,"other",,,,,,"J80-J84","Other respiratory diseases principally affecting the interstitium","J00-J99","Diseases of the respiratory system (J00-J99)"
"J85.0","Gangrene and necrosis of lung",,,,"other",,,,,,"J85-J86","Suppurative and necrotic conditions of lower respiratory tract","J00-J99","Diseases of the respiratory system (J00-J99)"
"J85.1","Abscess of lung with pneumonia",,,,"other",,,,,,"J85-J86","Suppurative and necrotic conditions of lower respiratory tract","J00-J99","Diseases of the respiratory system (J00-J99)"
"J85.2","Abscess of lung without pneumonia",,,,"other",,,,,,"J85-J86","Suppurative and necrotic conditions of lower respiratory tract","J00-J99","Diseases of the respiratory system (J00-J99)"
"J85.3","Abscess of mediastinum",,,,"other",,,,,,"J85-J86","Suppurative and necrotic conditions of lower respiratory tract","J00-J99","Diseases of the respiratory system (J00-J99)"
"J86.0","Pyothorax with fistula","16.02.00","Bronchial fistula,","keysoft_v2","other",FALSE,"16.02.00","16.02.00",,"16.02.00","J85-J86","Suppurative and necrotic conditions of lower respiratory tract","J00-J99","Diseases of the respiratory system (J00-J99)"
"J86.9","Pyothorax without fistula",,,,"other",,,,,,"J85-J86","Suppurative and necrotic conditions of lower respiratory tract","J00-J99","Diseases of the respiratory system (J00-J99)"
"J90","Pleural effusion, not elsewhere classified","16.01.04","Pleural effusion,","keysoft_v2","other",TRUE,"16.01.04, 15.80.50, 15.80.51, 15.80.52, 15.80.61","16.01.04",,"16.01.04","J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J91","Pleural effusion in conditions classified elsewhere",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J92.0","Pleural plaque with presence of asbestos",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J92.9","Pleural plaque without asbestos",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J93.0","Spontaneous tension pneumothorax",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J93.1","Other spontaneous pneumothorax",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J93.8","Other pneumothorax",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J93.9","Pneumothorax, unspecified","16.01.01","Pneumothorax,","keysoft_v2","other",TRUE,"16.01.01, 15.80.62","16.01.01",,"16.01.01","J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J94.0","Chylous effusion","16.01.07","Chylothorax,","keysoft_v2","other",TRUE,"16.01.07, 15.80.55","16.01.07",,"16.01.07","J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J94.1","Fibrothorax",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J94.2","Haemothorax",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J94.8","Other specified pleural conditions",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J94.9","Pleural condition, unspecified",,,,"other",,,,,,"J90-J94","Other diseases of pleura","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.01","Haemorrhage from tracheostomy",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.02","Infection of tracheostomy",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.03","Leak from tracheostomy",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.04","Tracheo-oesophageal fistula following tracheostomy",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.09","Malfunction of tracheostomy, not elsewhere classified",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.4","Mendelson's syndrome",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.5","Postprocedural subglottic stenosis",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.61","Accidental puncture and laceration of larynx during a procedure",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.62","Accidental puncture and laceration of pharynx during a procedure",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.63","Accidental puncture and laceration of trachea during a procedure",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.64","Accidental puncture and laceration of lung during a procedure",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.65","Accidental puncture and laceration of pleura and diaphragm during a procedure",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.69","Accidental puncture and laceration of respiratory system organ or structure during a procedure, not elsewhere classified",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.81","Postprocedural tracheal stenosis",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.82","Ventilation associated pneumonia",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.83","Transfusion related acute lung injury [TRALI]",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.84","Postprocedural pneumothorax",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.85","Postprocedural haemothorax",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.89","Other intraoperative and postprocedural disorders of respiratory system, not elsewhere classified","15.80.32",,"epcc","other",TRUE,"15.80.32, 15.80.33, 15.80.86, 16.50.20","15.80.32",,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J95.9","Intraoperative and postprocedural disorders of respiratory system, unspecified","15.80.20",,"epcc","other",FALSE,"15.80.20","15.80.20",,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.00","Acute respiratory failure, type I",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.01","Acute respiratory failure, type II",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.09","Acute respiratory failure, type unspecified",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.10","Chronic respiratory failure, type I",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.11","Chronic respiratory failure, type II",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.19","Chronic respiratory failure, type unspecified",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.90","Respiratory failure unspecified, type I",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.91","Respiratory failure unspecified, type II",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J96.99","Respiratory failure unspecified, type unspecified",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.0","Diseases of bronchus, not elsewhere classified","14.03.49","Tracheobronchial malacia,","keysoft_v2","other",TRUE,"14.03.49, 10.90.24, 16.08.00, 15.80.70","14.03.49",,"14.03.49","J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.1","Pulmonary collapse","15.80.31",,"epcc","other",FALSE,"15.80.31","15.80.31",,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.2","Interstitial emphysema",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.3","Compensatory emphysema",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.4","Other disorders of lung","16.03.05","Lung disease,","keysoft_v2","other",FALSE,"16.03.05","16.03.05",,"16.03.05","J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.5","Diseases of mediastinum, not elsewhere classified","16.05.13","Mediastinal disease,","keysoft_v2","other",TRUE,"16.05.13, 15.03.52","16.05.13",,"16.05.13","J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.6","Disorders of diaphragm","16.15.09","Diaphragm disease,","keysoft_v2","other",TRUE,"16.15.09, 16.13.00, 16.13.20, 15.80.90","16.15.09",,"16.15.09","J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.7","Respiratory infection, not elsewhere classified",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.8","Other specified respiratory disorders","16.09.00","Airway disease,","keysoft_v2","other",TRUE,"16.09.00, 16.03.02","16.09.00",,"16.09.00","J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J98.9","Respiratory disorder, unspecified",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J99.1","Respiratory disorders in other diffuse connective tissue disorders",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"J99.8","Respiratory disorders in other diseases classified elsewhere",,,,"other",,,,,,"J95-J99","Other diseases of the respiratory system","J00-J99","Diseases of the respiratory system (J00-J99)"
"K00.0","Anodontia",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.1","Supernumerary teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.2","Abnormalities of size and form of teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.3","Mottled teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.4","Disturbances in tooth formation",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.5","Hereditary disturbances in tooth structure, not elsewhere classified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.6","Disturbances in tooth eruption",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.7","Teething syndrome",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.8","Other disorders of tooth development",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K00.9","Disorder of tooth development, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K01.0","Embedded teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K01.1","Impacted teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.0","Caries limited to enamel",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.1","Caries of dentine",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.2","Caries of cementum",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.3","Arrested dental caries",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.4","Odontoclasia",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.5","Caries with pulp exposure",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.8","Other dental caries",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K02.9","Dental caries, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.0","Excessive attrition of teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.1","Abrasion of teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.2","Erosion of teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.3","Pathological resorption of teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.4","Hypercementosis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.5","Ankylosis of teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.6","Deposits [accretions] on teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.7","Posteruptive colour changes of dental hard tissues",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.8","Other specified diseases of hard tissues of teeth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K03.9","Disease of hard tissues of teeth, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.0","Pulpitis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.1","Necrosis of pulp",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.2","Pulp degeneration",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.3","Abnormal hard tissue formation in pulp",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.4","Acute apical periodontitis of pulpal origin",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.5","Chronic apical periodontitis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.6","Periapical abscess with sinus",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.7","Periapical abscess without sinus",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.8","Radicular cyst",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K04.9","Other and unspecified diseases of pulp and periapical tissues",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K05.0","Acute gingivitis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K05.1","Chronic gingivitis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K05.2","Acute periodontitis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K05.3","Chronic periodontitis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K05.4","Periodontosis",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K05.5","Other periodontal diseases",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K05.6","Periodontal disease, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K06.0","Gingival recession",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K06.1","Gingival enlargement",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K06.2","Gingival and edentulous alveolar ridge lesions associated with trauma",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K06.8","Other specified disorders of gingiva and edentulous alveolar ridge",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K06.9","Disorder of gingiva and edentulous alveolar ridge, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.00","Major anomaly of jaw size, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.01","Hypoplasia of maxilla",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.02","Hyperplasia of maxilla",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.03","Hypoplasia of mandible",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.04","Hyperplasia of mandible",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.09","Other major anomalies of jaw size",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.1","Anomalies of jaw-cranial base relationship",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.2","Anomalies of dental arch relationship",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.3","Anomalies of tooth position",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.4","Malocclusion, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.5","Dentofacial functional abnormalities",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.6","Temporomandibular joint disorders",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.8","Other dentofacial anomalies",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K07.9","Dentofacial anomaly, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K08.0","Exfoliation of teeth due to systemic causes",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K08.1","Loss of teeth due to accident, extraction or local periodontal disease",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K08.2","Atrophy of edentulous alveolar ridge",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K08.3","Retained dental root",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K08.81","Pathological fracture of tooth",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K08.88","Other specified disorders of teeth and supporting structures",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K08.9","Disorder of teeth and supporting structures, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K09.0","Developmental odontogenic cysts",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K09.1","Developmental (nonodontogenic) cysts of oral region",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K09.2","Other cysts of jaw",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K09.8","Other cysts of oral region, not elsewhere classified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K09.9","Cyst of oral region, unspecified",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K10.0","Developmental disorders of jaws",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K10.1","Giant cell granuloma, central",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K10.2","Inflammatory conditions of jaws",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
"K10.3","Alveolitis of jaws",,,,"other",,,,,,"K00-K14","Diseases of oral cavity, salivary glands and jaws","K00-K93","Diseases of the digestive system (K00-K93)"
