"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Chromosomal anomalies and other syndromes","Pompe’s disease: glycogen storage disease type IIa,","14.02.21","E74.0","Glycogen storage disease",,"E74.0","Glycogen storage disease","Other chromosomal/syndromic abnormality","271",,1,1
"Chromosomal anomalies and other syndromes","Friedreich’s ataxia,","14.02.10","G11.1","Early-onset cerebellar ataxia",,"G11.1","Early-onset cerebellar ataxia","Other chromosomal/syndromic abnormality","334",,1,1
"Chromosomal anomalies and other syndromes","Muscular dystrophy,","14.02.58","G71.0","Muscular dystrophy",,"G71.0","Muscular dystrophy","Other chromosomal/syndromic abnormality","359.1",,1,1
"Chromosomal anomalies and other syndromes","Duchenne’s muscular dystrophy,","14.02.34","G71.0","Muscular dystrophy",,"G71.0","Muscular dystrophy","Other chromosomal/syndromic abnormality","359.1",,2,2
"Chromosomal anomalies and other syndromes","Marfan syndrome,","14.02.17","Q87.4","Marfan syndrome",,"Q87.4","Marfan's syndrome","Marfan syndrome","759.8",,1,2
"Chromosomal anomalies and other syndromes","Noonan syndrome,","14.02.19","Q87.1","Congenital malformation syndromes predominantly associated with short stature",,"Q87.13","Noonan syndrome","Other chromosomal/syndromic abnormality","759.8",,1,1
"Chromosomal anomalies and other syndromes","Tuberous sclerosis,","14.02.28","Q85.1","Tuberous sclerosis",,"Q85.1","Tuberous sclerosis","Other chromosomal/syndromic abnormality","759.5",,1,1
"Chromosomal anomalies and other syndromes","Williams syndrome (infantile hypercalcaemia),","14.02.30","Q93.8","Other deletions from the autosomes",,"Q93.8","Other deletions from the autosomes","Williams Beuren syndrome","275.4",,2,2
"Chromosomal anomalies and other syndromes","Alagille syndrome: arteriohepatic dysplasia,","14.02.66","Q44.7","Other congenital malformations of liver",,"Q44.71","Alagille syndrome","Alagille syndrome (intrahepatic biliary duct agenesis)","751.6","747.2",1,1
"Chromosomal anomalies and other syndromes","Fetal rubella syndrome,","14.02.32","P35.0","Congenital rubella syndrome",,"P35.0","Congenital rubella syndrome","Rubella","771",,1,1
"Chromosomal anomalies and other syndromes","Syndrome-association with cardiac involvement,","14.02.00","Q87.8","Other specified congenital malformation syndromes, not elsewhere classified",,"Q87.89","Other specified congenital malformation syndromes, not elsewhere classified","Other chromosomal/syndromic abnormality","759.9",,2,2
"Chromosomal anomalies and other syndromes","Dyslipidaemia,","10.19.01","E78.9","Disorder of lipoprotein metabolism, unspecified",,"E78.9","Disorder of lipoprotein metabolism, unspecified","Miscellaneous, Other","272.4",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Hereditary-non-cardiac abnormality not apparent,","10.23.00","nc",,,,,"None","nc",,10,9
"Non-cardiac anomalies and diseases associated with heart anomalies","Non-cardiac abnormality associated with heart disease,","14.03.00","Q89.9","Congenital malformation, unspecified",,"Q89.9","Congenital malformation, unspecified","Other preoperative noncardiac abnormality","759.9",,2,2
"Non-cardiac anomalies and diseases associated with heart anomalies","Spleen absent (asplenia),","03.07.03","Q20.6","Isomerism of atrial appendages",,"Q20.6","Isomerism of atrial appendages","Asplenia","759",,4,4
"Non-cardiac anomalies and diseases associated with heart anomalies","Multiple spleens (polysplenia),","03.07.04","Q20.6","Isomerism of atrial appendages",,"Q20.6","Isomerism of atrial appendages","Polysplenia","759",,5,5
"Non-cardiac anomalies and diseases associated with heart anomalies","Cystic fibrosis,","14.03.06","E84.9","Cystic fibrosis, unspecified",,"E84","Cystic fibrosis","Other preoperative noncardiac abnormality","277",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Tracheo-oesophageal fistula,","14.03.08","Q39.2","Congenital tracheo-oesophageal fistula without atresia",,"Q39.21","Congenital tracheo-oesophageal fistula without atresia","Other preoperative noncardiac abnormality","750.3",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Congenital diaphragmatic hernia,","14.03.07","Q79.0","Congenital diaphragmatic hernia",,"Q79.0","Congenital diaphragmatic hernia","Other preoperative noncardiac abnormality","756.6",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Omphalocoele,","14.03.10","Q79.2","Exomphalos",,"Q79.2","Exomphalos","Other preoperative noncardiac abnormality","553.1",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Duodenal stenosis/atresia,","14.03.11","Q41.0","Congenital absence, atresia and stenosis of duodenum",,"Q41.01","Congenital absence and atresia of duodenum","Other preoperative noncardiac abnormality","751.1",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Gastro-oesophageal reflux disease (GORD),","14.03.09","Q40.8","Other specified congenital malformations of upper alimentary tract",,"Q40.8","Other specified congenital malformations of upper alimentary tract","Other preoperative noncardiac abnormality","530.1",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Intestines malrotated,","03.06.03","Q43.3","Congenital malformations of intestinal fixation",,"Q43.39","Other congenital malformations of intestinal fixation","Other preoperative noncardiac abnormality","751.4",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Renal failure,","15.82.10","N19","Unspecified kidney failure",,"N19","Unspecified kidney failure","Other preoperative noncardiac abnormality","586",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Renal abnormality,","14.03.23","Q64.9","Congenital malformation of urinary system, unspecified",,"Q64.9","Congenital malformation of urinary system, unspecified","Other preoperative noncardiac abnormality","753.9",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Cerebral anomaly,","14.03.91","Q04.9","Congenital malformation of brain, unspecified",,"Q04.9","Congenital malformation of brain, unspecified","Other preoperative noncardiac abnormality","742.9",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Anoxic-ischaemic encephalopathy,","14.03.72","G93.1","Anoxic brain damage, not elsewhere classified",,"G93.1","Anoxic brain damage, not elsewhere classified","Other preoperative noncardiac abnormality","348.1",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Microcephaly,","14.03.33","Q02","Microcephaly",,"Q02","Microcephaly","Other preoperative noncardiac abnormality","742.1",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Psychomotor developmental delay,","14.03.05","F79",,,,,"Other preoperative noncardiac abnormality","315.5",,11,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Transient ischaemic attack: less than 24 hours (TIA),","14.03.44","G45.9","Transient cerebral ischaemic attack, unspecified",,"G45.9","Transient cerebral ischaemic attack, unspecified","Other preoperative noncardiac abnormality","435",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Reversible ischaemic neurologic deficit: 24-72 hours (RIND),","14.03.97","G45.8","Other transient cerebral ischaemic attacks and related syndromes",,"G45.8","Other transient cerebral ischaemic attacks and related syndromes","Other preoperative noncardiac abnormality","435",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Cerebrovascular accident (stroke),","14.03.42","I64","Stroke, not specified as haemorrhage or infarction",,"I64","Stroke, not specified as haemorrhage or infarction","Other preoperative noncardiac abnormality","436",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Migraine,","14.04.46","G43.9","Migraine, unspecified",,"G43.9","Migraine, unspecified","Other preoperative noncardiac abnormality","346.9",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Diver's decompression sickness,","14.04.47","T70.3","Caisson disease [decompression sickness]",,"T70.3","Other effects of decompression and barotrauma","Other preoperative noncardiac abnormality","993.3",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Choanal atresia,","14.03.47","Q30.0","Choanal atresia",,"Q30.01","Choanal atresia","Other preoperative noncardiac abnormality","748",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Cleft lip or palate,","14.04.12","Q37",,,,,"Other preoperative noncardiac abnormality","749.2",,12,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Kyphoscoliosis,","14.04.09","Q67.5","Congenital deformity of spine",,"Q67.59","Other specified congenital deformity of spine","Other preoperative noncardiac abnormality","756.1",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Anterior chest wall (pectus) deformity,","14.04.14","Q67.8","Other congenital deformities of chest",,"Q67.8","Other congenital deformities of chest","Pectus","754.8",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Pectus carinatum,","14.04.04","Q67.7","Pectus carinatum",,"Q67.7","Pectus carinatum","Pectus","754.8",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Pectus excavatum,","14.04.05","Q67.6","Pectus excavatum",,"Q67.6","Pectus excavatum","Pectus","754.8",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Congenital coagulation disorder,","14.03.28","D68.8","Other specified coagulation defects",,"D68.8","Other specified coagulation defects","Other preoperative noncardiac abnormality","286.9",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Connective tissue disease,","14.03.92","M35.9","Systemic involvement of connective tissue, unspecified",,"M35.9","Systemic involvement of connective tissue, unspecified","Other preoperative noncardiac abnormality","710.9",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Non-cardiothoracic-vascular abnormality,","14.03.04","Q89.8","Other specified congenital malformations",,"Q89.89","Other specified congenital malformations","Miscellaneous, Other","759.8",,1,1
"Non-cardiac anomalies and diseases associated with heart anomalies","Thoracic-mediastinal abnormality,","14.03.29","Q89.8","Other specified congenital malformations",,"Q89.89","Other specified congenital malformations","Thoracic and-or mediastinal, Other","759.8",,2,2
"Rheumatic and infective heart disease","Acute rheumatic fever,","10.05.01","I00","Rheumatic fever without mention of heart involvement",,"I00","Rheumatic fever without mention of heart involvement","Miscellaneous, Other","390",,1,1
"Rheumatic and infective heart disease","Rheumatic fever with cardiac involvement,","10.05.21","I01",,,,,"Rheumatic heart disease","391",,13,1
"Rheumatic and infective heart disease","Rheumatic valvar disease,","10.05.30","I09.1","Rheumatic diseases of endocardium, valve unspecified",,"I09.1","Rheumatic diseases of endocardium, valve unspecified","Rheumatic heart disease","397.9",,1,1
"Rheumatic and infective heart disease","Rheumatic mitral valvar disease,","10.05.31","I05.9","Mitral valve disease, unspecified",,"I05.9","Mitral valve disease, unspecified","Mitral valve, Other","394.9",,1,1
"Rheumatic and infective heart disease","Rheumatic aortic valvar disease,","10.05.33","I06.9","Rheumatic aortic valve disease, unspecified",,"I06.9","Rheumatic aortic valve disease, unspecified","Aortic valve, Other","395.9",,1,1
"Rheumatic and infective heart disease","Endocarditis,","10.06.00","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis","Endocarditis","421",,1,1
"Rheumatic and infective heart disease","Infective endocarditis,","10.06.01","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis","Endocarditis","421",,2,2
"Rheumatic and infective heart disease","Bacterial endocarditis,","10.06.41","I33.0","Acute and subacute infective endocarditis",,"I33.0","Acute and subacute infective endocarditis","Endocarditis","421",,3,3
"Rheumatic and infective heart disease","Postprocedural endocarditis,","10.06.64","I33.0","Acute and subacute infective endocarditis","Y83.8","I33.0","Acute and subacute infective endocarditis","Postoperative endocarditis","421","E878.8",4,4
"Rheumatic and infective heart disease","Heart abscess,","10.06.20","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,1,1
"Rheumatic and infective heart disease","Infectious myocarditis,","10.07.01","I40.0","Infective myocarditis",,"I40.0","Infective myocarditis","Cardiac, Other","422.9",,1,1
"Rheumatic and infective heart disease","Viral myocarditis,","10.07.03","I40.0","Infective myocarditis","B97","I40.0, B97.89","Multiple codes","Cardiac, Other","422.9","79.9",1,2
"Rheumatic and infective heart disease","Trypanosomal myocarditis (Chagas' disease),","10.07.08","B57.2","Chagas disease (chronic) with heart involvement","I41.2","B57.2, I41.2","Multiple codes","Cardiac, Other","86","425.6",1,1
"Rheumatic and infective heart disease","Infectious pericarditis,","10.08.01","I30.1","Infective pericarditis",,"I30.1","Infective pericarditis","Pericarditis","420.9",,1,1
"Rheumatic and infective heart disease","Viral pericarditis,","10.08.03","I30.1","Infective pericarditis","B97","I30.1, B97.89","Multiple codes","Pericarditis","420.9","79.9",1,2
"Rheumatic and infective heart disease","Bacterial pericarditis,","10.08.04","I30.1","Infective pericarditis","B96.8","I30.1, B96.89","Multiple codes","Pericarditis","420.9","41.9",1,3
"Great vein and atrial acquired abnormalities","Systemic vein abnormality: acquired,","10.30.00","I87.9","Disorder of vein, unspecified",,"I87.9","Disorder of vein, unspecified","Cardiac, Other","459.9",,1,1
"Great vein and atrial acquired abnormalities","Systemic vein obstruction,","10.30.09","I87.1","Compression of vein",,"I87.1","Compression of vein","Systemic venous obstruction","459.2",,1,1
"Great vein and atrial acquired abnormalities","Superior caval vein (SVC) abnormality: acquired,","10.31.01","I87.9","Disorder of vein, unspecified",,"I87.9","Disorder of vein, unspecified","Cardiac, Other","459.9",,2,2
"Great vein and atrial acquired abnormalities","Postprocedural superior caval vein (SVC) complication,","15.04.01","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified","Cardiac, Other","459.9","E878.8",3,3
"Great vein and atrial acquired abnormalities","Inferior caval vein (IVC) abnormality - acquired,","10.31.21","I87.9","Disorder of vein, unspecified",,"I87.9","Disorder of vein, unspecified","Cardiac, Other","459.9",,4,4
"Great vein and atrial acquired abnormalities","Postprocedural inferior caval vein (IVC) complication,","15.04.05","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified","Cardiac, Other","459.9","E878.8",5,5
"Great vein and atrial acquired abnormalities","Pulmonary venous abnormality: acquired,","10.24.00","I28.9","Disease of pulmonary vessels, unspecified",,"I28.9","Disease of pulmonary vessels, unspecified","Cardiac, Other","459.9",,1,1
"Great vein and atrial acquired abnormalities","Postprocedural pulmonary vein complication,","15.05.01","I28.9","Disease of pulmonary vessels, unspecified","Y83.8","I28.9","Disease of pulmonary vessels, unspecified","Cardiac, Other","459.9","E878.8",2,2
"Great vein and atrial acquired abnormalities","Pulmonary vein obstruction,","15.05.03","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels","Pulmonary vein obstruction","459.2","E878.8",1,1
"Great vein and atrial acquired abnormalities","Postprocedural major vein complication,","15.04.34","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified","Peripheral vascular, Other","459.9","E878.8",6,6
"Great vein and atrial acquired abnormalities","Postprocedural femoral vein complication,","15.04.15","I87.9","Disorder of vein, unspecified","Y83.8","I87.9","Disorder of vein, unspecified","Peripheral vascular, Other","459.9","E878.8",7,7
"Great vein and atrial acquired abnormalities","Right atrial abnormality: acquired,","15.10.10","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,2,2
"Great vein and atrial acquired abnormalities","Postprocedural right atrial complication,","15.10.11","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Cardiac, Other","997.1","E878.8",1,1
"Great vein and atrial acquired abnormalities","Obstruction of right atrial conduit (including total cavopulmonary connection),","15.10.13","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.89","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","Conduit failure","996.7",,1,1
"Great vein and atrial acquired abnormalities","Left atrial abnormality: acquired,","15.10.20","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,3,3
"Great vein and atrial acquired abnormalities","Postprocedural left atrial complication,","15.10.21","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Cardiac, Other","997.1","E878.8",2,2
"Great vein and atrial acquired abnormalities","Atrial septum abnormality: acquired,","10.17.40","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,4,4
"Great vein and atrial acquired abnormalities","Postprocedural atrial septum complication,","15.10.61","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Cardiac, Other","997.1",,3,3
"Great vein and atrial acquired abnormalities","Residual interatrial communication ('ASD'),","15.10.63","Q21.1","Atrial septal defect","Y83.8","Q21.19, Y83.8","Other specified atrial septal defect","ASD","745.5","E878.8",1,6
"Great vein and atrial acquired abnormalities","Ineffective balloon atrial septostomy,","15.10.66","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified","Y83.8","I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Cardiac, Other","429.4","E878.8",4,4
"Great vein and atrial acquired abnormalities","Platypnoea-orthodeoxia syndrome,","10.17.50","Q21.8","Other congenital malformations of cardiac septa",,"Q21.89","Other specified congenital malformations of cardiac septum","Cardiac, Other","745.5",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Heart valvar abnormality: acquired,","10.32.00","I38","Endocarditis, valve unspecified",,"I38","Endocarditis, valve unspecified","Cardiac, Other","424.9",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Prosthetic valve failure,","10.33.00","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis","Prosthetic valve failure","996",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Tricuspid valvar abnormality: acquired,","10.32.01","I36.9","Nonrheumatic tricuspid valve disorder, unspecified",,"I36.9","Nonrheumatic tricuspid valve disorder, unspecified","Tricuspid valve, Other","424.2",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural tricuspid valvar complication,","15.11.00","I36.9","Nonrheumatic tricuspid valve disorder, unspecified","Y83.8","I36.9","Nonrheumatic tricuspid valve disorder, unspecified","Tricuspid valve, Other","424.2","E878.8",2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Residual tricuspid regurgitation,","15.11.03","Q22.8","Other congenital malformations of tricuspid valve","Y83.8","Q22.89","Other specified congenital malformations of tricuspid valve","Tricuspid regurgitation, non-Ebstein's related","746.8","E878.8",2,5
"Acquired valvar and atrioventricular septal defect abnormalities","Tricuspid valvar prosthesis complication,","15.11.08","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis","Prosthetic valve failure","996",,2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral valvar abnormality: acquired,","10.33.01","I34.9","Nonrheumatic mitral valve disorder, unspecified",,"I34.9","Nonrheumatic mitral valve disorder, unspecified","Mitral valve, Other","424",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral stenosis: acquired,","10.33.02","I34.2","Nonrheumatic mitral (valve) stenosis",,"I34.2","Nonrheumatic mitral (valve) stenosis","Mitral stenosis, Valvar","394",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral valvar stenosis: recurrent,","10.33.03","I34.2","Nonrheumatic mitral (valve) stenosis",,"I34.2","Nonrheumatic mitral (valve) stenosis","Mitral stenosis, Valvar","394",,2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral regurgitation: acquired,","10.33.04","I34.0","Mitral (valve) insufficiency",,"I34.0","Mitral (valve) insufficiency","Mitral regurgitation","424",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral regurgitation: recurrent,","10.33.06","I34.0","Mitral (valve) insufficiency",,"I34.0","Mitral (valve) insufficiency","Mitral regurgitation","424",,2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural mitral valvar complication,","15.12.00","I34.9","Nonrheumatic mitral valve disorder, unspecified","Y83.8","I34.9","Nonrheumatic mitral valve disorder, unspecified","Mitral valve, Other","394.9","E878.8",2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Residual mitral valvar stenosis,","15.12.01","Q23.2","Congenital mitral stenosis","Y83.8","Q23.21","Congenital mitral stenosis","Mitral stenosis, Valvar","746.5","E878.8",3,5
"Acquired valvar and atrioventricular septal defect abnormalities","Residual mitral regurgitation,","15.12.03","Q23.3","Congenital mitral insufficiency","Y83.8","Q23.3","Congenital mitral insufficiency","Mitral regurgitation","746.6","E878.8",3,3
"Acquired valvar and atrioventricular septal defect abnormalities","Mitral valvar prosthesis complication,","15.12.09","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis","Prosthetic valve failure","996",,3,3
"Acquired valvar and atrioventricular septal defect abnormalities","Truncal valvar abnormality: acquired,","10.37.01","I38","Endocarditis, valve unspecified",,"I38","Endocarditis, valve unspecified","Cardiac, Other","424.9",,2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Residual truncal regurgitation,","15.25.03","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Truncal valve insufficiency","746.9","E878.8",13,17
"Acquired valvar and atrioventricular septal defect abnormalities","Common arterial trunk (truncus) abnormality: acquired,","10.51.01","I77.8","Other specified disorders of arteries and arterioles",,"I77.8","Other specified disorders of arteries and arterioles","Cardiac, Other","447.8",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural common arterial trunk complication,","15.25.31","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Cardiac, Other","447.8","E878.8",5,5
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar abnormality: acquired,","10.35.01","I37.9","Pulmonary valve disorder, unspecified",,"I37.9","Pulmonary valve disorder, unspecified","Pulmonary valve, Other","424.3",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar stenosis: acquired,","10.35.02","I37.0","Pulmonary valve stenosis",,"I37.0","Pulmonary valve stenosis","Pulmonary stenosis, Valvar","424.3",,2,1
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar stenosis: recurrent,","10.35.03","I37.0","Pulmonary valve stenosis",,"I37.0","Pulmonary valve stenosis","Pulmonary stenosis, Valvar","424.3",,3,2
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary regurgitation: acquired,","10.35.04","I37.1","Pulmonary valve insufficiency",,"I37.1","Pulmonary valve insufficiency","Cardiac, Other","424.3",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar atresia: acquired,","09.05.15","I37.8","Other pulmonary valve disorders",,"I37.8","Other pulmonary valve disorders","Pulmonary atresia","424.3",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural pulmonary valvar complication,","15.30.00","I37.9","Pulmonary valve disorder, unspecified","Y83.8","I37.9","Pulmonary valve disorder, unspecified","Pulmonary valve, Other","424.3","E878.8",2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Residual pulmonary valvar stenosis,","15.30.01","Q22.1","Congenital pulmonary valve stenosis","Y83.8","Q22.1","Congenital pulmonary valve stenosis","Pulmonary stenosis, Valvar","746","E878.8",3,3
"Acquired valvar and atrioventricular septal defect abnormalities","Residual pulmonary regurgitation,","15.30.03","Q22.2","Congenital pulmonary valve insufficiency","Y83.8","Q22.2","Congenital pulmonary valve insufficiency","Pulmonary insufficiency","746","E878.8",3,3
"Acquired valvar and atrioventricular septal defect abnormalities","Pulmonary valvar prosthesis complication,","15.30.08","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis","Prosthetic valve failure","996",,4,4
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar abnormality: acquired,","10.36.01","I35.9","Aortic valve disorder, unspecified",,"I35.9","Aortic valve disorder, unspecified","Aortic valve, Other","424.1",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar stenosis: acquired,","10.36.02","I35.0","Aortic (valve) stenosis",,"I35.0","Aortic (valve) stenosis","Aortic stenosis, Valvar","424.1",,2,1
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar stenosis: recurrent,","10.36.03","I35.0","Aortic (valve) stenosis",,"I35.0","Aortic (valve) stenosis","Aortic stenosis, Valvar","424.1",,3,2
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic regurgitation: acquired,","10.36.04","I35.1","Aortic (valve) insufficiency",,"I35.1","Aortic (valve) insufficiency","Aortic insufficiency","424.1",,1,1
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic regurgitation: recurrent,","10.36.06","I35.1","Aortic (valve) insufficiency",,"I35.1","Aortic (valve) insufficiency","Aortic insufficiency","424.1",,2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural aortic valvar complication,","15.35.00","I35.9","Aortic valve disorder, unspecified","Y83.8","I35.9","Aortic valve disorder, unspecified","Aortic valve, Other","424.1","E878.8",2,2
"Acquired valvar and atrioventricular septal defect abnormalities","Residual aortic valvar stenosis,","15.35.01","Q23.0","Congenital stenosis of aortic valve","Y83.8","Q23.01","Congenital stenosis of aortic valve","Aortic stenosis, Valvar","746.3","E878.8",2,5
"Acquired valvar and atrioventricular septal defect abnormalities","Residual aortic regurgitation,","15.35.03","Q23.1","Congenital insufficiency of aortic valve","Y83.8","Q23.1","Congenital insufficiency of aortic valve","Aortic insufficiency","746.4","E878.8",4,4
"Acquired valvar and atrioventricular septal defect abnormalities","Aortic valvar prosthesis complication,","15.35.08","T82.0","Mechanical complication of heart valve prosthesis",,"T82.0","Mechanical complication of heart valve prosthesis","Prosthetic valve failure","996",,5,5
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural atrioventricular septal defect complication,","15.16.00","Q21.2","Atrioventricular septal defect","Y83.8","Q21.29","Other specified atrioventricular septal defect","Cardiac, Other","429.8","E878.8",4,9
"Acquired valvar and atrioventricular septal defect abnormalities","Residual ventricular component of atrioventricular septal defect,","15.16.02","Q21.2","Atrioventricular septal defect","Y83.8","Q21.29","Other specified atrioventricular septal defect","VSD","745.6","E878.8",5,10
"Acquired valvar and atrioventricular septal defect abnormalities","Atrioventricular valvar abnormality in atrioventricular septal defect (AVSD): acquired,","10.34.60","I38","Endocarditis, valve unspecified",,"I38","Endocarditis, valve unspecified","Cardiac, Other","424.9",,3,3
"Acquired valvar and atrioventricular septal defect abnormalities","Left atrioventricular valvar regurgitation: acquired,","10.34.44","I34.0","Mitral (valve) insufficiency",,"I34.0","Mitral (valve) insufficiency","Mitral regurgitation","424",,3,3
"Acquired valvar and atrioventricular septal defect abnormalities","Residual common atrioventricular valvar regurgitation,","15.13.02","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Cardiac, Other","746.9","E878.8",14,18
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural right atrioventricular valvar complication,","15.14.00","I36.9","Nonrheumatic tricuspid valve disorder, unspecified","Y83.8","I36.9","Nonrheumatic tricuspid valve disorder, unspecified","Cardiac, Other","424.2","E878.8",3,3
"Acquired valvar and atrioventricular septal defect abnormalities","Postprocedural left atrioventricular valvar complication,","15.15.00","I34.9","Nonrheumatic mitral valve disorder, unspecified","Y83.8","I34.9","Nonrheumatic mitral valve disorder, unspecified","Cardiac, Other","394.9","E878.8",3,3
"Acquired ventricular and ventricular septal abnormalities","Ventricular dyssynchrony,","07.00.01","I50.1","Left ventricular failure",,"I50.1","Left ventricular failure","Cardiac, Other","428.1",,1,1
"Acquired ventricular and ventricular septal abnormalities","Right ventricular abnormality: acquired,","10.16.00","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,5,5
"Acquired ventricular and ventricular septal abnormalities","Right ventricular dysfunction,","07.01.11","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,6,6
"Acquired ventricular and ventricular septal abnormalities","Right ventricular-congestive heart failure,","10.16.08","I50.0","Congestive heart failure",,"I50.0","Congestive heart failure","Cardiac, Other","428",,1,1
