"","epcc_name","epcc_code","icd_9","icd_9_additional","icd_10","icd_10_additional","sts_name","section_name","section_seq","icd10_seq","icd10_seq_max"
"264","Psychomotor developmental delay,","14.03.05","315.5",NA,"F79",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","18",1,1
"265","Transient ischaemic attack: less than 24 hours (TIA),","14.03.44","435",NA,"G45.9",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","19",1,1
"266","Reversible ischaemic neurologic deficit: 24-72 hours (RIND),","14.03.97","435",NA,"G45.8",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","20",1,1
"267","Cerebrovascular accident (stroke),","14.03.42","436",NA,"I64",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","21",1,1
"268","Migraine,","14.04.46","346.9",NA,"G43.9",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","22",1,1
"269","Diver's decompression sickness,","14.04.47","993.3",NA,"T70.3",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","23",1,1
"270","Choanal atresia,","14.03.47","748",NA,"Q30.0",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","24",1,1
"271","Cleft lip or palate,","14.04.12","749.2",NA,"Q37",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","25",1,1
"272","Kyphoscoliosis,","14.04.09","756.1",NA,"Q67.5",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","26",1,1
"273","Anterior chest wall (pectus) deformity,","14.04.14","754.8",NA,"Q67.8",NA,"Pectus","Non-cardiac anomalies and diseases associated with heart anomalies","27",1,1
"274","Pectus carinatum,","14.04.04","754.8",NA,"Q67.7",NA,"Pectus","Non-cardiac anomalies and diseases associated with heart anomalies","28",1,1
"275","Pectus excavatum,","14.04.05","754.8",NA,"Q67.6",NA,"Pectus","Non-cardiac anomalies and diseases associated with heart anomalies","29",1,1
"276","Congenital coagulation disorder,","14.03.28","286.9",NA,"D68.8",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","30",1,1
"277","Connective tissue disease,","14.03.92","710.9",NA,"M35.9",NA,"Other preoperative noncardiac abnormality","Non-cardiac anomalies and diseases associated with heart anomalies","31",1,2
"278","Non-cardiothoracic-vascular abnormality,","14.03.04","759.8",NA,"Q89.8",NA,"Miscellaneous, Other","Non-cardiac anomalies and diseases associated with heart anomalies","32",1,2
"279","Thoracic-mediastinal abnormality,","14.03.29","759.8",NA,"Q89.8",NA,"Thoracic and-or mediastinal, Other","Non-cardiac anomalies and diseases associated with heart anomalies","33",2,2
"280","Acute rheumatic fever,","10.05.01","390",NA,"I00",NA,"Miscellaneous, Other","Rheumatic and infective heart disease","2",1,1
"281","Rheumatic fever with cardiac involvement,","10.05.21","391",NA,"I01",NA,"Rheumatic heart disease","Rheumatic and infective heart disease","3",1,1
"282","Rheumatic valvar disease,","10.05.30","397.9",NA,"I09.1",NA,"Rheumatic heart disease","Rheumatic and infective heart disease","4",1,1
"283","Rheumatic mitral valvar disease,","10.05.31","394.9",NA,"I05.9",NA,"Mitral valve, Other","Rheumatic and infective heart disease","5",1,1
"284","Rheumatic aortic valvar disease,","10.05.33","395.9",NA,"I06.9",NA,"Aortic valve, Other","Rheumatic and infective heart disease","6",1,1
"285","Endocarditis,","10.06.00","421.0",NA,"I33.0",NA,"Endocarditis","Rheumatic and infective heart disease","7",1,5
"286","Infective endocarditis,","10.06.01","421.0",NA,"I33.0",NA,"Endocarditis","Rheumatic and infective heart disease","8",2,5
"287","Bacterial endocarditis,","10.06.41","421.0",NA,"I33.0",NA,"Endocarditis","Rheumatic and infective heart disease","9",3,5
"288","Postprocedural endocarditis,","10.06.64","421.0","E878.8","I33.0","Y83.8","Postoperative endocarditis","Rheumatic and infective heart disease","10",4,5
"289","Heart abscess,","10.06.20","429.8",NA,"I51.8",NA,"Cardiac, Other","Rheumatic and infective heart disease","11",1,20
"290","Infectious myocarditis,","10.07.01","422.9",NA,"I40.0",NA,"Cardiac, Other","Rheumatic and infective heart disease","12",1,2
"291","Viral myocarditis,","10.07.03","422.9","79.9","I40.0","B97","Cardiac, Other","Rheumatic and infective heart disease","13",2,2
"292","Trypanosomal myocarditis (Chagas' disease),","10.07.08","86.0","425.6","B57.2","I41.2","Cardiac, Other","Rheumatic and infective heart disease","14",1,1
"293","Infectious pericarditis,","10.08.01","420.9",NA,"I30.1",NA,"Pericarditis","Rheumatic and infective heart disease","15",1,3
"294","Viral pericarditis,","10.08.03","420.9","79.9","I30.1","B97","Pericarditis","Rheumatic and infective heart disease","16",2,3
"295","Bacterial pericarditis,","10.08.04","420.9","41.9","I30.1","B96.8","Pericarditis","Rheumatic and infective heart disease","17",3,3
"296","Systemic vein abnormality: acquired,","10.30.00","459.9",NA,"I87.9",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","2",1,7
"297","Systemic vein obstruction,","10.30.09","459.2",NA,"I87.1",NA,"Systemic venous obstruction","Great vein and atrial acquired abnormalities","3",1,1
"298","Superior caval vein (SVC) abnormality: acquired,","10.31.01","459.9",NA,"I87.9",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","4",2,7
"299","Postprocedural superior caval vein (SVC) complication,","15.04.01","459.9","E878.8","I87.9","Y83.8","Cardiac, Other","Great vein and atrial acquired abnormalities","5",3,7
"300","Inferior caval vein (IVC) abnormality - acquired,","10.31.21","459.9",NA,"I87.9",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","6",4,7
"301","Postprocedural inferior caval vein (IVC) complication,","15.04.05","459.9","E878.8","I87.9","Y83.8","Cardiac, Other","Great vein and atrial acquired abnormalities","7",5,7
"302","Pulmonary venous abnormality: acquired,","10.24.00","459.9",NA,"I28.9",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","8",1,3
"303","Postprocedural pulmonary vein complication,","15.05.01","459.9","E878.8","I28.9","Y83.8","Cardiac, Other","Great vein and atrial acquired abnormalities","9",2,3
"304","Pulmonary vein obstruction,","15.05.03","459.2","E878.8","I28.8","Y83.8","Pulmonary vein obstruction","Great vein and atrial acquired abnormalities","10",1,6
"305","Postprocedural major vein complication,","15.04.34","459.9","E878.8","I87.9","Y83.8","Peripheral vascular, Other","Great vein and atrial acquired abnormalities","11",6,7
"306","Postprocedural femoral vein complication,","15.04.15","459.9","E878.8","I87.9","Y83.8","Peripheral vascular, Other","Great vein and atrial acquired abnormalities","12",7,7
"307","Right atrial abnormality: acquired,","15.10.10","429.8",NA,"I51.8",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","13",2,20
"308","Postprocedural right atrial complication,","15.10.11","997.1","E878.8","I97.8",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","14",1,13
"309","Obstruction of right atrial conduit (including total cavopulmonary connection),","15.10.13","996.7",NA,"T82.8",NA,"Conduit failure","Great vein and atrial acquired abnormalities","15",1,9
"310","Left atrial abnormality: acquired,","15.10.20","429.8",NA,"I51.8",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","16",3,20
"311","Postprocedural left atrial complication,","15.10.21","997.1","E878.8","I97.8",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","17",2,13
"312","Atrial septum abnormality: acquired,","10.17.40","429.8",NA,"I51.8",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","18",4,20
"313","Postprocedural atrial septum complication,","15.10.61","997.1",NA,"I97.8",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","19",3,13
"314","Residual interatrial communication ('ASD'),","15.10.63","745.5","E878.8","Q21.1","Y83.8","ASD","Great vein and atrial acquired abnormalities","20",6,6
"315","Ineffective balloon atrial septostomy,","15.10.66","429.4","E878.8","I97.8","Y83.8","Cardiac, Other","Great vein and atrial acquired abnormalities","21",4,13
"316","Platypnoea-orthodeoxia syndrome,","10.17.50","745.5",NA,"Q21.8",NA,"Cardiac, Other","Great vein and atrial acquired abnormalities","22",1,1
"317","Heart valvar abnormality: acquired,","10.32.00","424.9",NA,"I38",NA,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","2",1,3
"318","Prosthetic valve failure,","10.33.00","996",NA,"T82.0",NA,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities","3",1,5
"319","Tricuspid valvar abnormality: acquired,","10.32.01","424.2",NA,"I36.9",NA,"Tricuspid valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","4",1,3
"320","Postprocedural tricuspid valvar complication,","15.11.00","424.2","E878.8","I36.9","Y83.8","Tricuspid valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","5",2,3
"321","Residual tricuspid regurgitation,","15.11.03","746.8","E878.8","Q22.8","Y83.8","Tricuspid regurgitation, non-Ebstein's related","Acquired valvar and atrioventricular septal defect abnormalities","6",5,5
"322","Tricuspid valvar prosthesis complication,","15.11.08","996.0",NA,"T82.0",NA,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities","7",2,5
"323","Mitral valvar abnormality: acquired,","10.33.01","424.0",NA,"I34.9",NA,"Mitral valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","8",1,3
"324","Mitral stenosis: acquired,","10.33.02","394.0",NA,"I34.2",NA,"Mitral stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","9",1,2
"325","Mitral valvar stenosis: recurrent,","10.33.03","394.0",NA,"I34.2",NA,"Mitral stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","10",2,2
"326","Mitral regurgitation: acquired,","10.33.04","424.0",NA,"I34.0",NA,"Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities","11",1,3
"327","Mitral regurgitation: recurrent,","10.33.06","424.0",NA,"I34.0",NA,"Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities","12",2,3
"328","Postprocedural mitral valvar complication,","15.12.00","394.9","E878.8","I34.9","Y83.8","Mitral valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","13",2,3
"329","Residual mitral valvar stenosis,","15.12.01","746.5","E878.8","Q23.2","Y83.8","Mitral stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","14",5,5
"330","Residual mitral regurgitation,","15.12.03","746.6","E878.8","Q23.3","Y83.8","Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities","15",3,3
"331","Mitral valvar prosthesis complication,","15.12.09","996.0",NA,"T82.0",NA,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities","16",3,5
"332","Truncal valvar abnormality: acquired,","10.37.01","424.9",NA,"I38",NA,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","17",2,3
"333","Residual truncal regurgitation,","15.25.03","746.9","E878.8","Q24.8","Y83.8","Truncal valve insufficiency","Acquired valvar and atrioventricular septal defect abnormalities","18",17,21
"334","Common arterial trunk (truncus) abnormality: acquired,","10.51.01","447.8",NA,"I77.8",NA,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","19",1,9
"335","Postprocedural common arterial trunk complication,","15.25.31","447.8","E878.8","I97.8",NA,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","20",5,13
"336","Pulmonary valvar abnormality: acquired,","10.35.01","424.3",NA,"I37.9",NA,"Pulmonary valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","21",1,2
"337","Pulmonary valvar stenosis: acquired,","10.35.02","424.3",NA,"I37.0",NA,"Pulmonary stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","22",1,2
"338","Pulmonary valvar stenosis: recurrent,","10.35.03","424.3",NA,"I37.0",NA,"Pulmonary stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","23",2,2
"339","Pulmonary regurgitation: acquired,","10.35.04","424.3",NA,"I37.1",NA,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","24",1,1
"340","Pulmonary valvar atresia: acquired,","09.05.15","424.3",NA,"I37.8",NA,"Pulmonary atresia","Acquired valvar and atrioventricular septal defect abnormalities","25",1,1
"341","Postprocedural pulmonary valvar complication,","15.30.00","424.3","E878.8","I37.9","Y83.8","Pulmonary valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","26",2,2
"342","Residual pulmonary valvar stenosis,","15.30.01","746.0","E878.8","Q22.1","Y83.8","Pulmonary stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","27",3,3
"343","Residual pulmonary regurgitation,","15.30.03","746.0","E878.8","Q22.2","Y83.8","Pulmonary insufficiency","Acquired valvar and atrioventricular septal defect abnormalities","28",3,3
"344","Pulmonary valvar prosthesis complication,","15.30.08","996.0",NA,"T82.0",NA,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities","29",4,5
"345","Aortic valvar abnormality: acquired,","10.36.01","424.1",NA,"I35.9",NA,"Aortic valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","30",1,2
"346","Aortic valvar stenosis: acquired,","10.36.02","424.1",NA,"I35.0",NA,"Aortic stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","31",1,2
"347","Aortic valvar stenosis: recurrent,","10.36.03","424.1",NA,"I35.0",NA,"Aortic stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","32",2,2
"348","Aortic regurgitation: acquired,","10.36.04","424.1",NA,"I35.1",NA,"Aortic insufficiency","Acquired valvar and atrioventricular septal defect abnormalities","33",1,2
"349","Aortic regurgitation: recurrent,","10.36.06","424.1",NA,"I35.1",NA,"Aortic insufficiency","Acquired valvar and atrioventricular septal defect abnormalities","34",2,2
"350","Postprocedural aortic valvar complication,","15.35.00","424.1","E878.8","I35.9","Y83.8","Aortic valve, Other","Acquired valvar and atrioventricular septal defect abnormalities","35",2,2
"351","Residual aortic valvar stenosis,","15.35.01","746.3","E878.8","Q23.0","Y83.8","Aortic stenosis, Valvar","Acquired valvar and atrioventricular septal defect abnormalities","36",5,5
"352","Residual aortic regurgitation,","15.35.03","746.4","E878.8","Q23.1","Y83.8","Aortic insufficiency","Acquired valvar and atrioventricular septal defect abnormalities","37",4,4
"353","Aortic valvar prosthesis complication,","15.35.08","996.0",NA,"T82.0",NA,"Prosthetic valve failure","Acquired valvar and atrioventricular septal defect abnormalities","38",5,5
"354","Postprocedural atrioventricular septal defect complication,","15.16.00","429.8","E878.8","Q21.2","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","39",9,10
"355","Residual ventricular component of atrioventricular septal defect,","15.16.02","745.6","E878.8","Q21.2","Y83.8","VSD","Acquired valvar and atrioventricular septal defect abnormalities","40",10,10
"356","Atrioventricular valvar abnormality in atrioventricular septal defect (AVSD): acquired,","10.34.60","424.9",NA,"I38",NA,"Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","41",3,3
"357","Left atrioventricular valvar regurgitation: acquired,","10.34.44","424.0",NA,"I34.0",NA,"Mitral regurgitation","Acquired valvar and atrioventricular septal defect abnormalities","42",3,3
"358","Residual common atrioventricular valvar regurgitation,","15.13.02","746.9","E878.8","Q24.8","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","43",18,21
"359","Postprocedural right atrioventricular valvar complication,","15.14.00","424.2","E878.8","I36.9","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","44",3,3
"360","Postprocedural left atrioventricular valvar complication,","15.15.00","394.9","E878.8","I34.9","Y83.8","Cardiac, Other","Acquired valvar and atrioventricular septal defect abnormalities","45",3,3
"361","Ventricular dyssynchrony,","07.00.01","428.1",NA,"I50.1",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","2",1,2
"362","Right ventricular abnormality: acquired,","10.16.00","429.8",NA,"I51.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","3",5,20
"363","Right ventricular dysfunction,","07.01.11","429.8",NA,"I51.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","4",6,20
"364","Right ventricular-congestive heart failure,","10.16.08","428.0",NA,"I50.0",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","5",1,1
"365","Postprocedural right ventricular complication,","15.20.01","997.1",NA,"I97.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","6",6,13
"366","Postprocedural right ventricular outflow tract complication,","15.20.21","429.8","E878.8","I51.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","7",7,20
"367","Right ventricular outflow tract obstruction: acquired,","10.16.16","429.8",NA,"I51.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","8",8,20
"368","Aneurysm of right ventricular outflow tract patch,","15.20.25","996.7",NA,"T82.8",NA,"Aneurysm, Ventricular, Right","Acquired ventricular and ventricular septal abnormalities","9",2,9
"369","Residual right ventricular outflow tract obstruction,","15.20.23","746.8","E878.8","Q24.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","10",19,21
"370","Left ventricular abnormality: acquired,","10.16.40","429.8",NA,"I51.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","11",9,20
"371","Left ventricular dysfunction,","07.06.10","429.8",NA,"I51.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","12",10,20
"372","Left ventricular failure,","10.16.47","428.1",NA,"I50.1",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","13",2,2
"373","Postprocedural left ventricular complication,","15.21.01","997.1",NA,"I97.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","14",7,13
"374","Postprocedural left ventricular outflow tract complication,","15.21.21","429.8","E878.8","I51.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","15",11,20
"375","Recurrent left ventricular outflow tract obstruction,","10.16.46","429.8",NA,"I51.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","16",12,20
"376","Residual left ventricular outflow tract obstruction,","15.21.22","746.8","E878.8","Q24.8","Y83.8","Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","17",20,21
"377","Narrowing of constructed intraventricular tunnel: acquired,","10.16.81","996.7",NA,"T82.8",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","18",3,9
"378","Subaortic stenosis: acquired,","10.16.86","429.8",NA,"I51.8",NA,"Aortic stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities","19",13,20
"379","Subaortic stenosis in complex heart disease: acquired,","10.16.82","429.8",NA,"I51.8",NA,"Aortic stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities","20",14,20
"380","Residual subaortic stenosis in complex heart disease,","15.20.75","429.8","E878.8","I51.8","Y83.8","Aortic stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities","21",15,20
"381","Subpulmonary stenosis: acquired,","10.16.88","429.8",NA,"I51.8",NA,"Pulmonary stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities","22",16,20
"382","Subpulmonary stenosis in complex heart disease: acquired,","10.16.83","429.8",NA,"I51.8",NA,"Pulmonary stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities","23",17,20
"383","Residual subpulmonary stenosis in complex heart disease,","15.20.76","429.8","E878.8","I51.8","Y83.8","Pulmonary stenosis, Subvalvar","Acquired ventricular and ventricular septal abnormalities","24",18,20
"384","Abnormality associated with ventricular septum: acquired,","10.16.60","429.8",NA,"I51.0",NA,"Cardiac, Other","Acquired ventricular and ventricular septal abnormalities","25",1,1
"385","Postmyocardial infarct ventricular septal defect (VSD),","10.16.62","410",NA,"I23.2",NA,"VSD","Acquired ventricular and ventricular septal abnormalities","26",1,1
"386","Residual ventricular septal defect (VSD),","15.22.02","745.4","E878.8","Q21.0","Y83.8","VSD","Acquired ventricular and ventricular septal abnormalities","27",11,11
"387","Myocardial failure in end stage congenital heart disease,","10.07.40","428.9","746.9","I50.9","Q24.9","Cardiomyopathy, End-stage congenital heart disease","Cardiomyopathy and heart muscle diseases","2",1,2
"388","Cardiomyopathy,","10.10.01","425.4",NA,"I42.9",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","3",1,3
"389","Ventricular myocardial noncompaction cardiomyopathy,","07.08.50","425.4",NA,"I42.8",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","4",1,3
"390","Hypertrophic cardiomyopathy,","10.10.20","425.4",NA,"I42.2",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","5",1,1
"391","Dilated cardiomyopathy,","10.10.25","425.4",NA,"I42.0",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","6",1,1
"392","Arrhythmogenic right ventricular cardiomyopathy,","07.01.10","425.4",NA,"I42.8",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","7",2,3
"393","Endocardial fibroelastosis,","10.10.12","425.3",NA,"I42.4",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","8",1,1
"394","Idiopathic restrictive cardiomyopathy,","10.10.11","425.4",NA,"I42.5",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","9",1,1
"395","Infiltrative cardiomyopathy,","10.10.13","425.4",NA,"I42.8",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","10",3,3
"396","Drug induced heart muscle disease,","10.07.05","425.9",NA,"I42.7",NA,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","11",1,1
"397","Nutritional heart muscle disease,","10.07.61","269.9","425.7","E63.9","I43.2","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","12",1,1
"398","Heart muscle disease in collagen vascular/ connective tissue disorder,","10.07.81","710.9","425.8","M35.9","I43.8","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","Cardiomyopathy and heart muscle diseases","13",2,2
"399","Pulmonary arterial disease: acquired,","10.13.50","417.9",NA,"I28.9",NA,"Cardiac, Other","Acquired pulmonary arterial abnormalities","2",3,3
"400","Right pulmonary arterial stenosis: acquired,","10.13.68","417.8",NA,"I28.8",NA,"Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities","3",2,6
"401","Left pulmonary arterial stenosis: acquired,","10.13.69","417.8",NA,"I28.8",NA,"Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities","4",3,6
"402","Postprocedural pulmonary trunk complication,","15.32.01","417.8","E878.8","I28.8","Y83.8","Cardiac, Other","Acquired pulmonary arterial abnormalities","5",4,6
"403","Postprocedural right pulmonary artery complication,","15.32.21","417.8","E878.8","I28.8","Y83.8","Cardiac, Other","Acquired pulmonary arterial abnormalities","6",5,6
"404","Postprocedural left pulmonary artery complication,","15.32.41","417.8","E878.8","I28.8","Y83.8","Cardiac, Other","Acquired pulmonary arterial abnormalities","7",6,6
"405","Residual right pulmonary artery stenosis,","15.32.23","747.3","E878.8","Q25.6","Y83.8","Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities","8",6,7
"406","Residual left pulmonary artery stenosis,","15.32.43","747.3","E878.8","Q25.6","Y83.8","Pulm art stenosis, Branch, Central","Acquired pulmonary arterial abnormalities","9",7,7
"407","Pulmonary arterial hypertension,","10.13.01","416.8",NA,"I27.0",NA,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities","10",1,2
"408","Primary pulmonary hypertension,","10.13.02","416.0",NA,"I27.0",NA,"Primary pulmonary hypertension","Acquired pulmonary arterial abnormalities","11",2,2
"409","Secondary pulmonary hypertension,","10.13.20","416.8",NA,"I27.8",NA,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities","12",1,9
"410","Pulmonary hypertension due to left to right shunt,","10.13.21","416.8",NA,"I27.8",NA,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities","13",2,9
"411","Pulmonary vascular disease,","10.13.06","416.8",NA,"I27.8",NA,"Pulmonary vascular obstructive disease","Acquired pulmonary arterial abnormalities","14",3,9
"412","Irreversible pulmonary vascular disease due to congenital heart disease (Eisenmenger Syndrome),","10.13.08","416.8",NA,"I27.8",NA,"Pulmonary vascular obstructive disease (Eisenmenger's)","Acquired pulmonary arterial abnormalities","15",4,9
"413","Pulmonary embolism,","10.13.51","415.1",NA,"I26.9",NA,"Pulmonary embolism","Acquired pulmonary arterial abnormalities","16",1,1
"414","Pulmonary oedema,","10.30.30","514",NA,"J81",NA,"Miscellaneous, Other","Acquired pulmonary arterial abnormalities","17",1,1
"415","Abnormality of aorta: acquired,","10.14.70","447.8",NA,"I77.8",NA,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities","2",2,9
"416","Supravalvar aortic stenosis: acquired,","10.14.77","447.1",NA,"I77.1",NA,"Aortic stenosis, Supravalvar","Acquired systemic arterial, coronary and ductal abnormalities","3",1,2
"417","Recoarctation of aorta,","10.14.72","447.1",NA,"I77.1",NA,"Coarctation of aorta","Acquired systemic arterial, coronary and ductal abnormalities","4",2,2
"418","Ascending aorta dilation: acquired,","10.14.40","441.6",NA,"I71.9",NA,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities","5",1,2
"419","Ascending aortopathy associated with conotruncal malformations,","10.14.95","441.6",NA,"I71.9",NA,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities","6",2,2
"420","Aortic root dilation,","09.16.13","747.2",NA,"Q25.4",NA,"Cardiac, Other","Acquired systemic arterial, coronary and ductal abnormalities","7",15,15
"421","Aortic dissection,","10.14.51","441.0",NA,"I71.0",NA,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities","8",1,4
"422","Ascending aorta dissection & propagation beyond arch (DeBakey type I),","10.14.52","441.0",NA,"I71.0",NA,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities","9",2,4
"423","Ascending aorta dissection not beyond arch (DeBakey type II/ Stanford type A),","10.14.53","441.0",NA,"I71.0",NA,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities","10",3,4
"424","Descending aorta dissection & distal propagation (DeBakey type III/ Stanford type B),","10.14.54","441.0",NA,"I71.0",NA,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities","11",4,4
"425","Aortic aneurysm,","10.14.50","441.2",NA,"I71.2",NA,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities","12",1,4
"426","Ascending aorta aneurysm,","10.14.42","441.2",NA,"I71.2",NA,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities","13",2,4
"427","Descending aorta aneurysm,","10.14.43","441.2",NA,"I71.2",NA,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities","14",3,4
"428","Abdominal aorta aneurysm,","10.14.44","441.4",NA,"I71.4",NA,"Aortic aneurysm (including pseudoaneurysm)","Acquired systemic arterial, coronary and ductal abnormalities","15",1,1
"429","Rupture of thoracic aortic aneurysm,","10.14.45","441.1",NA,"I71.1",NA,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities","16",1,1
"430","Rupture of abdominal aortic aneurysm,","10.14.46","441.3",NA,"I71.5",NA,"Aortic dissection","Acquired systemic arterial, coronary and ductal abnormalities","17",1,1
