block,ascii_desc,ascii_short_desc,effective_from,inactive
1448,"Amputation of wrist, hand or digit","Amputation of wrist, hand or digit",1/7/1998,
1449,Other excision procedures on bone of hand,Other excision proc on bone of hand,1/7/1998,
1450,Other excision procedures on hand,Other excision procedures on hand,1/7/1998,
1451,Other excision procedures on wrist,Other excision procedures on wrist,1/7/1998,
1452,Closed reduction of fracture of carpus,Closed reduction of fracture of carpus,1/7/1998,
1453,Closed reduction of fracture of metacarpus of hand,"Closed rdctn fracture metacarpus, hand",1/7/1998,
1454,Closed reduction of phalanx of hand,Closed reduction of phalanx of hand,1/7/1998,
1455,Open reduction of fracture of carpus,Open reduction of fracture of carpus,1/7/1998,
1456,Open reduction of fracture of metacarpus of hand,"Open reduction fracture metacarpus, hand",1/7/1998,
1457,Open reduction of fracture of phalanx of hand,Open reduction fracture phalanx of hand,1/7/1998,
1458,Closed reduction of dislocation of joint of hand,Closed rdctn dislocation joint of hand,1/7/1998,
1459,Open reduction of dislocation of joint of hand,Open reduction dislocation joint of hand,1/7/1998,
1460,Arthrodesis of hand,Arthrodesis of hand,1/7/1998,
1461,"Bone graft of wrist, metacarpus or phalanx of hand","Bone graft of wrist/metacarpus/phlx hand",1/7/1998,
1462,Arthroplasty of interphalangeal joint of hand,"Arthroplasty interphalangeal joint, hand",1/7/1998,
1463,Arthroplasty of metacarpophalangeal joint,Arthroplasty metacarpophalangeal joint,1/7/1998,
1464,Other arthroplasty of phalangeal joint of hand,Other arthroplasty phalangeal jt of hand,1/7/1998,
1465,Repair of ligament or capsule of phalangeal joint of hand,"Repair ligmt/capsule phalangeal jt, hand",1/7/1998,
1466,Repair of tendon of hand,Repair of tendon of hand,1/7/1998,
1467,Other repair procedures on hand,Other repair procedures on hand,1/7/1998,
1468,Other repair procedures on wrist,Other repair procedures on wrist,1/7/1998,
1469,Reconstruction procedures on hand,Reconstruction procedures on hand,1/7/1998,
1470,Reconstruction procedures on wrist,Reconstruction procedures on wrist,1/7/1998,
1471,Revision procedures on hand or finger,Revision procedures on hand or finger,1/7/1998,
1472,Revision procedures on wrist,Revision procedures on wrist,1/7/1998,
1473,Procedures for mallet finger,Procedures for mallet finger,1/7/1998,
1474,Procedures for ganglion of hand or wrist,Procedures for ganglion of hand or wrist,1/7/1998,
1475,Procedures for osteomyelitis of hand,Procedures for osteomyelitis of hand,1/7/1998,1/7/2002
1476,Immobilisation or traction of fracture or dislocation of pelvis or hip,"Immobils/traction fx/disloc pelv or hip",1/7/1998,
1477,"Other application, insertion or removal procedures on pelvis or hip","Oth applicn/ins/removal proc, pelvis/hip",1/7/1998,1/7/2004
1478,"Osteotomy of pelvis, hip or femur","Osteotomy of pelvis, hip or femur",1/7/1998,
1479,Reduction and fixation of fracture of pelvis or femur,"Rdctn & fixation fracture pelvis / femur",1/7/1998,
1480,Release of hip contracture,Release of hip contracture,1/7/1998,
1481,Other incision of hip,Other incision of hip,1/7/1998,
1482,Biopsy of hip,Biopsy of hip,1/7/1998,
1483,Ostectomy of femur or pelvis,Ostectomy of femur or pelvis,1/7/1998,
1484,Amputation of pelvis or hip,Amputation of pelvis or hip,1/7/1998,
1485,Other excision procedures on pelvis or hip,Other excision proc on pelvis or hip,1/7/1998,
1486,Reduction of fracture of pelvis or femur,Reduction of fracture of pelvis or femur,1/7/1998,
1487,Reduction of dislocation of hip,Reduction of dislocation of hip,1/7/1998,
1488,Bone graft to pelvis or hip,Bone graft to pelvis or hip,1/7/1998,
1489,Arthroplasty of hip,Arthroplasty of hip,1/7/1998,
1490,Transplantation or transfer of tendon or muscle of pelvis or hip,"Trnsplnt/trsf tend/muscle pelvis/hip",1/7/1998,
1491,Other repair procedures on pelvis or hip,Other repair procedures on pelvis or hip,1/7/1998,
1492,Revision arthroplasty of hip,Revision arthroplasty of hip,1/7/1998,
1493,Procedures for slipped capital femoral epiphysis,Proc for slip capital femoral epiphysis,1/7/1998,
1494,Procedures for osteomyelitis of pelvis or femur,"Proc for osteomyelitis of pelvis/femur",1/7/1998,1/7/2002
1495,"Immobilisation of fracture of fibula, patella or tibia","Immobilisation fx fibula/patella/tibia",1/7/1998,
1496,"Other application, insertion or removal procedures on knee or leg","Oth applicn/ins/removal proc on knee/leg",1/7/1998,
1497,Decompression fasciotomy of calf,Decompression fasciotomy of calf,1/7/1998,1/7/2022
1498,Release of knee contracture,Release of knee contracture,1/7/1998,
1499,"Osteotomy of distal femur, patella, tibia or fibula","Osteotomy dstl femur/patella/tib/fibula",1/7/1998,
15,Removal of intracranial lesion,Removal of intracranial lesion,1/7/1998,
1500,Internal fixation of fracture of femoral condyle,Internal fixation fx of femoral condyle,1/7/1998,
1501,Other incision procedures on knee,Other incision procedures on knee,1/7/1998,
1502,Biopsy of knee,Biopsy of knee,1/7/1998,
1503,Arthroscopic excision of knee,Arthroscopic excision of knee,1/7/1998,
1504,Excision of bone of knee or leg,Excision of bone of knee or leg,1/7/1998,
1505,Other excision procedures on knee or leg,Other excision procedures on knee or leg,1/7/1998,
1506,Reduction of dislocation of knee or patella,Reduction dislocation of knee or patella,1/7/1998,
1507,Closed reduction of fracture of tibial plateau,Closed reduction fracture tibial plateau,1/7/1998,
1508,Open reduction of fracture of tibial plateau,Open reduction fracture tibial plateau,1/7/1998,
1509,Closed reduction of fracture of shaft of tibia or fibula,Clsd reduction fx tibial shaft or fibula,1/7/1998,
1510,Open reduction of fracture of shaft of tibia or fibula,Open reduction fx tibial shaft or fibula,1/7/1998,
1511,Removal of loose body of knee with repair,Removal loose body of knee with repair,1/7/1998,1/7/2022
1512,Arthrodesis of knee,Arthrodesis of knee,1/7/1998,
1513,Bone graft to tibia,Bone graft to tibia,1/7/1998,
1514,Lateral release of knee with repair,Lateral release of knee with repair,1/7/1998,1/7/2022
1515,Resection of femur and tibia with repair,Resection of femur and tibia with repair,1/7/1998,
1516,"Transfer of tendon, ligament or bone of knee or leg","Transfer tendon/ligmt/bone of knee/leg",1/7/1998,
1517,Arthroscopic meniscectomy of knee with repair,Arthroscopic meniscectomy knee w repair,1/7/1998,1/7/2022
1518,Arthroplasty of knee,Arthroplasty of knee,1/7/1998,
1519,Arthroplasty of knee with bone graft to femur or tibia,"Arthroplasty knee, bone gft to femur/tib",1/7/1998,
1520,Other repair procedures on knee or leg,Other repair procedures on knee or leg,1/7/1998,
1521,Internal fixation of fracture of femur or tibia with reconstruction,"IF fracture femur/tibia w reconstruction",1/7/1998,
1522,Reconstruction procedures on knee,Reconstruction procedures on knee,1/7/1998,
1523,Revision of arthroplasty of knee with bone graft to femur or tibia,"Rev arthroply knee bone graft femr / tib",1/7/1998,
1524,Other revision procedures on knee,Other revision procedures on knee,1/7/1998,
1525,Procedures for osteomyelitis of fibula or tibia,"Proc for osteomyelitis of fibula/tibia",1/7/1998,1/7/2002
1526,Immobilisation procedures on ankle or foot,"Immobilisation procedures on ankle/foot",1/7/1998,
1527,"Other application, insertion or removal procedures on ankle or foot","Oth applicn/ins/removal proc, ankle/foot",1/7/1998,1/7/2004
1528,Osteotomy of ankle or foot,Osteotomy of ankle or foot,1/7/1998,
1529,Other incision procedures on ankle,Other incision procedures on ankle,1/7/1998,
1530,Other incision procedures on foot,Other incision procedures on foot,1/7/1998,
1531,Arthroscopic excision procedures on ankle,Arthroscopic excision proc on ankle,1/7/1998,
1532,Excision of bone of foot,Excision of bone of foot,1/7/1998,
1533,Amputation of ankle or foot,Amputation of ankle or foot,1/7/1998,
1534,Other excision procedures on ankle or foot,Other excision proc on ankle or foot,1/7/1998,
1535,Manipulation of vertical congenital talus,Manipulation vertical congenital talus,1/7/1998,1/7/2000
1536,"Closed reduction of fracture of calcaneum, talus or metatarsus","Clsd rdctn fx calcaneum/talus/metatars",1/7/1998,
1537,Closed reduction of fracture of ankle or toe,Closed reduction fracture ankle or toe,1/7/1998,
1538,"Open reduction of fracture of calcaneum, talus or metatarsus","Open rdctn fx calcaneum/talus/metatars",1/7/1998,
1539,Open reduction of fracture of ankle or toe,Open reduction fracture of ankle or toe,1/7/1998,
1540,Closed reduction of dislocation of ankle or foot,"Closed reduction dislocation ankle/foot",1/7/1998,
1541,Open reduction of dislocation of ankle or foot,"Open reduction dislocation of ankle/foot",1/7/1998,
1542,Repair of tendon or ligament of ankle or foot,"Repair tendon or ligament of ankle/foot",1/7/1998,
1543,"Arthrodesis of ankle, foot or toe","Arthrodesis of ankle, foot or toe",1/7/1998,
1544,Other repair procedures on ankle or foot,Other repair procedures on ankle or foot,1/7/1998,
1545,Reconstruction procedures on ankle or foot,Reconstruction proc on ankle or foot,1/7/1998,
1546,Procedures for talipes equinovarus,Procedures for talipes equinovarus,1/7/1998,
1547,Procedures for hallux valgus or hallux rigidus,"Procedures for hallux valgus/rigidus",1/7/1998,
1548,Procedures for other toe deformities,Procedures for other toe deformities,1/7/1998,
1549,Procedures for osteomyelitis of foot,Procedures for osteomyelitis of foot,1/7/1998,1/7/2002
1550,Application of external fixation devices to other musculoskeletal sites,"Applicn ext fixation dev, oth M/S sites",1/7/1998,
1551,Replacement of external fixation devices other musculoskeletal sites,"Replace ext fixation dev, oth M/S sites",1/7/1998,1/7/2000
1552,Administration of agent into other musculoskeletal sites,"Admin of agt into oth M/S sites",1/7/1998,
1553,Aspiration of other musculoskeletal sites,Aspiration other musculoskeletal sites,1/7/1998,
1554,"Other application, insertion or removal procedures on other musculoskeletal sites","Oth applicn/ins/removal proc, M/S sites",1/7/1998,
1555,Incision procedures on joint of other musculoskeletal sites,"Incision proc on joint other M/S sites",1/7/1998,
1556,Incision procedures on bone of other musculoskeletal sites,"Incision proc on bone other M/S sites",1/7/1998,
1557,Incision procedures on tendon or tendon sheath of other musculoskeletal sites,"Inc proc tend/tend sheath oth M/S sites",1/7/1998,
1558,Incision of fascia of other musculoskeletal sites,"Incision of fascia of other M/S sites",1/7/1998,
1559,Incision procedures on other musculoskeletal sites,"Incision procedures on other M/S sites",1/7/1998,
1560,Biopsy of other musculoskeletal sites,Biopsy of other musculoskeletal sites,1/7/1998,
1561,Excision procedures on joint of other musculoskeletal sites,"Excision proc on joint other M/S sites",1/7/1998,
1562,En bloc resection of lesion of soft tissue affecting long bones,"En bloc resec soft tis lsn, long bones",1/7/1998,
1563,Other excision procedures on bone of other musculoskeletal sites,"Oth excision proc on bone, oth M/S sites",1/7/1998,
1564,Excision procedures on tendon of other musculoskeletal sites,"Excision proc on tendon, other M/S sites",1/7/1998,
1565,Excision procedures on muscle of other musculoskeletal sites,"Excision procedures muscle oth M/S sites",1/7/1998,
1566,Excision procedures on other musculoskeletal sites,"Excision procedures on other M/S sites",1/7/1998,
1567,Reduction procedures on other musculoskeletal sites,"Reduction procedures on other M/S sites",1/7/1998,
1568,Suture of other musculoskeletal sites,Suture of other musculoskeletal sites,1/7/1998,
1569,Graft of other musculoskeletal sites,Graft of other musculoskeletal sites,1/7/1998,
1570,En bloc resection of lesion of bone or total resection of bone with repair of other musculoskeletal sites,En bloc resec bne lsn tot bne resec rep,1/7/1998,
1571,Other repair procedures on bone of other musculoskeletal sites,"Other repair proc on bone, oth M/S sites",1/7/1998,
1572,Other repair procedures on tendon of other musculoskeletal sites,Other repair proc on tendon other sites,1/7/1998,
1573,Other repair procedures on muscle of other musculoskeletal sites,"Oth repair proc on muscle oth M/S sites",1/7/1998,
1574,Other repair procedures of other musculoskeletal sites,"Other repair proc of other M/S sites",1/7/1998,
1575,En bloc resection of lesion of soft tissue affecting long bones with reconstruction,En bloc lsn soft tis long bones w recon,1/7/1998,
1576,Other reconstruction procedures on other musculoskeletal sites,"Other reconstruction proc, oth M/S sites",1/7/1998,
1577,Procedure for osteomyelitis of other musculoskeletal sites,"Proc for osteomyelitis, other M/S sites",1/7/1998,1/7/2002
1578,Limb reconstruction,Limb reconstruction,1/7/1998,
1579,Other procedures for other musculoskeletal sites,"Other proc for other M/S sites",1/7/1998,
1580,Single event multilevel surgery [SEMLS],Single event multilevel surgery [SEMLS],1/7/2013,
16,Other intracranial excision,Other intracranial excision,1/7/1998,
160,Examination procedures on eyeball,Examination procedures on eyeball,1/7/1998,
1600,Dressing of burn,Dressing of burn,1/7/1998,
1601,Wound management,Wound management,1/7/1998,
1602,Administration of agent into skin and subcutaneous tissue,Administration of agent into SSCT,1/7/1998,
1603,Removal of foreign body from skin and subcutaneous tissue,Removal of foreign body from SSCT,1/7/1998,
1604,"Other application, insertion or removal procedures on skin and subcutaneous tissue","Other applicn/ins/removal proc on SSCT",1/7/1998,
1605,Removal of foreign body from skin and subcutaneous tissue with incision,Removal of foreign body from SSCT w inc,1/7/1998,
1606,Incision and drainage of skin and subcutaneous tissue,Incision & drainage of SSCT,1/7/1998,
1607,Release of skin and subcutaneous tissue,Release of skin and subcutaneous tissue,1/7/1998,
1608,Other incision procedures on skin and subcutaneous tissue,Other incision procedures on SSCT,1/7/1998,
1609,Psoralens and ultraviolet A [PUVA] light therapy of skin,PUVA light therapy of skin,1/7/1998,
161,Excision procedures on eyeball,Excision procedures on eyeball,1/7/1998,
1610,Ultraviolet B [UVB] light therapy of skin,UVB light therapy of skin,1/7/1998,
1611,Other phototherapy of skin,Other phototherapy of skin,1/7/1998,
1612,Destruction of lesion of skin or cartilage,Destruction of lesion skin or cartilage,1/7/1998,
1613,Destruction of premalignant skin lesion,Destruction of premalignant skin lesion,1/7/1998,1/7/2002
1614,Destruction of malignant lesion of skin or cartilage,"Destruction malgt lesion, skin/cartilage",1/7/1998,1/7/2002
1615,Laser resurfacing of skin,Laser resurfacing of skin,1/7/1998,
1616,Abrasive therapy to skin,Abrasive therapy to skin,1/7/1998,
1617,Other destruction procedures on skin and subcutaneous tissue,Other destruction procedures on SSCT,1/7/1998,
1618,Biopsy of skin and subcutaneous tissue,Biopsy of skin and subcutaneous tissue,1/7/1998,
1619,Removal of wart or molluscum contagiosum,"Removal of wart/molluscum contagiosum",1/7/1998,
162,Repair of perforating wound of eyeball,Repair of perforating wound of eyeball,1/7/1998,
1620,Excision of lesion of skin and subcutaneous tissue,Excision of lesion of SSCT,1/7/1998,
1621,Excision of giant hairy or giant compound naevus,"Exc giant hairy/giant compound naevus",1/7/1998,1/7/2002
1622,Excision of basal cell or squamous cell carcinoma of skin,Excision of BCC or SCC of skin,1/7/1998,1/7/2002
1623,Excision of other malignant lesion of skin and subcutaneous tissue,Excision other malignant lesion of SSCT,1/7/1998,1/7/2002
1624,Excision of residual or recurrent malignant lesion of skin or subcutaneous tissue,"Exc res/rec malgt les skin/subcut tiss",1/7/1998,1/7/2002
1625,"Excision of lesion of skin and subcutaneous tissue, not elsewhere classified","Excision of lesion of SSCT, NEC",1/7/1998,1/7/2002
1626,Microscopically controlled excision of lesion of skin,Microscopically controlled exc lsn skin,1/7/1998,
1627,Debridement of burn,Debridement of burn,1/7/1998,
1628,Other debridement of skin and subcutaneous tissue,Other debridement of SSCT,1/7/1998,
1629,Removal of skin graft,Removal of skin graft,1/7/1998,
163,Other repair procedures on eyeball,Other repair procedures on eyeball,1/7/1998,
1630,Excision of ulcer or sinus of skin and subcutaneous tissue,Excision of ulcer or sinus of SSCT,1/7/1998,
1631,Excision of fingernail,Excision of fingernail,1/7/1998,
1632,Excision of toenail,Excision of toenail,1/7/1998,
1633,Excision of sweat glands,Excision of sweat glands,1/7/1998,
1634,Other excision procedures on skin and subcutaneous tissue,Other excision procedures on SSCT,1/7/1998,
1635,Repair of wound of skin and subcutaneous tissue,Repair of wound of SSCT,1/7/1998,
1636,Repair of nail,Repair of nail,1/7/1998,
1637,Allograft to burn,Allograft to burn,1/7/1998,1/7/2002
1638,Xenograft to burn,Xenograft to burn,1/7/1998,1/7/2002
1639,Synthetic skin graft to burn,Synthetic skin graft to burn,1/7/1998,1/7/2002
164,Secondary procedures after removal of eyeball,"Secondary procedures after R/O eyeball",1/7/1998,
1640,"Allograft, xenograft or synthetic skin graft","Allogft/xenograft/synthc skin gft",1/7/1998,
1641,Split skin graft to granulating burn site,Split skin gft to granulating burn site,1/7/1998,
1642,Other split skin graft to granulating area,Other split skin gft to granulating area,1/7/1998,
1643,Split skin graft to burn of specific sites,Split skin graft to burn of spec sites,1/7/1998,
1644,Split skin graft to burn of other sites,Split skin graft to burn of other sites,1/7/1998,
1645,"Other split skin graft, small","Other split skin graft, small",1/7/1998,
1646,"Other split skin graft, extensive","Other split skin graft, extensive",1/7/1998,
1647,"Split skin graft, inlay","Split skin graft, inlay",1/7/1998,
1648,Full thickness skin graft to burn,Full thickness skin graft to burn,1/7/1998,
1649,Other full thickness skin graft,Other full thickness skin graft,1/7/1998,
165,Other procedures on eyeball,Other procedures on eyeball,1/7/1998,
1650,Dermis graft,Dermis graft,1/7/1998,
1651,"Local skin flap, single stage",Local skin flap single stage,1/7/1998,
1652,"Local skin flap, large or complicated, single stage","Local skin flap lrg/complicated, sgl stg",1/7/1998,1/7/2010
1653,Direct distant skin flap,Direct distant skin flap,1/7/1998,
1654,Indirect distant skin flap,Indirect distant skin flap,1/7/1998,
1655,Other repair procedures on skin and subcutaneous tissue,Other repair procedures on SSCT,1/7/1998,
1656,Revision of burn scar or contracture,Revision of burn scar or contracture,1/7/1998,
1657,Revision of other scar of skin,Revision of other scar of skin,1/7/1998,
1658,Revision of skin flap,Revision of skin flap,1/7/1998,
1659,"Procedures for pilonidal sinus, cyst or abscess","Proc for pilonidal sinus/cyst/abscess",1/7/1998,
166,"Application, insertion or removal procedures on cornea","Applicn/insertion/removal proc on cornea",1/7/1998,
1660,Other procedures on skin and subcutaneous tissue,Other procedures on SSCT,1/7/1998,
1661,"Insertion, removal or adjustment of tissue expander or implant","Ins, R/O or adjust tissue expand or impl",1/7/1998,
1662,"Excision, eyelid","Excision, eyelid",1/7/1998,
1663,"Excision, ear","Excision, ear",1/7/1998,
1664,"Excision, lip","Excision, lip",1/7/1998,
1665,"Excision, tongue","Excision, tongue",1/7/1998,
1666,Liposuction and lipectomy,Liposuction and lipectomy,1/7/1998,
1667,Excision of lymphoedematous tissue,Excision of lymphoedematous tissue,1/7/1998,
1668,Dermofat or fat graft,Dermofat or fat graft,1/7/1998,
1669,Composite graft,Composite graft,1/7/1998,
167,Incision procedures on cornea,Incision procedures on cornea,1/7/1998,
1670,Fascia graft,Fascia graft,1/7/1998,
1671,Myocutaneous flap,Myocutaneous flap,1/7/1998,
1672,Muscle flap,Muscle flap,1/7/1998,
1673,Island flap,Island flap,1/7/1998,
1674,Free flap,Free flap,1/7/1998,
1675,"Facelift, necklift and browlift","Facelift, necklift and browlift",1/7/1998,
1676,Graft for symblepharon,Graft for symblepharon,1/7/1998,
1677,Repair of blepharoptosis,Repair of blepharoptosis,1/7/1998,
1678,Repair of ear,Repair of ear,1/7/1998,
1679,Rhinoplasty,Rhinoplasty,1/7/1998,
168,Destruction procedures on cornea,Destruction procedures on cornea,1/7/1998,
1680,Other repair of nose,Other repair of nose,1/7/1998,
1681,Repair of pharynx,Repair of pharynx,1/7/1998,
1682,Contour reconstruction,Contour reconstruction,1/7/1998,
1683,Contour restoration,Contour restoration,1/7/1998,
1684,Reconstruction of eyelid and ear,Reconstruction of eyelid and ear,1/7/1998,
1685,Reconstruction of lip or mouth,Reconstruction of lip or mouth,1/7/1998,
1686,Revision of free flap and associated procedures,Rev of free flap & associated procedures,1/7/1998,
1687,Revision of other plastic procedures on soft tissue,Revision oth plastic proc on soft tissue,1/7/1998,
1688,Reoperation to correct previous ptosis repair of eyelid,Reop to correct prev ptosis rep eyelid,1/7/1998,
1689,Procedures for cleft lip,Procedures for cleft lip,1/7/1998,
169,Biopsy of cornea,Biopsy of cornea,1/7/1998,
1690,Procedures for cleft palate,Procedures for cleft palate,1/7/1998,
1691,Procedures for cleft lip and anterior palate,Proc for cleft lip & anterior palate,1/7/1998,
1692,Procedures for facial nerve paralysis,Procedures for facial nerve paralysis,1/7/1998,
1693,Excision of arteriovenous malformation [AVM],Excision of AVM,1/7/1998,
1694,Microsurgical repair for restoration of continuity of blood vessel of distal extremity or digit,"Microsurg rep blood vesl extremity/digit",1/7/1998,
1695,Microsurgical anastomosis of blood vessel,Microsurg anastomosis blood vessel,1/7/1998,
1696,Microsurgical graft of blood vessel,Microsurgical graft of blood vessel,1/7/1998,
1697,Fixation of transcutaneous abutment (osseointegration procedure),Fixation of transcutaneous abutment,1/7/1998,
1698,Implantation of titanium fixture (osseointegration procedure),Implantation of titanium fixture,1/7/1998,
1699,Resection of mandible,Resection of mandible,1/7/1998,
17,Skull base surgery for lesion,Skull base surgery for lesion,1/7/1998,
170,Keratectomy,Keratectomy,1/7/1998,
1700,Resection of maxilla,Resection of maxilla,1/7/1998,
1701,Resection of other facial bone,Resection of other facial bone,1/7/1998,
1702,Genioplasty,Genioplasty,1/7/1998,
1703,Osteotomy or ostectomy of zygoma,Osteotomy or ostectomy of zygoma,1/7/1998,
1704,Osteotomy or ostectomy of zygoma with internal fixation,"Osteotomy/ostectomy of zygoma w IF",1/7/1998,
1705,Osteotomy or ostectomy of mandible or maxilla,"Osteotomy/ostectomy of mandible/maxilla",1/7/1998,
1706,Osteotomy or ostectomy of mandible or maxilla with internal fixation,"Osteotomy/ostectomy of mandible/max w IF",1/7/1998,
1707,"Osteotomy or ostectomy of mandible or maxilla, procedures in combination","Osteotomy/ostectomy mand/max cmb proc",1/7/1998,
1708,"Osteotomy or ostectomy of mandible or maxilla with internal fixation, procedures in combination","Osteotomy/ostectomy of mand/maxilla w IF",1/7/1998,
1709,Midfacial osteotomies,Midfacial osteotomies,1/7/1998,
171,Excision of lesion of limbus,Excision of lesion of limbus,1/7/1998,
1710,Frontal bone advancement,Frontal bone advancement,1/7/1998,
1711,Correction of skull deformity,Correction of skull deformity,1/7/1998,
1712,Other repair of skull or facial bone,Other repair of skull or facial bone,1/7/1998,
1713,Reconstruction of mandible,Reconstruction of mandible,1/7/1998,
1714,Reconstruction of maxilla,Reconstruction of maxilla,1/7/1998,
1715,Reconstruction of zygoma,Reconstruction of zygoma,1/7/1998,
1716,Reconstruction of orbital cavity,Reconstruction of orbital cavity,1/7/1998,
1717,Reconstruction of other skull and facial bones,Reconstruction oth skull & facial bones,1/7/1998,
1718,Other procedures for craniostenosis,Other procedures for craniostenosis,1/7/1998,
172,Other excision procedures on cornea,Other excision procedures on cornea,1/7/1998,
173,Keratoplasty,Keratoplasty,1/7/1998,
174,Other repair procedures on cornea,Other repair procedures on cornea,1/7/1998,
1740,Examination procedures on breast,Examination procedures on breast,1/7/1998,
1741,"Application, insertion or removal procedures on breast","Applicn/insertion/removal proc on breast",1/7/1998,
1742,Incision procedures on breast,Incision procedures on breast,1/7/1998,
1743,Biopsy of breast,Biopsy of breast,1/7/1998,
1744,Excision of lesion of breast,Excision of lesion of breast,1/7/1998,
1745,Segmental resection of breast,Segmental resection of breast,1/7/1998,1/7/2002
1746,Partial mastectomy,Partial mastectomy,1/7/1998,1/7/2002
1747,Subcutaneous mastectomy,Subcutaneous mastectomy,1/7/1998,
1748,Simple mastectomy,Simple mastectomy,1/7/1998,
1749,Extended simple mastectomy,Extended simple mastectomy,1/7/1998,1/7/2002
175,Reoperation procedures on cornea,Reoperation procedures on cornea,1/7/1998,
1750,Modified radical mastectomy,Modified radical mastectomy,1/7/1998,1/7/2002
1751,Radical mastectomy,Radical mastectomy,1/7/1998,1/7/2002
1752,Other excision procedures on breast,Other excision procedures on breast,1/7/1998,
1753,Augmentation mammoplasty,Augmentation mammoplasty,1/7/1998,
1754,Reduction mammoplasty,Reduction mammoplasty,1/7/1998,
1755,Other repair procedures on breast,Other repair procedures on breast,1/7/1998,
1756,Reconstruction procedures on breast,Reconstruction procedures on breast,1/7/1998,
1757,Reconstruction procedures on nipple and areola,Reconstruction proc on nipple & areola,1/7/1998,
1758,Procedures involving removal or adjustment of breast prosthesis or tissue expander,"Proc R/O adjust brst prosth / tis expand",1/7/1998,
1759,Other procedures on breast,Other procedures on breast,1/7/1998,
176,Other procedures on cornea,Other procedures on cornea,1/7/1998,
177,"Application, insertion or removal procedures on sclera","Applicn/insertion/removal proc on sclera",1/7/1998,
178,Incision procedures on sclera,Incision procedures on sclera,1/7/1998,
1780,Chemotherapy administration,Chemotherapy administration,1/7/1998,1/7/2004
1781,Intravenous chemotherapy,Intravenous chemotherapy,1/7/1998,1/7/2000
1782,Intra-arterial chemotherapy,Intra-arterial chemotherapy,1/7/1998,1/7/2000
1783,Loading of chemotherapy devices,Loading of chemotherapy devices,1/7/1998,1/7/2000
1784,Instillation of cytotoxic agent,Instillation of cytotoxic agent,1/7/1998,1/7/2004
1785,Other chemotherapeutic procedures,Other chemotherapeutic procedures,1/7/1998,1/7/2004
1786,Superficial radiation treatment,Superficial radiation treatment,1/7/1998,
1787,Orthovoltage radiation treatment,Orthovoltage radiation treatment,1/7/1998,
1788,Megavoltage radiation treatment,Megavoltage radiation treatment,1/7/1998,
1789,Other megavoltage radiation treatment,Other megavoltage radiation treatment,1/7/1998,
179,Destruction procedures on sclera,Destruction procedures on sclera,1/7/1998,
1790,"Brachytherapy, intracavitary, gynaecological","Brachytherapy, intracavitary, gyn",1/7/1998,
1791,"Brachytherapy, other intracavitary sites","Brachytherapy, other intracavitary sites",1/7/1998,
1792,"Brachytherapy, other","Brachytherapy, other",1/7/1998,
1793,Removal of sealed radioactive source,Removal of sealed radioactive source,1/7/1998,
1794,Brachytherapy surface applicators,Brachytherapy surface applicators,1/7/1998,
1795,Administration of a therapeutic dose of unsealed radioisotope,"Admin thrpc dose, unsealed radioisotope",1/7/1998,
1796,Radioactive moulds,Radioactive moulds,1/7/1998,
1797,Construction and fitting of immobilisation devices or treatment accessories for radiotherapy,"Construct & fit dev/Rx for radiotherapy",1/7/1998,
1798,Radiation field setting,Radiation field setting,1/7/1998,
1799,Radiation dosimetry,Radiation dosimetry,1/7/1998,
18,Skull base surgery for vascular lesion,Skull base surgery for vascular lesion,1/7/1998,1/7/2004
180,Biopsy of sclera,Biopsy of sclera,1/7/1998,1/7/2017
1800,Implantation of device for radiotherapy guidance,"Impl of dev for R/T guidance",1/7/2015,
181,Other excision procedures on sclera,Other excision procedures on sclera,1/7/1998,
182,Repair procedures on sclera,Repair procedures on sclera,1/7/1998,
1820,Physiological assessment,Physiological assessment,1/7/1998,
1821,Preoperative anaesthesia assessment,Preoperative anaesthesia assessment,1/7/1998,
1822,"Assessment of personal care and other activities of daily/independent living",Assessment personal care & oth activity,1/7/1998,
1823,"Mental, behavioural or psychosocial assessment","Mental/behavioural/psychosocial assess",1/7/1998,
1824,"Other assessment, consultation, interview, examination or evaluation","Oth assess/consult/interview/exam/evaln",1/7/1998,
1825,Electroencephalography [EEG],Electroencephalography [EEG],1/7/1998,
1826,Neuromuscular electrodiagnosis,Neuromuscular electrodiagnosis,1/7/1998,
1827,Investigation of central nervous system evoked responses,Investigation of CNS evoked responses,1/7/1998,
1828,Sleep study,Sleep study,1/7/1998,
1829,Neuropsychological assessment,Neuropsychological assessment,1/7/1998,1/7/2002
183,Revision procedures on sclera,Revision procedures on sclera,1/7/1998,
1830,"Other diagnostic neurological tests, measures or investigations","Other dx neuro tests/measures/investgtn",1/7/1998,
1831,Measurement or study of visual function,Measurement or study of visual function,1/7/1998,
1832,Perimetry,Perimetry,1/7/1998,
1833,Measurement of accommodation or refraction,"Measurement accommodation/refraction",1/7/1998,
1834,Orthoptics measurement or investigation,Orthoptics measurement or investigation,1/7/1998,1/7/2002
1835,"Other diagnostic ophthalmic tests, measures or investigations","Oth ophthalmic tests/measures/investgtn",1/7/1998,
1836,Auditory function tests,Auditory function tests,1/7/1998,
1837,Speech audiometry,Speech audiometry,1/7/1998,
1838,Speech audiometry involving central auditory function tests,Speech audiometry w central auditory fn,1/7/1998,
1839,Auditory evoked potentials,Auditory evoked potentials,1/7/1998,
