code_id,code_id_clean,aust_code,ascii_desc,ascii_short_desc,effective_from,inactive,reactivated
"M8246/2",M82462,1,"Neuroendocrine carcinoma NOS, in situ","Neuroendo ca NOS, insit",1/7/2013,,
"M8246/3",M82463,0,Neuroendocrine carcinoma NOS,Neuroendo ca NOS,1/7/1998,,
"M8246/6",M82466,1,"Neuroendocrine carcinoma, metastatic","Neuroendo ca, met",1/7/2002,,
"M8246/9",M82469,1,"Neuroendocrine carcinoma NOS, uncertain whether primary or metastatic","Neuroendo ca NOS, up/m",1/7/2002,,
"M8247/2",M82472,1,"Merkel cell carcinoma, in situ","Merkel cell ca, insit",1/7/2013,,
"M8247/3",M82473,0,Merkel cell carcinoma,Merkel cell ca,1/7/1998,,
"M8247/6",M82476,1,"Merkel cell carcinoma, metastatic","Merkel cell ca, met",1/7/2002,,
"M8247/9",M82479,1,"Merkel cell carcinoma, uncertain whether primary or metastatic","Merkel cell ca, up/m",1/7/2002,,
"M8248/1",M82481,0,Apudoma,Apudoma,1/7/1998,,
"M8249/2",M82492,1,"Neuroendocrine tumour, grade 2, in situ",Neuroendocrine tumour grade 2 in situ,1/7/2013,,
"M8249/3",M82493,0,"Neuroendocrine tumour, grade 2",Neuroendocrine tumour grade 2,1/7/2002,,
"M8249/6",M82496,1,"Neuroendocrine tumour, grade 2, metastatic",Neuroendocrine tum grade 2 metastatic,1/7/2002,,
"M8249/9",M82499,1,"Neuroendocrine tumour, grade 2, malignant, uncertain whether primary or metastatic","Neuroendocrine tum grade 2 malg up/m",1/7/2002,,
"M8250/0",M82500,0,Atypical adenomatous hyperplasia,Atypical adenomatous hyperplasia,1/7/2022,,
"M8250/1",M82501,0,Pulmonary adenomatosis,Pulmonary adenomatosis,1/7/1998,,
"M8250/2",M82502,0,"Adenocarcinoma in situ of lung, nonmucinous",Adenocarcinoma in situ lung nonmucinous,1/7/2013,,
"M8250/3",M82503,0,Lepidic adenocarcinoma,Lepidic adenocarcinoma,1/7/1998,,
"M8250/6",M82506,1,"Lepidic adenocarcinoma, metastatic",Lepidic adenocarcinoma metastatic,1/7/2002,,
"M8250/9",M82509,1,"Lepidic adenocarcinoma, uncertain whether primary or metastatic","Lepidic adenocarcinoma up/m",1/7/2002,,
"M8251/0",M82510,0,Alveolar adenoma,Alveolar adenoma,1/7/1998,,
"M8251/2",M82512,1,"Alveolar adenocarcinoma, in situ","Alveolar adenoca, insit",1/7/2013,,
"M8251/3",M82513,0,Alveolar adenocarcinoma,Alveolar adenoca,1/7/1998,,
"M8251/6",M82516,1,"Alveolar adenocarcinoma, metastatic","Alveolar adenoca, met",1/7/2002,,
"M8251/9",M82519,1,"Alveolar adenocarcinoma, uncertain whether primary or metastatic","Alveolar adenoca, up/m",1/7/2002,,
"M8252/1",M82521,1,"Bronchiolo-alveolar tumour, non-mucinous, uncertain whether benign or malignant","Bronchiolo-alv tum, non-mucins, ub/m",1/7/2002,,
"M8252/2",M82522,1,"Bronchiolo-alveolar carcinoma, non-mucinous, in situ","Bronchiolo-alv ca, non-mucins, insit",1/7/2002,,
"M8252/3",M82523,0,"Bronchiolo-alveolar carcinoma, non-mucinous","Bronchiolo-alv ca, non-mucinous",1/7/2002,,
"M8252/6",M82526,1,"Bronchiolo-alveolar carcinoma, non-mucinous, metastatic","Bronchiolo-alv ca, non-mucinous, met",1/7/2002,,
"M8252/9",M82529,1,"Bronchiolo-alveolar carcinoma, non-mucinous, uncertain whether primary or metastatic","Bronchiolo-alv ca, non-mucinous, up/m",1/7/2002,,
"M8253/1",M82531,1,"Bronchiolo-alveolar tumour, mucinous, uncertain whether benign or malignant","Bronchiolo-alv tum, mucinous, ub/m",1/7/2002,1/7/2022,
"M8253/2",M82532,0,"Adenocarcinoma in situ of lung, mucinous",Adenocarcinoma in situ of lung mucinous,1/7/2002,,
"M8253/3",M82533,0,"Adenocarcinoma of lung, mucinous",Adenocarcinoma of lung mucinous,1/7/2002,,
"M8253/6",M82536,1,"Adenocarcinoma of lung, mucinous, metastatic",Adenocarcinoma of lung mucinous met,1/7/2002,,
"M8253/9",M82539,1,"Adenocarcinoma of lung, mucinous, uncertain whether primary or metastatic","Adenocarcinoma of lung mucinous up/m",1/7/2002,,
"M8254/1",M82541,1,"Bronchiolo-alveolar tumour, mixed mucinous and non-mucinous, uncertain whether benign or malignant","Brchl-alv tum, mx mucins, nmucins, ub/m",1/7/2002,1/7/2022,
"M8254/2",M82542,1,"Adenocarcinoma of lung, mixed mucinous and nonmucinous, in situ",Adenoca lung mx mucins nonmucinous insit,1/7/2002,,
"M8254/3",M82543,0,"Adenocarcinoma of lung, mixed mucinous and nonmucinous",Adenoca lung mixed mucinous & nmucins,1/7/2002,,
"M8254/6",M82546,1,"Adenocarcinoma of lung, mixed mucinous and nonmucinous, metastatic",Adenoca lung mx mucins & nonmucinous met,1/7/2002,,
"M8254/9",M82549,1,"Adenocarcinoma of lung, mixed mucinous and nonmucinous, uncertain whether primary or metastatic","Adenoca lung mx mucins & nmucins up/m",1/7/2002,,
"M8255/1",M82551,1,"Adenomatous tumour with mixed subtypes, uncertain whether benign or malignant","Adenomatous tum w mixed subtypes, ub/m",1/7/2002,,
"M8255/2",M82552,1,"Adenocarcinoma with mixed subtypes, in situ","Adenoca w mixed subtypes, insit",1/7/2002,,
"M8255/3",M82553,0,Adenocarcinoma with mixed subtypes,Adenoca w mixed subtypes,1/7/2002,,
"M8255/6",M82556,1,"Adenocarcinoma with mixed subtypes, metastatic","Adenoca w mixed subtypes, met",1/7/2002,,
"M8255/9",M82559,1,"Adenocarcinoma with mixed subtypes, uncertain whether primary or metastatic","Adenoca w mixed subtypes, up/m",1/7/2002,,
"M8256/3",M82563,0,"Minimally invasive adenocarcinoma, nonmucinous",Minimally invasive adenoca nonmucinous,1/7/2022,,
"M8256/6",M82566,1,"Minimally invasive adenocarcinoma, nonmucinous, metastatic",Minimally invas adenoca nonmucinous met,1/7/2022,,
"M8256/9",M82569,1,"Minimally invasive adenocarcinoma, nonmucinous, uncertain whether primary or metastatic","Minimally invas adenoca nonmucinous up/m",1/7/2022,,
"M8257/3",M82573,0,"Minimally invasive adenocarcinoma, mucinous",Minimally invasive adenoca mucinous,1/7/2022,,
"M8257/6",M82576,1,"Minimally invasive adenocarcinoma, mucinous, metastatic",Minimally invas adenoca mucinous met,1/7/2022,,
"M8257/9",M82579,1,"Minimally invasive adenocarcinoma, mucinous, uncertain whether primary or metastatic","Minimally invas adenoca mucinous up/m",1/7/2022,,
"M8260/0",M82600,0,Papillary adenoma NOS,Papilry adenoma NOS,1/7/1998,,
"M8260/1",M82601,0,Aggressive papillary tumour,Aggressive papillary tumour,1/7/2002,,
"M8260/2",M82602,1,"Papillary adenocarcinoma, in situ","Papilry adenoca, insit",1/7/2002,,
"M8260/3",M82603,0,Papillary adenocarcinoma NOS,Papilry adenoca NOS,1/7/1998,,
"M8260/6",M82606,1,"Papillary adenocarcinoma NOS, metastatic","Papilry adenoca NOS, met",1/7/2002,,
"M8260/9",M82609,1,"Papillary adenocarcinoma NOS, uncertain whether primary or metastatic","Papilry adenoca NOS, up/m",1/7/2002,,
"M8261/0",M82610,0,Villous adenoma NOS,Villous adenoma NOS,1/7/2002,,
"M8261/1",M82611,1,"Villous adenoma NOS, uncertain whether benign or malignant","Villous adenoma NOS, ub/m",1/7/1998,,
"M8261/2",M82612,0,Adenocarcinoma in situ in villous adenoma,Adenoca insit in villous adenoma,1/7/1998,,
"M8261/3",M82613,0,Adenocarcinoma in villous adenoma,Adenoca in villous adenoma,1/7/1998,,
"M8261/6",M82616,1,"Adenocarcinoma in villous adenoma, metastatic","Adenoca in villous adenoma, met",1/7/2002,,
"M8261/9",M82619,1,"Adenocarcinoma in villous adenoma, uncertain whether primary or metastatic","Adenoca in villous adenoma, up/m",1/7/2002,,
"M8262/2",M82622,1,"Villous adenocarcinoma, in situ","Villous adenoca, insit",1/7/2002,,
"M8262/3",M82623,0,Villous adenocarcinoma,Villous adenoca,1/7/1998,,
"M8262/6",M82626,1,"Villous adenocarcinoma, metastatic","Villous adenoca, met",1/7/2002,,
"M8262/9",M82629,1,"Villous adenocarcinoma, uncertain whether primary or metastatic","Villous adenoca, up/m",1/7/2002,,
"M8263/0",M82630,0,Tubulovillous adenoma NOS,Tubulovillous adenoma NOS,1/7/1998,,
"M8263/1",M82631,1,"Tubulovillous adenoma NOS, uncertain whether benign or malignant","Tubulovillous adenoma NOS, ub/m",1/7/2002,,
"M8263/2",M82632,0,Adenocarcinoma in situ in tubulovillous adenoma,Adenoca insit in tubulovillous adenoma,1/7/1998,,
"M8263/3",M82633,0,Adenocarcinoma in tubulovillous adenoma,Adenoca in tubulovillous adenoma,1/7/1998,,
"M8263/6",M82636,1,"Adenocarcinoma in tubulovillous adenoma, metastatic","Adenoca in tubulovillous adenoma, met",1/7/2002,,
"M8263/9",M82639,1,"Adenocarcinoma in tubulovillous adenoma, uncertain whether primary or metastatic","Adenoca in tubulovillous adenoma, up/m",1/7/2002,,
"M8264/0",M82640,0,"Papillomatosis, glandular","Papillomatosis, glandular",1/7/2002,,
"M8265/3",M82653,0,Micropapillary carcinoma NOS,Micropapilry ca NOS,1/7/2013,,
"M8265/6",M82656,1,"Micropapillary carcinoma NOS, metastatic","Micropapilry ca NOS, met",1/7/2013,,
"M8265/9",M82659,1,"Micropapillary carcinoma NOS, uncertain whether primary or metastatic","Micropapilry ca NOS, up/m",1/7/2013,,
"M8270/0",M82700,0,Chromophobe adenoma,Chromophobe adenoma,1/7/1998,,
"M8270/1",M82701,1,"Chromophobe adenoma, uncertain whether benign or malignant","Chromophobe adenoma, ub/m",1/7/2002,,
"M8270/2",M82702,1,"Chromophobe carcinoma, in situ","Chromophobe ca, insit",1/7/2013,,
"M8270/3",M82703,0,Chromophobe carcinoma,Chromophobe ca,1/7/1998,,
"M8270/6",M82706,1,"Chromophobe carcinoma, metastatic","Chromophobe ca, met",1/7/2002,,
"M8270/9",M82709,1,"Chromophobe carcinoma, uncertain whether primary or metastatic","Chromophobe ca, up/m",1/7/2002,,
"M8271/0",M82710,0,Lactotroph adenoma,Lactotroph adenoma,1/7/1998,,
"M8271/2",M82712,1,"Lactotroph adenoma, in situ",Lactotroph adenoma in situ,1/7/2013,,
"M8271/3",M82713,1,"Lactotroph adenoma, malignant",Lactotroph adenoma malignant,1/7/2004,,
"M8271/6",M82716,1,"Lactotroph adenoma, malignant, metastatic","Lactotroph adenoma malignant, metastatic",1/7/2004,,
"M8271/9",M82719,1,"Lactotroph adenoma, uncertain whether primary or metastatic","Lactotroph adenoma up/m",1/7/2013,,
"M8272/0",M82720,0,Pituitary adenoma NOS,Pituitary adenoma NOS,1/7/2002,,
"M8272/1",M82721,1,"Pituitary adenoma NOS, uncertain whether benign or malignant","Pituitary adenoma NOS, ub/m",1/7/2002,,
"M8272/2",M82722,1,"Pituitary carcinoma NOS, in situ","Pituitary ca NOS, insit",1/7/2013,,
"M8272/3",M82723,0,Pituitary carcinoma NOS,Pituitary ca NOS,1/7/2002,,
"M8272/6",M82726,1,"Pituitary carcinoma NOS, metastatic","Pituitary ca NOS, met",1/7/2002,,
"M8272/9",M82729,1,"Pituitary carcinoma NOS, uncertain whether primary or metastatic","Pituitary ca NOS, up/m",1/7/2002,,
"M8273/3",M82733,0,Pituitary blastoma,Pituitary blastoma,1/7/2022,,
"M8273/6",M82736,1,"Pituitary blastoma, metastatic",Pituitary blastoma metastatic,1/7/2022,,
"M8273/9",M82739,1,"Pituitary blastoma, uncertain whether primary or metastatic","Pituitary blastoma up/m",1/7/2022,,
"M8280/0",M82800,0,Acidophil adenoma,Acidophil adenoma,1/7/1998,,
"M8280/1",M82801,1,"Acidophil adenoma, uncertain whether benign or malignant","Acidophil adenoma, ub/m",1/7/2002,,
"M8280/2",M82802,1,"Acidophil carcinoma, in situ","Acidophil ca, insit",1/7/2013,,
"M8280/3",M82803,0,Acidophil carcinoma,Acidophil ca,1/7/1998,,
"M8280/6",M82806,1,"Acidophil carcinoma, metastatic","Acidophil ca, met",1/7/2002,,
"M8280/9",M82809,1,"Acidophil carcinoma, uncertain whether primary or metastatic","Acidophil ca, up/m",1/7/2002,,
"M8281/0",M82810,0,Mixed acidophil-basophil adenoma,Mixed acidophil-basophil adenoma,1/7/1998,,
"M8281/1",M82811,1,"Mixed acidophil-basophil adenoma, uncertain whether benign or malignant","Mixed acidophil-basophil adenoma, ub/m",1/7/2002,,
"M8281/2",M82812,1,"Mixed acidophil-basophil carcinoma, in situ","Mixed acidophil-basophil ca, insit",1/7/2013,,
"M8281/3",M82813,0,Mixed acidophil-basophil carcinoma,Mixed acidophil-basophil ca,1/7/1998,,
"M8281/6",M82816,1,"Mixed acidophil-basophil carcinoma, metastatic","Mixed acidophil-basophil ca, met",1/7/2002,,
"M8281/9",M82819,1,"Mixed acidophil-basophil carcinoma, uncertain whether primary or metastatic","Mixed acidophil-basophil ca, up/m",1/7/2002,,
"M8290/0",M82900,0,Oxyphilic adenoma,Oxyphilic adenoma,1/7/1998,,
"M8290/1",M82901,1,"Oxyphilic adenoma, uncertain whether benign or malignant","Oxyphilic adenoma, ub/m",1/7/2002,,
"M8290/2",M82902,1,"Oxyphilic adenocarcinoma, in situ","Oxyphilic adenoca, insit",1/7/2013,,
"M8290/3",M82903,0,Oxyphilic adenocarcinoma,Oxyphilic adenoca,1/7/1998,,
"M8290/6",M82906,1,"Oxyphilic adenocarcinoma, metastatic","Oxyphilic adenoca, met",1/7/2002,,
"M8290/9",M82909,1,"Oxyphilic adenocarcinoma, uncertain whether primary or metastatic","Oxyphilic adenoca, up/m",1/7/2002,,
"M8300/0",M83000,0,Basophil adenoma,Basophil adenoma,1/7/1998,,
"M8300/1",M83001,1,"Basophil adenoma, uncertain whether benign or malignant","Basophil adenoma, ub/m",1/7/2002,,
"M8300/2",M83002,1,"Basophil carcinoma, in situ","Basophil ca, insit",1/7/2013,,
"M8300/3",M83003,0,Basophil carcinoma,Basophil ca,1/7/1998,,
"M8300/6",M83006,1,"Basophil carcinoma, metastatic","Basophil ca, met",1/7/2002,,
"M8300/9",M83009,1,"Basophil carcinoma, uncertain whether primary or metastatic","Basophil ca, up/m",1/7/2002,,
"M8310/0",M83100,0,Clear cell adenoma,Clear cell adenoma,1/7/1998,,
"M8310/1",M83101,1,"Clear cell adenoma, uncertain whether benign or malignant","Clear cell adenoma, ub/m",1/7/2002,,
"M8310/2",M83102,1,"Clear cell adenocarcinoma NOS, in situ","Clear cell adenoca NOS, insit",1/7/2013,,
"M8310/3",M83103,0,Clear cell adenocarcinoma NOS,Clear cell adenoca NOS,1/7/1998,,
"M8310/6",M83106,1,"Clear cell adenocarcinoma NOS, metastatic","Clear cell adenoca NOS, met",1/7/2002,,
"M8310/9",M83109,1,"Clear cell adenocarcinoma NOS, uncertain whether primary or metastatic","Clear cell adenoca NOS, up/m",1/7/2002,,
"M8311/1",M83111,0,Hypernephroid tumour,Hypernephroid tum,1/7/1998,,
"M8311/3",M83113,0,Hereditary leiomyomatosis and renal cell carcinoma [HLRCC] syndrome-associated renal cell carcinoma,HLRCC syndrome associated RCC,1/7/2013,,
"M8311/6",M83116,1,"Hereditary leiomyomatosis and renal cell carcinoma [HLRCC] syndrome-associated renal cell carcinoma, metastatic",HLRCC syndrome associated RCC met,1/7/2013,,
"M8311/9",M83119,1,"Hereditary leiomyomatosis and renal cell carcinoma [HLRCC] syndrome-associated renal cell carcinoma, uncertain whether primary or metastatic","HLRCC syndrome associated RCC up/m",1/7/2013,,
"M8312/1",M83121,1,"Renal cell tumour, uncertain whether benign or malignant","Renal cell tum, ub/m",1/7/2002,,
"M8312/2",M83122,1,"Renal cell carcinoma, in situ","Renal cell ca, insit",1/7/2002,,
"M8312/3",M83123,0,Renal cell carcinoma NOS,Renal cell ca NOS,1/7/1998,,
"M8312/6",M83126,1,"Renal cell carcinoma NOS, metastatic","Renal cell ca NOS, met",1/7/2002,,
"M8312/9",M83129,1,"Renal cell carcinoma NOS, uncertain whether primary or metastatic","Renal cell ca NOS, up/m",1/7/2002,,
"M8313/0",M83130,0,Clear cell adenofibroma,Clear cell adenofibroma,1/7/1998,,
"M8313/1",M83131,0,Clear cell borderline tumour,Clear cell borderline tumour,1/7/2002,,
"M8313/2",M83132,1,"Clear cell adenocarcinofibroma, in situ","Clear cell adenocarcinofibroma, insit",1/7/2013,,
"M8313/3",M83133,0,Clear cell adenocarcinofibroma,Clear cell adenocarcinofibroma,1/7/2002,,
"M8313/6",M83136,1,"Clear cell adenocarcinofibroma, metastatic","Clear cell adenocarcinofibroma, met",1/7/2002,,
"M8313/9",M83139,1,"Clear cell adenocarcinofibroma, uncertain whether primary or metastatic","Clear cell adenocarcinofibroma, up/m",1/7/2002,,
"M8314/0",M83140,1,"Lipid-rich adenoma, benign","Lipid-rich adenoma, benign",1/7/2013,,
"M8314/2",M83142,1,"Lipid-rich carcinoma, in situ","Lipid-rich ca, insit",1/7/2013,,
"M8314/3",M83143,0,Lipid-rich carcinoma,Lipid-rich ca,1/7/1998,,
"M8314/6",M83146,1,"Lipid-rich carcinoma, metastatic","Lipid-rich ca, met",1/7/2002,,
"M8314/9",M83149,1,"Lipid-rich carcinoma, uncertain whether primary or metastatic","Lipid-rich ca, up/m",1/7/2002,,
"M8315/2",M83152,1,"Glycogen-rich carcinoma, in situ","Glycogen-rich ca, insit",1/7/2013,,
"M8315/3",M83153,0,Glycogen-rich carcinoma,Glycogen-rich ca,1/7/1998,,
"M8315/6",M83156,1,"Glycogen-rich carcinoma, metastatic","Glycogen-rich ca, met",1/7/2002,,
"M8315/9",M83159,1,"Glycogen-rich carcinoma, uncertain whether primary or metastatic","Glycogen-rich ca, up/m",1/7/2002,,
"M8316/1",M83161,0,Multilocular cystic renal neoplasm of low malignant potential,Multilocular cystic ren neoplm low malg,1/7/2002,,
"M8316/2",M83162,1,"Cyst-associated renal cell carcinoma, in situ","Cyst-associated renal cell ca, insit",1/7/2013,,
"M8316/3",M83163,0,Cyst-associated renal cell carcinoma,Cyst-associated renal cell ca,1/7/2002,,
"M8316/6",M83166,1,"Cyst-associated renal cell carcinoma, metastatic","Cyst-associated renal cell ca, met",1/7/2002,,
"M8316/9",M83169,1,"Cyst-associated renal cell carcinoma, uncertain whether primary or metastatic","Cyst-associated renal cell ca, up/m",1/7/2002,,
"M8317/1",M83171,1,"Renal cell tumour, chromophobe type, uncertain whether benign or malignant","Renal cell tum, chromophobe type, ub/m",1/7/2002,,
"M8317/2",M83172,1,"Renal cell carcinoma, chromophobe type, in situ","Renal cell ca, chromophobe type, insit",1/7/2013,,
"M8317/3",M83173,0,"Renal cell carcinoma, chromophobe type","Renal cell ca, chromophobe type",1/7/2002,,
"M8317/6",M83176,1,"Renal cell carcinoma, chromophobe type, metastatic","Renal cell ca, chromophobe type, met",1/7/2002,,
"M8317/9",M83179,1,"Renal cell carcinoma, chromophobe type, uncertain whether primary or metastatic","Renal cell ca, chromophobe type, up/m",1/7/2002,,
"M8318/1",M83181,1,"Renal cell tumour, sarcomatoid, uncertain whether benign or malignant","Renal cell tum, sarcomatoid, ub/m",1/7/2002,,
"M8318/2",M83182,1,"Renal cell carcinoma, sarcomatoid, in situ","Renal cell ca, sarcomatoid, insit",1/7/2013,,
"M8318/3",M83183,0,"Renal cell carcinoma, sarcomatoid","Renal cell ca, sarcomatoid",1/7/2002,,
"M8318/6",M83186,1,"Renal cell carcinoma, sarcomatoid, metastatic","Renal cell ca, sarcomatoid, met",1/7/2002,,
"M8318/9",M83189,1,"Renal cell carcinoma, sarcomatoid, uncertain whether primary or metastatic","Renal cell ca, sarcomatoid, up/m",1/7/2002,,
"M8319/1",M83191,1,"Collecting duct tumour, uncertain whether benign or malignant","Collecting duct tum, ub/m",1/7/2002,,
"M8319/2",M83192,1,"Collecting duct carcinoma, in situ","Collecting duct ca, insit",1/7/2013,,
"M8319/3",M83193,0,Collecting duct carcinoma,Collecting duct ca,1/7/2002,,
"M8319/6",M83196,1,"Collecting duct carcinoma, metastatic","Collecting duct ca, met",1/7/2002,,
"M8319/9",M83199,1,"Collecting duct carcinoma, uncertain whether primary or metastatic","Collecting duct ca, up/m",1/7/2002,,
"M8320/2",M83202,1,"Granular cell carcinoma, in situ","Granular cell ca, insit",1/7/2013,,
"M8320/3",M83203,0,Granular cell carcinoma,Granular cell ca,1/7/1998,,
"M8320/6",M83206,1,"Granular cell carcinoma, metastatic","Granular cell ca, met",1/7/2002,,
"M8320/9",M83209,1,"Granular cell carcinoma, uncertain whether primary or metastatic","Granular cell ca, up/m",1/7/2002,,
"M8321/0",M83210,0,Chief cell adenoma,Chief cell adenoma,1/7/1998,,
"M8321/1",M83211,1,"Chief cell adenoma, uncertain whether benign or malignant","Chief cell adenoma, ub/m",1/7/2002,,
"M8321/2",M83212,1,"Chief cell adenocarcinoma, in situ","Chief cell adenoca, insit",1/7/2013,,
"M8321/3",M83213,1,"Chief cell adenocarcinoma, malignant","Chief cell adenoca, malg",1/7/2002,,
"M8321/6",M83216,1,"Chief cell adenocarcinoma, metastatic","Chief cell adenoca, met",1/7/2002,,
"M8321/9",M83219,1,"Chief cell adenoma, uncertain whether primary or metastatic","Chief cell adenoma, up/m",1/7/2002,,
"M8322/0",M83220,0,Water-clear cell adenoma,Water-clear cell adenoma,1/7/1998,,
"M8322/1",M83221,1,"Water-clear cell adenoma, uncertain whether benign or malignant","Water-clear cell adenoma, ub/m",1/7/2002,,
"M8322/2",M83222,1,"Water-clear cell adenocarcinoma, in situ","Water-clear cell adenoca, insit",1/7/2013,,
"M8322/3",M83223,0,Water-clear cell adenocarcinoma,Water-clear cell adenoca,1/7/1998,,
"M8322/6",M83226,1,"Water-clear cell adenocarcinoma, metastatic","Water-clear cell adenoca, met",1/7/2002,,
"M8322/9",M83229,1,"Water-clear cell adenocarcinoma, uncertain whether primary or metastatic","Water-clear cell adenocarcinoma, up/m",1/7/2002,,
"M8323/0",M83230,0,Mixed cell adenoma,Mixed cell adenoma,1/7/1998,,
"M8323/1",M83231,0,Clear cell papillary renal cell carcinoma,Clear cell papillary renal cell ca,1/7/2002,,
"M8323/2",M83232,1,"Mixed cell adenocarcinoma, in situ","Mixed cell adenoca, insit",1/7/2002,,
"M8323/3",M83233,0,Mixed cell adenocarcinoma,Mixed cell adenoca,1/7/1998,,
"M8323/6",M83236,1,"Mixed cell adenocarcinoma, metastatic","Mixed cell adenoca, met",1/7/2002,,
"M8323/9",M83239,1,"Mixed cell adenocarcinoma, uncertain whether primary or metastatic","Mixed cell adenoca, up/m",1/7/2002,,
"M8324/0",M83240,0,Lipoadenoma,Lipoadenoma,1/7/1998,,
"M8324/1",M83241,1,"Lipoadenoma, uncertain whether benign or malignant","Lipoadenoma, ub/m",1/7/2002,,
"M8325/0",M83250,0,Metanephric adenoma,Metanephric adenoma,1/7/2002,,
"M8325/1",M83251,1,"Metanephric adenoma, uncertain whether benign or malignant","Metanephric adenoma, ub/m",1/7/2002,,
"M8330/0",M83300,0,Follicular adenoma NOS,Follicular adenoma NOS,1/7/1998,,
"M8330/1",M83301,0,Atypical follicular adenoma,Atypical follicular adenoma,1/7/2002,,
"M8330/2",M83302,1,"Follicular carcinoma, in situ",Follicular carcinoma in situ,1/7/2002,,
"M8330/3",M83303,0,Follicular carcinoma NOS,Follicular carcinoma NOS,1/7/1998,,
"M8330/6",M83306,1,"Follicular carcinoma NOS, metastatic",Follicular carcinoma NOS met,1/7/2002,,
"M8330/9",M83309,1,"Follicular carcinoma NOS, uncertain whether primary or metastatic","Follicular carcinoma NOS up/m",1/7/2002,,
"M8331/2",M83312,1,"Follicular adenocarcinoma, well differentiated, in situ","Follicular adenoca, well diff, insit",1/7/2002,,
"M8331/3",M83313,0,"Follicular adenocarcinoma, well differentiated","Follicular adenoca, well diff",1/7/1998,,
"M8331/6",M83316,1,"Follicular adenocarcinoma, well differentiated, metastatic","Follicular adenoca, well diff, met",1/7/2002,,
"M8331/9",M83319,1,"Follicular adenocarcinoma, well differentiated, uncertain whether primary or metastatic","Follicular adenoca, well diff, up/m",1/7/2002,,
"M8332/2",M83322,1,"Follicular adenocarcinoma, trabecular, in situ","Follicular adenoca, trabecular, insit",1/7/2002,,
"M8332/3",M83323,0,"Follicular adenocarcinoma, trabecular","Follicular adenoca, trabecular",1/7/1998,,
"M8332/6",M83326,1,"Follicular adenocarcinoma, trabecular, metastatic","Follicular adenoca, trabecular, met",1/7/2002,,
"M8332/9",M83329,1,"Follicular adenocarcinoma, trabecular, uncertain whether primary or metastatic","Follicular adenoca, trabecular, up/m",1/7/2002,,
"M8333/0",M83330,0,Microfollicular adenoma NOS,Microfollicular adenoma NOS,1/7/1998,,
"M8333/1",M83331,1,"Microfollicular adenoma NOS, uncertain whether benign or malignant","Microfollicular adenoma NOS, ub/m",1/7/2002,,
"M8333/2",M83332,1,"Fetal adenocarcinoma, in situ","Fetal adenoca, insit",1/7/2002,,
"M8333/3",M83333,0,Fetal adenocarcinoma,Fetal adenocarcinoma,1/7/2002,,
"M8333/6",M83336,1,"Fetal adenocarcinoma, metastatic","Fetal adenocarcinoma, met",1/7/2002,,
"M8333/9",M83339,1,"Fetal adenocarcinoma, uncertain whether primary or metastatic","Fetal adenocarcinoma, up/m",1/7/2002,,
"M8334/0",M83340,0,Macrofollicular adenoma,Macrofollicular adenoma,1/7/1998,,
"M8334/1",M83341,1,"Macrofollicular adenoma, uncertain whether benign or malignant","Macrofollicular adenoma, ub/m",1/7/2002,,
"M8335/1",M83351,0,Follicular tumour of uncertain malignant potential,Follicular tum uncertain malg potential,1/7/2022,,
"M8335/3",M83353,0,"Follicular carcinoma, minimally invasive","Follicular ca, minimally invasive",1/7/2002,,
"M8335/6",M83356,1,"Follicular carcinoma, minimally invasive, metastatic","Follicular ca, minimally invasive, met",1/7/2002,,
"M8335/9",M83359,1,"Follicular carcinoma, minimally invasive, uncertain whether primary or metastatic","Follicular ca, minimally invasive, up/m",1/7/2002,,
"M8336/0",M83360,0,Hyalinising trabecular adenoma,Hyalinising trabecular adenoma,1/7/2002,1/7/2022,
"M8336/1",M83361,0,Hyalinising trabecular tumour,Hyalinising trabecular tumour,1/7/2002,,
"M8337/1",M83371,1,"Poorly differentiated thyroid tumour, uncertain whether benign or malignant","Poorly differentiated thyroid tum ub/m",1/7/2002,,
"M8337/2",M83372,1,"Poorly differentiated thyroid carcinoma, in situ",Poorly differentiated thyroid ca in situ,1/7/2002,,
"M8337/3",M83373,0,Poorly differentiated thyroid carcinoma,Poorly differentiated thyroid ca,1/7/2002,,
"M8337/6",M83376,1,"Poorly differentiated thyroid carcinoma, metastatic",Poorly differentiated thyroid ca met,1/7/2002,,
"M8337/9",M83379,1,"Poorly differentiated thyroid carcinoma, uncertain whether primary or metastatic","Poorly differentiated thyroid ca up/m",1/7/2002,,
"M8339/3",M83393,0,"Follicular carcinoma, encapsulated, angioinvasive",Fol ca encapsulated angioinvasive,1/7/2022,,
"M8339/6",M83396,1,"Follicular carcinoma, encapsulated, angioinvasive, metastatic",Fol ca encapsulated angioinvasive met,1/7/2022,,
"M8339/9",M83399,1,"Follicular carcinoma, encapsulated, angioinvasive, uncertain whether primary or metastatic","Fol ca encapsulated angioinvasive up/m",1/7/2022,,
"M8340/1",M83401,1,"Papillary tumour, follicular variant, uncertain whether benign or malignant","Papilry tum, follicular variant, ub/m",1/7/2002,,
"M8340/2",M83402,1,"Papillary carcinoma, follicular variant, in situ","Papilry ca, follicular variant, insit",1/7/2002,,
"M8340/3",M83403,0,"Papillary carcinoma, follicular variant","Papilry ca, follicular variant",1/7/1998,,
"M8340/6",M83406,1,"Papillary carcinoma, follicular variant, metastatic","Papilry ca, follicular variant, met",1/7/2002,,
