,,,,,,,,,,,,,,,,,,
445,Aberrant origin subclavian artery,, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Aberrant origin subclavian artery,  ",to 405,09.30.01,747.6,,Q27.8,,09.30.00," Aortic arch branch abnormality,",,,,,,,,,
," Aberrant origin right subclavian artery,   ",to 405,09.30.02,747.6,,Q27.8,,09.30.02," Aberrant origin right subclavian artery,   ",,,,,,,,,
," Aberrant origin left subclavian artery,   ",to 405,09.30.04,747.6,,Q27.8,,09.30.04," Aberrant origin left subclavian artery,   ",,,,,,,,,
,,,,,,,,,,,,,,,,,,
450,Isolation of aortic arch branch ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Isolation of an aortic arch branch,",to 451,09.30.16,747.6,,Q27.8,,09.30.16," Isolation of an aortic arch branch,",,,,,,,,,
," Isolation of innominate artery,    ",to 451,09.30.11,747.6,,Q27.8,,09.30.16," Isolation of an aortic arch branch,",,,,,,,,,
," Isolation of left common carotid artery,    ",to 451,09.30.12,747.6,,Q27.8,,09.30.16," Isolation of an aortic arch branch,",,,,,,,,,
," Isolation of right common carotid artery,    ",to 451,09.30.13,747.6,,Q27.8,,09.30.16," Isolation of an aortic arch branch,",,,,,,,,,
," Isolation of subclavian artery,    ",to 451,09.30.18,747.6,,Q27.8,,09.30.16," Isolation of an aortic arch branch,",,,,,,,,,
," Isolation of left subclavian artery,    ",to 451,09.30.14,747.6,,Q27.8,,09.30.16," Isolation of an aortic arch branch,",,,,,,,,,
," Isolation of right subclavian artery,    ",to 451,09.30.15,747.6,,Q27.8,,09.30.16," Isolation of an aortic arch branch,",,,,,,,,,
,,,,,,,, ,,,,,,,,,,
451 @,Isolation of aortic arch branches - qualifiers,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," - with origin from arterial duct or ligament,",to 1,Q1.28.51,, ,,,not relevant,,,,,,,,,,
," - with origin from patent arterial duct,",to 1,Q1.28.52,,,,,not relevant,,,,,,,,,,
," - with origin from arterial ligament,",to 1,Q1.28.53,,,,,not relevant,,,,,,,,,,
," - characteristics unknown or unspecified,",to 1,Q1.90.83,,,,,not relevant,,,,,,,,,,
,no entry,to 1,not relevant,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
, ____________________ End of branch ____________________,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
455,Coronary arterial abnormalities,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
," Coronary arterial abnormality,   ",to 467,09.46.00,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Congenital anomaly of coronary artery(ies),   ",to 467,09.46.03,746.8,,Q24.5,,09.46.03," Congenital anomaly of coronary artery(ies),   ",,,,,,,,,
," Coronary artery congenital anomaly,",to 467,09.46.12,746.8,,Q24.5,,09.46.03," Congenital anomaly of coronary artery(ies),   ",,,,,,,,,
," Anomalous aortic origin or course of coronary artery,",to 467,09.42.00,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous aortic origin of coronary artery (AAOCA),",to 467,09.42.20,746.8,,Q24.5,,09.42.20," Anomalous aortic origin of coronary artery (AAOCA),",,,,,,,,,
," Anomalous aortic origin of coronary artery with ventriculo-arterial concordance,",to 467,09.42.21,746.8,,Q24.5,,09.42.21," Anomalous aortic origin of coronary artery with ventriculo-arterial concordance,",,,,,,,,,
, Coronary origin from aorta with normal ventriculo-arterial connections    ,to 456,not relevant,,,,,,,,,,,,,,,
, Coronary origin from aorta with abnormal ventriculo-arterial connections (including transposition of great arteries)   ,to 457,not relevant,,,,,,,,,,,,,,,
, Anomalous origin of coronary artery from pulmonary arterial tree ,to 458,not relevant,,,,, ,,,,,,,,,,
, Aberrant course of coronary arteries   ,to 459,not relevant, ,,,,,,,,,,,,,,
, Coronary artery orifice position and abnormalities,to 460,not relevant,, ,,,,,,,,,,,,,
, Coronary fistula(s) & sinusoids,to 462,not relevant,,,,,,,,,,,,,,,
, Coronary arterial supply to conduction system,to 473,not relevant,,,,,,,,,,,,,,,
," Coronary arterial aneurysm(s),   ",to 464,09.46.01,746.8,,Q24.5,,09.46.01," Coronary arterial aneurysm(s),   ",,,,,,,,,
," Congenital coronary arterial aneurysm(s),   ",to 464,09.46.14,746.8,,Q24.5,,09.46.14," Congenital coronary arterial aneurysm(s),   ",,,,,,,,,
," Congenital coronary arterial calcification,   ",to 467,09.46.02,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial stenosis: congenital,",to 470,09.46.10,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Stenosis(es) of distal coronary artery (ies): congenital,",to 470,09.46.15,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial compression,",to 470,09.46.17,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial compression between great arteries,",to 470,09.46.18,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial hypoplasia: congenital,",to 467,09.46.19,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Congenital absence of coronary artery,",to 467,09.46.44,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial dysplasia,",to 467,09.46.40,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Congenital ostial atresia of left main coronary artery (CALM),   ",to 467,09.46.13,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Congenital ostial atresia of right coronary artery (CARM),   ",to 467,09.46.41,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial interruption,",to 467,09.46.16,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Right ventricle dependent coronary circulation,   ",to 462,09.46.06,746.8,,Q24.5,,09.46.06," Right ventricle dependent coronary circulation,   ",,,,,,,,,
," Non-right ventricular dependent coronary circulation,   ",to 1,09.46.11, ,, ,,not relevant,,,,,,,,,,
," Coronary arterial circulation dependent upon intercoronary arterial collaterals, ",to 1,09.42.22,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
 ," Right dominant coronary system (right coronary artery supplies post descending branch), ",to 1,09.46.07, ,, ,,not relevant,,,,,,,,,,
 ," Left dominant coronary system (left coronary artery supplies post descending branch), ",to 1,09.46.08, ,, ,,not relevant,,,,,,,,,,
 ," Balanced coronary system (right & left coronary arteries supply post descending branch), ",to 1,09.46.09, ,, ,,not relevant,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
456,Coronary arterial origin with normal ventriculo-arterial connections    ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 ," Coronary arteries in usual arrangement,",to 1,09.46.20, ,, ,,not relevant,,,,,,,,,,
," Anomalous aortic origin of coronary artery,",to 459,09.46.29,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Left coronary artery from right aortic sinus with ventriculo-arterial concordance,",to 459,09.46.21,746.8,,Q24.5,,09.46.21," Left coronary artery from right aortic sinus with ventriculo-arterial concordance,",,,,,,,,,
," Anomalous coronary origin: left coronary artery from right coronary artery,",to 459,09.46.39,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: circumflex from right coronary aortic sinus,",to 459,09.46.22,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: circumflex from right coronary artery,",to 459,09.46.23,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: anterior interventricular (left anterior descending) from right coronary aortic sinus,",to 459,09.46.24,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: anterior interventricular (left anterior descending) from right coronary artery,",to 459,09.46.25,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Right coronary artery from left aortic sinus with ventriculo-arterial concordance,",to 459,09.46.26,746.8,,Q24.5,,09.46.26," Right coronary artery from left aortic sinus with ventriculo-arterial concordance,",,,,,,,,,
," Anomalous coronary origin: right coronary artery from left coronary artery,",to 459,09.46.33,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: right coronary artery from anterior interventricular (left anterior descending),",to 459,09.46.37,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: right coronary artery from circumflex artery,",to 459,09.46.38,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: right coronary artery from left coronary artery aortic sinus + left coronary artery from right coronary artery aortic sinus (inverted),",to 459,09.46.34,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
, Anomalous coronary origin: single coronary artery ,to 461,not relevant,,,,,,,,,,,,,,,
," Anomalous coronary origin: dual anterior interventricular (left anterior descending),",to 459,09.46.31,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: dual anterior interventricular (left anterior descending) from both right + left coronary arteries,",to 459,09.46.30,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anomalous coronary origin: large conus artery from right coronary artery,",to 459,09.46.32,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Coronary arteries from anterior aortic sinus,",to 459,09.46.35, ,, ,,not relevant,,,,,,,,,,
," Coronary arteries from both aortic sinuses (bicuspid valve),",to 459,09.46.36, ,, ,,not relevant,,,,,,,,,,
," Accessory coronary artery,   ",to 468,09.42.09,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Conus artery arising from separate aortic sinus orifice,",to 468,09.42.18,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Sinus node artery arising from separate aortic sinus orifice,",to 468,09.42.19,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
, , ,,,,,,,,,,,,,,,,
457,Coronary origin from aorta with abnormal ventriculo-arterial connections (Leiden convention),,,,,,, ,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,
 ," Left coronary artery arising from aortic sinus to right of nonfacing aortic sinus (Sinus 1); right coronary artery from aortic sinus to left of nonfacing aortic sinus (Sinus 2) (usual),   ",to 459,09.42.03, , , ,,not relevant,,,,,,,,,,
," Anterior interventricular (left anterior descending) artery arising from aortic sinus to right of nonfacing aortic sinus (Sinus 1); circumflex & right coronary arteries from aortic sinus to left of nonfacing aortic sinus (Sinus 2),   ",to 459,09.42.04,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Anterior interventricular (left anterior descending) & right coronary arteries arising from aortic sinus to right of nonfacing aortic sinus (Sinus 1); circumflex artery from aortic sinus to left of nonfacing aortic sinus (Sinus 2),   ",to 459,09.42.08,746.8, ,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Left and right coronary arteries arising with dual orifices from aortic sinus to right of nonfacing aortic sinus (Sinus 1),   ",to 459,09.42.02,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Single coronary artery from aortic sinus to right of nonfacing aortic sinus (Sinus 1),   ",to 461,09.42.11,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Right coronary artery arising from aortic sinus to right of nonfacing aortic sinus (Sinus 1); left coronary artery from aortic sinus to left of nonfacing aortic sinus (Sinus 2) (inverted),   ",to 459,09.42.06,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Right coronary and circumflex arteries arising from aortic sinus to right of nonfacing aortic sinus (Sinus 1); anterior interventricular (left anterior descending) from aortic sinus to left of nonfacing aortic sinus (Sinus 2),   ",to 459,09.42.07,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Circumflex coronary artery arising from aortic sinus to right of nonfacing aortic sinus (Sinus 1); anterior interventricular (left anterior descending) & right coronary arteries from aortic sinus to left of nonfacing aortic sinus (Sinus 2),   ",to 459,09.42.13,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Left and right coronary arteries arising with dual orifices from aortic sinus to left of nonfacing aortic sinus (Sinus 2),   ",to 459,09.42.05,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Single coronary artery from aortic sinus to left of nonfacing aortic sinus (Sinus 2),   ",to 461,09.42.12,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Coronary artery arising from aortic sinus to right of nonfacing aortic sinus (Sinus 1),   ",to 467,09.42.14,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Coronary artery arising from aortic sinus to left of nonfacing aortic sinus (Sinus 2),   ",to 467,09.42.15,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Coronary artery arising from non-facing aortic sinus (Sinus 3),   ",to 467,09.42.01,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Single coronary arising from non-facing aortic sinus (Sinus 3),",to 467,09.42.16,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Accessory coronary artery,   ",to 468,09.42.09,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Conus artery arising from separate aortic sinus orifice,",to 468,09.42.18,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Sinus node artery arising from separate aortic sinus orifice,",to 468,09.42.19,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Coronary arterial origin anomalous,   ",to 459,09.42.10,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
, ,,, ,,,,,,,,,,,,,,
458,Anomalous origin of coronary artery from pulmonary arterial tree,,,,, ,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,
," Anomalous origin of coronary artery from pulmonary arterial tree,    ",to 467,09.41.01,746.8,,Q24.5,,09.41.01," Anomalous origin of coronary artery from pulmonary arterial tree,    ",,,,,,,,,
," Anomalous origin of coronary artery from right pulmonary artery,   ",to 467,09.46.04,746.8,,Q24.5,,09.41.01," Anomalous origin of coronary artery from pulmonary arterial tree,    ",,,,,,,,,
," Anomalous origin of coronary artery from left pulmonary artery,   ",to 467,09.46.05,746.8,,Q24.5,,09.41.01," Anomalous origin of coronary artery from pulmonary arterial tree,    ",,,,,,,,,
," Anomalous origin of left coronary artery from pulmonary artery (ALCAPA),     ",to 468,09.41.03,746.8,,Q24.5,,09.41.03," Anomalous origin of left coronary artery from pulmonary artery (ALCAPA),     ",,,,,,,,,
," Anomalous origin of coronary artery from pulmonary artery - anterior interventricular (left anterior descending),     ",to 468,09.41.04,746.8,,Q24.5,,09.41.03," Anomalous origin of left coronary artery from pulmonary artery (ALCAPA),     ",,,,,,,,,
," Anomalous origin of coronary artery from pulmonary artery - circumflex,     ",to 468,09.41.05,746.8,,Q24.5,,09.41.03," Anomalous origin of left coronary artery from pulmonary artery (ALCAPA),     ",,,,,,,,,
," Anomalous origin of right coronary artery from pulmonary artery (ARCAPA),     ",to 468,09.41.02,746.8,,Q24.5,,09.41.01," Anomalous origin of coronary artery from pulmonary arterial tree,    ",,,,,,,,,
," Anomalous origin of coronary artery from pulmonary artery - both coronary arteries,    ",to 468,09.41.06,746.8,,Q24.5,,09.41.01," Anomalous origin of coronary artery from pulmonary arterial tree,    ",,,,,,,,,
," Anomalous origin of coronary artery from pulmonary artery - accessory coronary,    ",to 468,09.41.07,746.8,,Q24.5,,09.41.01," Anomalous origin of coronary artery from pulmonary arterial tree,    ",,,,,,,,,
," Anomalous origin of coronary artery from pulmonary artery related abnormality,     ",to 468,09.41.08,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
, ,,,,,,,,,,,,,,,,,
459,Course of coronary arteries,,,,,,,,,,,,,,,,,
, ,, ,,,,,, ,,,,,,,,,
  ," Normal course of coronary arteries,",to 1,09.43.00, ,, ,,not relevant, ,,,,,,,,,
, Course of sinus node & atrioventricular node coronary arteries ,to 473,not relevant,,,,,,,,,,,,,,,
," Aberrant course of coronary artery,  ",to 467,09.43.01,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Aberrant course of coronary artery: across right ventricular outflow tract,  ",to 1,09.43.18,746.8,,Q24.5,,09.43.18," Aberrant course of coronary artery: across right ventricular outflow tract,  ",,,,,,,,,
," Anterior descending from right coronary artery across right ventricular outflow tract,  ",to 1,09.43.04,746.8,,Q24.5,,09.43.04," Anterior descending from right coronary artery across right ventricular outflow tract,  ",,,,,,,,,
," Aberrant course of coronary artery between aorta & pulmonary trunk,  ",to 467,09.43.02,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Course of coronary artery posterior to pulmonary trunk,  ",to 467,09.43.06,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Course of coronary artery posterior to aorta,  ",to 467,09.43.07,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Course of coronary artery anterior to pulmonary artery,  ",to 467,09.43.19,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Course of coronary artery anterior to aorta,  ",to 467,09.43.20,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Course of coronary artery anterior to great vessels,  ",to 467,09.43.08,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Course of coronary artery: posterior to great vessels,  ",to 467,09.43.21,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Aberrant course of coronary artery: septal course through infundibular (conal) septum,  ",to 467,09.43.22,746.8,,Q24.5,,09.42.00," Anomalous aortic origin or course of coronary artery,",,,,,,,,,
," Intramural proximal coronary arterial course,   ",to 467,09.43.05,746.8,,Q24.5,,09.43.05," Intramural proximal coronary arterial course,   ",,,,,,,,,
," Intramural proximal coronary arterial course within aortic sinus,   ",to 467,09.43.09,746.8,,Q24.5,,09.43.05," Intramural proximal coronary arterial course,   ",,,,,,,,,
," Intramural proximal coronary arterial course across commissure,   ",to 467,09.43.10,746.8,,Q24.5,,09.43.05," Intramural proximal coronary arterial course,   ",,,,,,,,,
," Intramural proximal coronary arterial course above sinus,   ",to 467,09.43.11,746.8,,Q24.5,,09.43.05," Intramural proximal coronary arterial course,   ",,,,,,,,,
," Myocardial bridging of coronary artery (intramyocardial coronary arterial course),   ",to 470,09.43.12,746.8,,Q24.5,,09.43.12," Myocardial bridging of coronary artery (intramyocardial coronary arterial course),   ",,,,,,,,,
," Myocardial bridging of coronary artery (intramyocardial coronary arterial course): single bridge, ",to 470,09.46.42,746.8,,Q24.5,,09.43.12," Myocardial bridging of coronary artery (intramyocardial coronary arterial course),   ",,,,,,,,,
," Myocardial bridging of coronary artery (intramyocardial coronary arterial course): multiple bridges, ",to 470,09.46.43,746.8,,Q24.5,,09.43.12," Myocardial bridging of coronary artery (intramyocardial coronary arterial course),   ",,,,,,,,,
," Non-intramural course of coronary artery,",to 467,09.43.15, ,, ,,not relevant, ,,,,,,,,,
," Abnormal coronary arterial course related problem,   ",to 1,09.43.03,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
,no entry,to 1,not relevant,,,,,,,,,,,,,,,
,, ,, , ,,,,,,,,,,,,,
460,Coronary artery orifice position and abnormalities,,,,,,,,,,,,,,,,,
, ,,,,,,,, ,,,,,,,,,
," Normal coronary arterial orifice position,",to 467,09.44.00,,,,,not relevant,,,,,,,,,,
," Abnormal coronary arterial orifice position,  ",to 467,09.44.01,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial orifice abnormally high (above sinutubular junction),   ",to 467,09.44.02,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial orifice abnormally low,   ",to 467,09.44.09,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Coronary arterial orifice asymmetrical,   ",to 467,09.44.03,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Dual coronary arterial orifices within sinus,    ",to 467,09.44.04,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Dual coronary arterial orifices within sinus: double barrel,    ",to 467,09.44.15,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Dual coronary arterial orifices within sinus: widely spaced,    ",to 467,09.44.16,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Common (single) coronary arterial orifice,",to 467,09.44.14,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Congenital coronary arterial orifice stenosis,    ",to 467,09.44.05,746.8,,Q24.5,,09.44.05," Congenital coronary arterial orifice stenosis,    ",,,,,,,,,
," Coronary arterial orifice slit-like,    ",to 467,09.44.17,746.8,,Q24.5,,09.44.05," Congenital coronary arterial orifice stenosis,    ",,,,,,,,,
," Coronary arterial orifice atresia,    ",to 467,09.44.06,746.8,,Q24.5,,09.44.19," Congenital coronary arterial orifice atresia,    ",,,,,,,,,
," Congenital coronary arterial orifice atresia,    ",to 467,09.44.19,746.8,,Q24.5,,09.44.19," Congenital coronary arterial orifice atresia,    ",,,,,,,,,
," Coronary arterial orifice restricted by valve cusp tissue (isolation),",to 467,09.44.10,746.8,,Q24.5,,09.44.05," Congenital coronary arterial orifice stenosis,    ",,,,,,,,,
," Coronary arterial orifice restricted by valve cusp tissue (isolation): partial,",to 467,09.44.11,746.8,,Q24.5,,09.44.05," Congenital coronary arterial orifice stenosis,    ",,,,,,,,,
," Coronary arterial orifice restricted by valve cusp tissue (isolation): complete,",to 467,09.44.12,746.8,,Q24.5,,09.44.19," Congenital coronary arterial orifice atresia,    ",,,,,,,,,
," Coronary arterial orifice restricted by tumour,",to 467,09.44.13,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
 ," Anomalous coronary artery with acute angulation (less than 45 degrees to aorta),",to 467,09.44.08,746.8,,Q24.5,,09.46.00," Coronary arterial abnormality,   ",,,,,,,,,
," Anomalous coronary artery without acute angulation (over 45 degrees to aorta),",to 467,09.44.18, ,, ,,not relevant, ,,,,,,,,,
," Anomalous coronary arterial orifice position related abnormality,  ",to 467,09.44.07,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
,,,,,,,,,,,,,,,,,,
461,Single coronary artery,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Anomalous coronary origin: single coronary artery, ",to 1,09.42.17,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Anomalous coronary origin: single coronary from right coronary aortic sinus,",to 1,09.46.27,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Anomalous coronary origin: single coronary from left coronary aortic sinus,",to 1,09.46.28,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary artery supplying all of heart,",to 468,09.43.13,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary supplying all of heart: right coronary artery distribution from distal left coronary artery,",to 468,09.43.23,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary supplying all of heart: left coronary artery distribution from distal right coronary artery,",to 468,09.43.24,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary dividing to right and left coronary arteries,",to 468,09.43.14,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary: left coronary giving right branch running anterior to great vessels,",to 468,09.43.26,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary: left coronary giving right branch running posterior to great vessels,",to 468,09.43.27,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary: left coronary giving right branch running between great vessels,",to 468,09.43.28,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary: right coronary giving left branch running anterior to great vessels,",to 468,09.43.29,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary: right coronary giving left branch running posterior to great vessels,",to 468,09.43.37,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
," Single coronary: right coronary giving left branch running between great vessels,",to 468,09.43.38,746.8,,Q24.5,,09.43.13," Single coronary artery supplying all of heart,",,,,,,,,,
, ,,,,,,, ,,,,,,,,,,
462,Coronary fistula(s) & sinusoids,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,
," Coronary fistula(s) or sinusoids,",to 464,09.45.00,746.8,,Q24.5,,09.45.01," Coronary fistula,   ",,,,,,,,,
," Coronary fistula(s) or sinusoids not apparent,",to 1,09.45.15, ,, ,,not relevant,,,,,,,,,,
," Coronary fistula,   ",to 463,09.45.01,746.8,,Q24.5,,09.45.01," Coronary fistula,   ",,,,,,,,,
," Congenital coronary arterial fistula(s),   ",to 463,09.45.16,746.8,,Q24.5,,09.45.16," Congenital coronary arterial fistula(s),   ",,,,,,,,,
," Coronary fistula: congenital: single,   ",to 463,09.45.17,746.8,,Q24.5,,09.45.16," Congenital coronary arterial fistula(s),   ",,,,,,,,,
," Coronary fistula: congenital: multiple,   ",to 463,09.45.18,746.8,,Q24.5,,09.45.16," Congenital coronary arterial fistula(s),   ",,,,,,,,,
," Coronary fistula with proximal coronary segment dilation to fistula with normal distal end (type A),",to 463,09.45.19,746.8,,Q24.5,,09.45.01," Coronary fistula,   ",,,,,,,,,
," Coronary fistula with entire coronary dilated (type B),",to 463,09.45.20,746.8,,Q24.5,,09.45.01," Coronary fistula,   ",,,,,,,,,
," Coronary fistulas within right ventricle ('sinusoidal'),   ",to 464,09.45.11,746.8,,Q24.5,,09.45.11," Coronary fistulas within right ventricle ('sinusoidal'),   ",,,,,,,,,
," Coronary fistulas within left ventricle ('sinusoidal'),   ",to 464,09.45.12,746.8,,Q24.5,,09.45.01," Coronary fistula,   ",,,,,,,,,
," Coronary fistula(s) or sinusoid related abnormality,",to 464,09.45.08,746.8,,Q24.8,,01.01.39," Cardiac abnormality,",,,,,,,,,
,, ,,,,,,,,,,,,,,,,
463,Coronary fistula(s) drainage sites,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
," Coronary fistula to right atrium,    ",to 464,09.45.02,746.8,,Q24.5,,09.45.01," Coronary fistula,   ",,,,,,,,,
