"section","section_name","go_to","ipccc_name","ipccc_code","epcc_code","epcc_name","icd_10","icd_10_additional","icd_9","icd_9_additional"
"672","Ischaemic heart disease","to 678","Subsequent myocardial infarction,","10.18.45","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 678","Subsequent myocardial infarction with ST elevation (STEMI),","10.18.46","10.18.26","Acute coronary syndrome: myocardial infarct with ST elevation (STEMI),","I21.9",,"410",
"672","Ischaemic heart disease","to 678","Subsequent myocardial infarction without ST elevation (NSTEMI),","10.18.47","10.18.27","Acute coronary syndrome: myocardial infarct without ST elevation (NSTEMI),","I21.9",,"410",
"672","Ischaemic heart disease","to 1","Acute coronary syndrome,","10.18.25","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Acute coronary syndrome: myocardial infarct with ST elevation (STEMI),","10.18.26","10.18.26","Acute coronary syndrome: myocardial infarct with ST elevation (STEMI),","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Acute coronary syndrome: myocardial infarct without ST elevation (NSTEMI),","10.18.27","10.18.27","Acute coronary syndrome: myocardial infarct without ST elevation (NSTEMI),","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Myocardial infarction: spontaneous due to primary coronary event (Type 1),","10.18.28","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Myocardial infarction: secondary to ischaemia due to increased oxygen demand or decreased supply (Type 2),","10.18.40","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Myocardial infarction: sudden unexpected cardiac death (Type 3),","10.18.41","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Myocardial infarction: associated with percutaneous coronary intervention (Type 4a),","10.18.42","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Myocardial infarction: associated with coronary stent thrombosis (Type 4b),","10.18.43","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Myocardial infarction: associated with coronary artery bypass graft procedure (Type 5),","10.18.44","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 1","Silent myocardial infarction,","10.09.37","10.18.00","Myocardial infarction,","I21.9",,"410",
"672","Ischaemic heart disease","to 675","Acute myocardial infarction","not relevant",,,,,,
"672","Ischaemic heart disease","to 676","Old myocardial infarction","not relevant",,,,,,
"672","Ischaemic heart disease","to 677","Postmyocardial infarction complications","not relevant",,,,,,
"672","Ischaemic heart disease","to 1880","Myocardial infarction related to procedure","not relevant",,,,,,
"675","Acute myocardial infarction","to 678","Acute myocardial infarction,","10.18.01","10.18.01","Acute myocardial infarction,","I21.9",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: anteroseptal Q wave,","10.18.02","10.18.01","Acute myocardial infarction,","I21.0",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: anterolateral Q wave,","10.18.03","10.18.01","Acute myocardial infarction,","I21.0",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: inferior Q wave,","10.18.04","10.18.01","Acute myocardial infarction,","I21.1",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: inferolateral Q wave,","10.18.05","10.18.01","Acute myocardial infarction,","I21.1",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: lateral Q wave,","10.18.06","10.18.01","Acute myocardial infarction,","I21.2",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: widespread Q wave,","10.18.07","10.18.01","Acute myocardial infarction,","I21.3",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: anteroseptal non Q wave,","10.18.11","10.18.01","Acute myocardial infarction,","I21.0",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: anterolateral non Q wave,","10.18.12","10.18.01","Acute myocardial infarction,","I21.0",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: inferior non Q wave,","10.18.13","10.18.01","Acute myocardial infarction,","I21.1",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: inferolateral non Q wave,","10.18.14","10.18.01","Acute myocardial infarction,","I21.1",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: lateral non Q wave,","10.18.15","10.18.01","Acute myocardial infarction,","I21.2",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: posterior non Q wave,","10.18.16","10.18.01","Acute myocardial infarction,","I21.2",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: widespread non Q wave,","10.18.17","10.18.01","Acute myocardial infarction,","I21.3",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction: indeterminate,","10.18.18","10.18.01","Acute myocardial infarction,","I21.3",,"410",
"675","Acute myocardial infarction","to 678","Acute myocardial infarction related abnormality,","10.18.29","01.01.39","Cardiac abnormality,","Q24.8",,"746.8",
"676","Old myocardial infarction","to 678","Old myocardial infarction,","10.18.31","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: anteroseptal,","10.18.32","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: anterolateral,","10.18.33","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: inferior,","10.18.34","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: inferolateral,","10.18.35","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: lateral,","10.18.36","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: posterior,","10.18.37","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: widespread,","10.18.38","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction: indeterminate,","10.18.39","10.18.00","Myocardial infarction,","I25.2",,"412",
"676","Old myocardial infarction","to 678","Old myocardial infarction related abnormality,","10.18.49","01.01.39","Cardiac abnormality,","Q24.8",,"746.8",
"677","Postmyocardial infarction complications","to 1","Postmyocardial infarction complication,","10.18.24","10.18.24","Postmyocardial infarction complication,","I23.8",,"411",
"677","Postmyocardial infarction complications","to 1","Postinfarction cardiac rupture,","10.09.38","10.18.24","Postmyocardial infarction complication,","I23.3",,"410",
"677","Postmyocardial infarction complications","to 1","Postmyocardial infarction ventricular rupture,","10.18.23","10.18.24","Postmyocardial infarction complication,","I23.3",,"410",
"677","Postmyocardial infarction complications","to 1","Pericarditis as current complication following acute myocardial infarction,","10.08.82","10.08.00","Pericarditis,","I24.1",,"411",
"677","Postmyocardial infarction complications","to 1","Pericarditis as current complication following acute myocardial infarction with effusion,","10.08.83","10.08.00","Pericarditis,","I24.1",,"411",
"677","Postmyocardial infarction complications","to 1","Pericarditis as current complication following acute myocardial infarction without effusion,","10.08.84","10.08.00","Pericarditis,","I24.1",,"411",
"677","Postmyocardial infarction complications","to 1","Pericarditis after myocardial infarct: postmyocardial infarction syndrome (Dressler),","10.08.25","10.08.00","Pericarditis,","I24.1",,"411",
"677","Postmyocardial infarction complications","to 1","Postmyocardial infarct ventricular septal defect (VSD),","10.16.62","10.16.62","Postmyocardial infarct ventricular septal defect (VSD),","I23.2",,"410",
"677","Postmyocardial infarction complications","to 800","Postmyocardial infarction arrhythmia,","10.09.40","11.00.00","Arrhythmia,","I23.8",,"410",
"677","Postmyocardial infarction complications","to 1","Postmyocardial infarction cardiogenic shock,","10.09.39","10.18.24","Postmyocardial infarction complication,","R57.0",,"785.5",
"677","Postmyocardial infarction complications","to 902","Postmyocardial infarction acquired mural thrombus,","10.18.21","10.18.24","Postmyocardial infarction complication,","I23.6",,"410",
"677","Postmyocardial infarction complications","to 1","Postmyocardial infarction ventricular aneurysm,","10.18.22","10.18.24","Postmyocardial infarction complication,","I25.3","I23.8","414.1","410"
"677","Postmyocardial infarction complications","to 650","Postmyocardial infarction ventricular complications","not relevant",,,,,,
"677","Postmyocardial infarction complications","to 640","Postmyocardial infarction atrioventricular valve & papillary muscle complications","not relevant",,,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- anterior wall,","Q1.31.50","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- anterolateral wall,","Q1.31.51","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- inferior wall,","Q1.31.52","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- inferolateral wall,","Q1.31.53","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- inferoposterior wall,","Q1.31.54","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- lateral wall,","Q1.31.55","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- true posterior wall,","Q1.31.56","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- right ventricle,","Q1.31.57","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- subendocardial,","Q1.31.58","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","- site unspecified,","Q1.31.59","not relevant",,,,,
"678 @","Myocardial infarct site qualifiers","to 1","no entry","not relevant",,,,,,
"679","Acquired common arterial trunk abnormalities","to 2105","Postprocedural common arterial trunk & truncal valvar complications & sequelae","not relevant",,,,,,
"679","Acquired common arterial trunk abnormalities","to 2910","Acquired common arterial trunk (truncus) abnormality,","10.51.01","10.51.01","Acquired common arterial trunk (truncus) abnormality,","I77.8",,"447.8",
"679","Acquired common arterial trunk abnormalities","to 1","Common arterial trunk (truncus) dilation,","10.51.02","10.51.01","Acquired common arterial trunk (truncus) abnormality,","I72.8",,"442.8",
"679","Acquired common arterial trunk abnormalities","to 1","Common arterial trunk (truncus) aneurysm,","10.51.03","10.51.01","Acquired common arterial trunk (truncus) abnormality,","I72.8",,"442.8",
"679","Acquired common arterial trunk abnormalities","to 1","Common arterial trunk (truncus) dissection,","10.51.04","10.51.01","Acquired common arterial trunk (truncus) abnormality,","I77.8",,"447.8",
"679","Acquired common arterial trunk abnormalities","to 1","Common arterial trunk (truncus) acquired stenosis,","10.51.05","10.51.01","Acquired common arterial trunk (truncus) abnormality,","I77.8",,"447.8",
"679","Acquired common arterial trunk abnormalities","to 1","Common arterial trunk (truncus) false aneurysm,","10.51.06","10.51.01","Acquired common arterial trunk (truncus) abnormality,","I77.8",,"447.8",
"679","Acquired common arterial trunk abnormalities","to 627","Abscess in common trunk wall,","10.06.40","10.06.20","Heart abscess,","I51.8",,"422.9",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 2114","Postprocedural pulmonary trunk-RPA-LPA complications & sequelae","not relevant",,,,,,
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 2150","Infection-thrombosis-laceration-perforation-rupture of pulmonary trunk-pulmonary arteries","not relevant",,,,,,
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 681","Pulmonary hypertension","not relevant",,,,,,
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 684","Pulmonary vascular disease","not relevant",,,,,,
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 686","Pulmonary embolus and thromboembolic disease","not relevant",,,,,,
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 687","Pulmonary oedema","not relevant",,,,,,
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Acquired pulmonary arterial tree abnormality,","10.13.59","10.13.59","Acquired pulmonary arterial tree abnormality,","I28.8",,"417.9",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Pulmonary arterial disease: acquired,","10.13.50","10.13.50","Pulmonary arterial disease: acquired,","I28.9",,"417.9",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 3300","Pulmonary infarct,","10.13.55","10.13.50","Pulmonary arterial disease: acquired,","I26.9",,"415.1",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Pulmonary vessel rupture,","10.13.56","10.13.78","Acquired pulmonary arterial dissection,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 960","Acquired pulmonary trunk stenosis,","10.13.75","10.13.75","Acquired pulmonary trunk stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 960","Recurrent pulmonary trunk stenosis,","10.13.41","10.13.75","Acquired pulmonary trunk stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Pulmonary arterial stenosis: acquired,","10.13.66","09.10.01","Pulmonary arterial stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 970","Pulmonary arterial acquired obstruction,","10.13.67","09.10.01","Pulmonary arterial stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Acquired right pulmonary arterial stenosis,","10.13.68","10.13.68","Acquired right pulmonary arterial stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Acquired left pulmonary arterial stenosis,","10.13.69","10.13.69","Acquired left pulmonary arterial stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Recurrent right pulmonary arterial stenosis,","10.13.42","10.13.68","Acquired right pulmonary arterial stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Recurrent left pulmonary arterial stenosis,","10.13.43","10.13.69","Acquired left pulmonary arterial stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Acquired discontinuity of pulmonary arteries,","10.13.77","10.13.77","Acquired discontinuity of pulmonary arteries,","I28.8",,"417.9",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Pulmonary arterial branch occlusion,","10.13.70","09.10.01","Pulmonary arterial stenosis,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 3300","Acquired pulmonary arteriovenous fistulas (malformations),","10.13.57","09.19.01","Arteriovenous fistula (malformation),","I28.0",,"417",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Pulmonary arteritis,","10.13.58","10.13.50","Pulmonary arterial disease: acquired,","I28.8",,"417",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Pulmonary capillary haemangiomatosis,","10.13.54","10.13.50","Pulmonary arterial disease: acquired,","D18.0","M913.0/0","228","M913.0/0"
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Acquired pulmonary arterial dilation,","10.13.60","10.13.50","Pulmonary arterial disease: acquired,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Post-stenotic pulmonary dilation,","10.13.61","10.13.59","Acquired pulmonary arterial tree abnormality,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Acquired pulmonary arterial aneurysm,","10.13.62","10.13.62","Acquired pulmonary arterial aneurysm,","I28.1",,"417.1",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 353","Acquired pulmonary arterial dissection,","10.13.78","10.13.78","Acquired pulmonary arterial dissection,","I28.8",,"417.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Elevated lung resistance for biventricular repair (over 6 Wood units),","10.13.63","10.13.63","Elevated lung resistance for biventricular repair (over 6 Wood units),","I27.8",,"416.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Elevated lung resistance for heart transplant (over 4 Wood units),","10.13.64","10.13.64","Elevated lung resistance for heart transplant (over 4 Wood units),","I27.8",,"416.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Elevated lung resistance for univentricular repair (over 2 Wood units),","10.13.65","10.13.65","Elevated lung resistance for univentricular repair (over 2 Wood units),","I27.8",,"416.8",
"680","Acquired pulmonary arterial abnormalities & pulmonary hypertension","to 1","Pulmonary circulation disease,","10.13.76","10.13.50","Pulmonary arterial disease: acquired,","I28.9",,"417.9",
"681","Pulmonary hypertension","to 685","Pulmonary hypertension,","10.13.83","10.13.02","Idiopathic (primary) pulmonary hypertension,","I27.0",,"416",
"681","Pulmonary hypertension","to 685","Pulmonary arterial hypertension,","10.13.01","10.13.01","Pulmonary arterial hypertension,","I27.0",,"416.8",
"681","Pulmonary hypertension","to 685","Idiopathic (primary) pulmonary hypertension,","10.13.02","10.13.02","Idiopathic (primary) pulmonary hypertension,","I27.0",,"416",
"681","Pulmonary hypertension","to 685","Sporadic primary pulmonary hypertension,","10.13.81","10.13.02","Idiopathic (primary) pulmonary hypertension,","I27.0",,"416",
"681","Pulmonary hypertension","to 685","Heritable pulmonary hypertension,","10.13.82","10.13.02","Idiopathic (primary) pulmonary hypertension,","I27.0",,"416",
"681","Pulmonary hypertension","to 1","Persistent pulmonary hypertension of the newborn (PFC),","10.15.01","10.15.01","Persistent pulmonary hypertension of the newborn (PFC),","P29.3",,"747.9",
"681","Pulmonary hypertension","to 685","Precapillary pulmonary hypertension,","10.13.96","10.13.02","Idiopathic (primary) pulmonary hypertension,","I27.0",,"416.8",
"681","Pulmonary hypertension","to 685","Postcapillary pulmonary hypertension,","10.13.97","10.13.02","Idiopathic (primary) pulmonary hypertension,","I27.0",,"416.8",
"681","Pulmonary hypertension","to 685","Preprocedural pulmonary hypertension,","10.20.16","10.20.16","Preprocedural pulmonary hypertension,","J95.8",,"518.5",
"681","Pulmonary hypertension","to 685","Secondary pulmonary hypertension,","10.13.20","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"681","Pulmonary hypertension","to 685","Pulmonary hypertension with low resistance,","10.13.94","10.13.01","Pulmonary arterial hypertension,","I27.0",,"416.8",
"681","Pulmonary hypertension","to 685","Pulmonary hypertension with high resistance,","10.13.95","10.13.01","Pulmonary arterial hypertension,","I27.0",,"416.8",
"681","Pulmonary hypertension","to 682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","not relevant",,,,,,
"681","Pulmonary hypertension","to 683","Pulmonary hypertension due to cardiovascular disease","not relevant",,,,,,
"681","Pulmonary hypertension","to 633","Pulmonary venous hypertension","not relevant",,,,,,
"681","Pulmonary hypertension","to 685","Postprocedural residual pulmonary hypertension,","15.80.27","10.13.20","Secondary pulmonary hypertension,","I27.8","Y83.8","416.8","E878.8"
"681","Pulmonary hypertension","to 685","Drug or toxin induced pulmonary hypertension,","10.13.25","10.13.20","Secondary pulmonary hypertension,","I27.8","T88.7","416.8","995.2"
"681","Pulmonary hypertension","to 685","Pulmonary hypertension due to connective tissue disease,","10.13.85","10.13.20","Secondary pulmonary hypertension,","I27.8","M35.9","416.8","446.2"
"681","Pulmonary hypertension","to 685","Pulmonary hypertension due to portal hypertension,","10.13.86","10.13.20","Secondary pulmonary hypertension,","I27.8","K76.6","416.8","572.29999999999995"
"681","Pulmonary hypertension","to 685","Pulmonary hypertension due to HIV infection,","10.13.87","10.13.20","Secondary pulmonary hypertension,","I27.8","B33.3","416.8","79.8"
"681","Pulmonary hypertension","to 685","Pulmonary hypertension due to haematological disorder,","10.19.54","10.13.20","Secondary pulmonary hypertension,","I27.8","D75.9","416.8","289.9"
"681","Pulmonary hypertension","to 685","Pulmonary hypertension due to metabolic or endocrine disorder,","10.19.55","10.13.20","Secondary pulmonary hypertension,","I27.8","E34.9","416.8","259.9"
"681","Pulmonary hypertension","to 685","Pulmonary hypertension due to systemic disorder,","10.19.56","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to respiratory disease,","10.13.90","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to developmental pulmonary anomaly(ies),","10.13.98","10.13.20","Secondary pulmonary hypertension,","I27.8","Q34.9","416.8","748.9"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to chronic hypoxia,","10.13.04","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","congenital central hypoventilation syndrome","10.13.24","10.13.20","Secondary pulmonary hypertension,","I27.8","G47.3","416.8","780.5"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to chronic obstructive pulmonary disease,","10.13.26","10.13.20","Secondary pulmonary hypertension,","I27.9","J44.9","416.8","496"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to interstitial lung disease,","10.13.27","10.13.20","Secondary pulmonary hypertension,","I27.9","J44.9","416.8","496"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to pulmonary diseases with mixed restrictive and obstructive pattern,","10.13.99","10.13.20","Secondary pulmonary hypertension,","I27.9","J44.9","416.8","496"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to sarcoidosis,","10.13.28","10.13.20","Secondary pulmonary hypertension,","I27.8","D86.0","416.8","135"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to extreme obesity (Pickwickian),","10.13.29","10.13.20","Secondary pulmonary hypertension,","I27.0","E66.2","416.8","278.8"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to neuromuscular disease,","10.13.30","10.13.20","Secondary pulmonary hypertension,","I27.8","G70.9","416.8","358.9"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to kyphoscoliosis,","10.13.31","10.13.20","Secondary pulmonary hypertension,","I27.1","Q67.5","416.1","756.1"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to pharyngeal-tracheal obstruction,","10.13.32","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to parasitic disease,","10.13.33","10.13.20","Secondary pulmonary hypertension,","I27.8","B89","416.8","136.9"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to high altitude,","10.13.37","10.13.20","Secondary pulmonary hypertension,","I27.8","T70.2","416.8","993.2"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to alveolar capillary dysplasia,","10.13.88","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to neonatal lung disease,","10.13.89","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to alveolar hypoventilation,","10.13.91","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to schistosomiasis,","10.13.92","10.13.20","Secondary pulmonary hypertension,","I27.8","120.9","416.8","B65.9"
"682","Pulmonary hypertension due to hypoxemia, lung, chest wall & airways disease","to 685","Pulmonary hypertension due to chest wall disease,","10.13.45","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"683","Pulmonary hypertension due to cardiovascular disease","to 684","Pulmonary hypertension due to pulmonary vascular disease","not relevant",,,,,,
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to cardiovascular disease,","10.13.46","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8",
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to congenital heart disease,","10.13.39","10.13.20","Secondary pulmonary hypertension,","I27.8","Q24.9","416.8","746.9"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to left heart disease,","10.19.50","10.13.20","Secondary pulmonary hypertension,","I27.8",,"416.8","417.8"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to systolic systemic ventricular dysfunction,","10.19.51","10.13.20","Secondary pulmonary hypertension,","I27.8","Q24.9","416.8","746.9"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to diastolic systemic ventricular dysfunction,","10.19.52","10.13.20","Secondary pulmonary hypertension,","I27.8","Q24.9","416.8","746.9"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to left-sided valvar disease,","10.19.53","10.13.20","Secondary pulmonary hypertension,","I27.8","Q24.9","416.8","746.9"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to pulmonary vascular disorder,","10.13.40","10.13.20","Secondary pulmonary hypertension,","I27.8","I28.8","416.8","417.8"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to inflammatory pulmonary vascular disorder,","10.13.44","10.13.20","Secondary pulmonary hypertension,","I27.8","I28.8","416.8","417.8"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Pulmonary hypertension due to congenital systemic-to-pulmonary shunt,","10.13.21","10.13.21","Pulmonary hypertension due to congenital systemic-to-pulmonary shunt,","I27.8",,"416.8",
"683","Pulmonary hypertension due to cardiovascular disease","to 3300","Pulmonary hypertension due to overgenerous systemic-to-pulmonary arterial shunt,","10.13.22","10.13.20","Secondary pulmonary hypertension,","I27.8","Y83.8","416.8","E878.8"
"683","Pulmonary hypertension due to cardiovascular disease","to 3300","Pulmonary hypertension due to uninhibited systemic-pulmonary collateral flow,","10.13.23","10.13.21","Pulmonary hypertension due to congenital systemic-to-pulmonary shunt,","I27.8",,"416.8","E878.8"
"683","Pulmonary hypertension due to cardiovascular disease","to 686","Chronic thromboembolic pulmonary hypertension,","10.13.38","10.13.20","Secondary pulmonary hypertension,","I27.8","I26.9","416.8","415.1"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Residual pulmonary hypertension after relief of systemic-to-pulmonary shunt,","15.22.31","15.22.31","Residual pulmonary hypertension after relief of systemic-to-pulmonary shunt,","I27.8","Y83.8","416.8","E878.8"
"683","Pulmonary hypertension due to cardiovascular disease","to 685","Residual nonobstructive pulmonary hypertension after repair,","15.22.32","10.13.20","Secondary pulmonary hypertension,","I27.8","Y83.8","416.8","E878.8"
"684","Pulmonary vascular disease","to 1","Pulmonary vascular disease,","10.13.06","10.13.06","Pulmonary vascular disease,","I27.8",,"416.8",
"684","Pulmonary vascular disease","to 3300","Reversible pulmonary vascular disease,","10.13.07","10.13.06","Pulmonary vascular disease,","I27.8",,"416.8",
"684","Pulmonary vascular disease","to 3300","Potentially reversible pulmonary vascular disease,","10.13.19","10.13.06","Pulmonary vascular disease,","I27.8",,"416.8",
"684","Pulmonary vascular disease","to 3300","Irreversible pulmonary vascular disease,","10.13.00","10.13.06","Pulmonary vascular disease,","I27.8",,"416.8",
"684","Pulmonary vascular disease","to 3300","Irreversible pulmonary vascular disease due to congenital heart disease (Eisenmenger Syndrome),","10.13.08","10.13.08","Irreversible pulmonary vascular disease due to congenital heart disease (Eisenmenger Syndrome),","I27.8",,"416.8",
